架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q3-T-001,U01,A,A-BAT-01,0.0,S001,1310.899502077302,1.2643456764217151
Q3-T-002,U02,A,A-BAT-02,0.0,S001,1250.899502077302,1.2823460485526663
Q3-T-003,U03,A,A-BAT-03,0.0,S010;S012,2476.7196696981537,3.2781836447872803
Q3-T-004,U04,A,A-BAT-04,0.0,S010,1654.8627275526428,1.892471155783168
Q3-T-005,U05,B,B-BAT-01,0.0,S007,1636.2753989802832,1.7800228341022712
Q3-T-006,U06,B,B-BAT-02,0.0,S007,1576.2753989802832,1.6564938184282614
Q3-T-007,U07,C,C-BAT-01,0.0,S006,1561.5538679616764,2.597987864912252
Q3-T-008,U08,C,C-BAT-02,0.0,S001,1560.1690773291593,2.917582307581756
Q3-T-009,U02,A,A-BAT-05,1250.899502077302,S001,2501.799004154604,1.2823460485526663
Q3-T-010,U01,A,A-BAT-06,1310.899502077302,S013;S012,3708.0057340698413,3.083558350906124
Q3-T-011,U08,C,C-BAT-03,1560.1690773291593,S002,3733.98146214442,6.2808246626049495
Q3-T-012,U07,C,C-BAT-04,1561.5538679616764,S004,3862.6105604448767,6.152932018907208
Q3-T-013,U06,B,B-BAT-03,1576.2753989802832,S001;S002,3548.708706474255,2.6019597694440364
Q3-T-014,U05,B,B-BAT-04,1636.2753989802832,S014,3506.0318153618973,2.14038848210759
Q3-T-015,U04,A,A-BAT-02,2121.355027214739,S013,3733.4687648911786,2.025445644149036
Q3-T-016,U02,A,A-BAT-04,2701.576617001114,S005,4393.767076532038,2.1213260052841925
Q3-T-017,U05,B,B-BAT-02,3506.0318153618973,S011,4694.452287597054,1.0739517654354556
Q3-T-018,U06,B,B-BAT-01,3635.0008292120365,S008,5536.832264872368,2.8391427052283413
Q3-T-019,U03,A,A-BAT-01,3728.7626161436283,S003,5991.391894905531,2.981982455502334
Q3-T-020,U08,C,C-BAT-01,3733.98146214442,S003,6170.072811748995,6.149478043769306
Q3-T-021,U07,C,C-BAT-02,3862.6105604448767,S005;S008,6503.187911689303,6.377583029268815
Q3-T-022,U05,B,B-BAT-04,5100.2001576085195,S015,6928.476795035495,2.3074528242840895
Q3-T-023,U06,B,B-BAT-03,5536.832264872368,S009,7095.273997961129,2.09623373442617
