货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q3-T-002,S001,908.5730843719844
S001-FOD-02,Q3-T-008,S001,1176.2695386645796
S001-FOD-03,Q3-T-009,S001,2159.472586449286
S001-HYG-01,Q3-T-008,S001,1212.2695386645796
S001-HYG-02,Q3-T-008,S001,1248.2695386645796
S001-MED-01,Q3-T-001,S001,908.5730843719844
S001-MED-02,Q3-T-001,S001,938.5730843719844
S001-WAT-01,Q3-T-001,S001,968.5730843719844
S001-WAT-02,Q3-T-008,S001,1032.2695386645796
S001-WAT-03,Q3-T-008,S001,1068.2695386645796
S001-WAT-04,Q3-T-002,S001,878.5730843719844
S001-WAT-05,Q3-T-013,S001,2403.9488359602924
S001-WAT-06,Q3-T-008,S001,1104.2695386645796
S001-WAT-07,Q3-T-009,S001,2129.472586449286
S001-WAT-08,Q3-T-008,S001,1140.2695386645796
S002-FOD-01,Q3-T-011,S002,3041.48526973679
S002-FOD-02,Q3-T-011,S002,3077.48526973679
S002-HYG-01,Q3-T-011,S002,3113.48526973679
S002-MED-01,Q3-T-011,S002,2897.48526973679
S002-WAT-01,Q3-T-011,S002,2933.48526973679
S002-WAT-02,Q3-T-011,S002,2969.48526973679
S002-WAT-03,Q3-T-013,S002,2952.3015564250227
S002-WAT-04,Q3-T-011,S002,3005.48526973679
S003-FOD-01,Q3-T-020,S003,5307.487136946707
S003-FOD-02,Q3-T-020,S003,5343.487136946707
S003-HYG-01,Q3-T-020,S003,5379.487136946707
S003-MED-01,Q3-T-019,S003,5108.050588857914
S003-WAT-01,Q3-T-020,S003,5199.487136946707
S003-WAT-02,Q3-T-019,S003,5138.050588857914
S003-WAT-03,Q3-T-020,S003,5235.487136946707
S003-WAT-04,Q3-T-020,S003,5271.487136946707
S004-FOD-01,Q3-T-012,S004,3109.0522142032764
S004-HYG-01,Q3-T-012,S004,3145.0522142032764
S004-MED-01,Q3-T-012,S004,2965.0522142032764
S004-WAT-01,Q3-T-012,S004,3001.0522142032764
S004-WAT-02,Q3-T-012,S004,3037.0522142032764
S004-WAT-03,Q3-T-012,S004,3073.0522142032764
S005-FOD-01,Q3-T-021,S005,5157.840822707768
S005-HYG-01,Q3-T-021,S005,5193.840822707768
S005-MED-01,Q3-T-016,S005,3800.428513433242
S005-WAT-01,Q3-T-016,S005,3830.428513433242
S005-WAT-02,Q3-T-021,S005,5085.840822707768
S005-WAT-03,Q3-T-021,S005,5121.840822707768
S006-FOD-01,Q3-T-007,S006,1173.4219339808383
S006-HYG-01,Q3-T-007,S006,1209.4219339808383
S006-MED-01,Q3-T-007,S006,1029.4219339808383
S006-WAT-01,Q3-T-007,S006,1065.4219339808383
S006-WAT-02,Q3-T-007,S006,1101.4219339808383
S006-WAT-03,Q3-T-007,S006,1137.4219339808383
S007-FOD-01,Q3-T-005,S007,1125.7776994901417
S007-HYG-01,Q3-T-006,S007,1065.7776994901417
S007-MED-01,Q3-T-005,S007,1065.7776994901417
S007-WAT-01,Q3-T-006,S007,1035.7776994901417
S007-WAT-02,Q3-T-005,S007,1095.7776994901417
S008-FOD-01,Q3-T-018,S008,4866.143213708869
S008-HYG-01,Q3-T-021,S008,5801.177305146573
S008-MED-01,Q3-T-021,S008,5729.177305146573
S008-WAT-01,Q3-T-018,S008,4836.143213708869
S008-WAT-02,Q3-T-021,S008,5765.177305146573
S009-FOD-01,Q3-T-023,S009,6627.6431314167485
S009-MED-01,Q3-T-023,S009,6567.6431314167485
S009-WAT-01,Q3-T-023,S009,6597.6431314167485
S010-FOD-01,Q3-T-004,S010,1104.968030442988
S010-MED-01,Q3-T-004,S010,1074.968030442988
S010-WAT-01,Q3-T-003,S010,1074.968030442988
S011-FOD-01,Q3-T-017,S011,4412.428718146142
S011-MED-01,Q3-T-017,S011,4352.428718146142
S011-WAT-01,Q3-T-017,S011,4382.428718146142
S012-FOD-01,Q3-T-003,S012,1702.104632876488
S012-MED-01,Q3-T-010,S012,2933.3906972481764
S012-WAT-01,Q3-T-010,S012,2903.3906972481764
S013-FOD-01,Q3-T-015,S013,3204.9452293862923
S013-MED-01,Q3-T-010,S013,2394.489704248855
S013-WAT-01,Q3-T-015,S013,3174.9452293862923
S014-FOD-01,Q3-T-014,S014,2878.710273837757
S014-MED-01,Q3-T-014,S014,2848.710273837757
S014-WAT-01,Q3-T-014,S014,2818.710273837757
S015-FOD-01,Q3-T-022,S015,6317.778476322008
S015-MED-01,Q3-T-022,S015,6257.778476322008
S015-WAT-01,Q3-T-022,S015,6287.778476322008
