运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q3-T-001,爬升·边界点,390.0,390.0,直连,
Q3-T-001,爬升,390.0,390.34184672371094,直连,
Q3-T-001,爬升·边界点,390.34184672371094,390.34184672371094,直连,
Q3-T-001,爬升,390.34184672371094,399.60265609712184,直连,
Q3-T-001,爬升·边界点,399.60265609712184,399.60265609712184,直连,
Q3-T-001,爬升,399.60265609712184,400.5743917449054,直连,
Q3-T-001,爬升·边界点,400.5743917449054,400.5743917449054,直连,
Q3-T-001,爬升,400.5743917449054,408.6860501935803,直连,
Q3-T-001,爬升·边界点,408.6860501935803,408.6860501935803,直连,
Q3-T-001,爬升,408.6860501935803,417.99820232145794,直连,
Q3-T-001,爬升·边界点,417.99820232145794,417.99820232145794,直连,
Q3-T-001,爬升,417.99820232145794,438.45220336914065,直连,
Q3-T-001,爬升·边界点,438.45220336914065,438.45220336914065,直连,
Q3-T-001,巡航,438.45220336914065,572.4228357746762,直连,
Q3-T-001,巡航·边界点,572.4228357746762,572.4228357746762,直连,
Q3-T-001,巡航,572.4228357746762,625.2985493120008,直连,
Q3-T-001,巡航·边界点,625.2985493120008,625.2985493120008,直连,
Q3-T-001,巡航,625.2985493120008,637.6266838664694,直连,
Q3-T-001,巡航·边界点,637.6266838664694,637.6266838664694,直连,
Q3-T-001,巡航,637.6266838664694,692.9504403290156,直连,
Q3-T-001,巡航·边界点,692.9504403290156,692.9504403290156,直连,
Q3-T-001,下降,692.9504403290156,718.4143651774021,直连,
Q3-T-001,下降·边界点,718.4143651774021,718.4143651774021,直连,
Q3-T-001,下降,718.4143651774021,724.3842982433409,直连,
Q3-T-001,下降·边界点,724.3842982433409,724.3842982433409,直连,
Q3-T-001,下降,724.3842982433409,727.0820771027705,直连,
Q3-T-001,下降·边界点,727.0820771027705,727.0820771027705,直连,
Q3-T-001,下降,727.0820771027705,728.5730843719844,直连,
Q3-T-001,下降·边界点,728.5730843719844,728.5730843719844,直连,
Q3-T-001,投送交接,728.5730843719844,744.679230704014,直连,
Q3-T-001,投送交接·边界点,744.679230704014,744.679230704014,直连,
Q3-T-001,投送交接,744.679230704014,795.4654058595361,直连,
Q3-T-001,投送交接·边界点,795.4654058595361,795.4654058595361,直连,
Q3-T-001,投送交接,795.4654058595361,968.5730843719844,直连,
Q3-T-001,投送交接·边界点,968.5730843719844,968.5730843719844,直连,
Q3-T-001,爬升,968.5730843719844,969.8155904296625,直连,
Q3-T-001,爬升·边界点,969.8155904296625,969.8155904296625,直连,
Q3-T-001,爬升,969.8155904296625,972.0637394791872,直连,
Q3-T-001,爬升·边界点,972.0637394791872,972.0637394791872,直连,
Q3-T-001,爬升,972.0637394791872,977.0386837008028,直连,
Q3-T-001,爬升·边界点,977.0386837008028,977.0386837008028,直连,
Q3-T-001,爬升,977.0386837008028,998.2586210744583,直连,
Q3-T-001,爬升·边界点,998.2586210744583,998.2586210744583,直连,
Q3-T-001,巡航,998.2586210744583,1053.5823775370045,直连,
Q3-T-001,巡航·边界点,1053.5823775370045,1053.5823775370045,直连,
Q3-T-001,巡航,1053.5823775370045,1065.910512091473,直连,
Q3-T-001,巡航·边界点,1065.910512091473,1065.910512091473,直连,
Q3-T-001,巡航,1065.910512091473,1118.7862256287979,直连,
Q3-T-001,巡航·边界点,1118.7862256287979,1118.7862256287979,直连,
Q3-T-001,巡航,1118.7862256287979,1225.977956606348,直连,
Q3-T-001,巡航·边界点,1225.977956606348,1225.977956606348,直连,
Q3-T-001,巡航,1225.977956606348,1252.7568580343334,直连,
Q3-T-001,巡航·边界点,1252.7568580343334,1252.7568580343334,直连,
Q3-T-001,下降,1252.7568580343334,1277.3016592915526,直连,
Q3-T-001,下降·边界点,1277.3016592915526,1277.3016592915526,直连,
Q3-T-001,下降,1277.3016592915526,1288.476241845006,直连,
Q3-T-001,下降·边界点,1288.476241845006,1288.476241845006,直连,
Q3-T-001,下降,1288.476241845006,1298.2102319834157,直连,
Q3-T-001,下降·边界点,1298.2102319834157,1298.2102319834157,直连,
Q3-T-001,下降,1298.2102319834157,1299.376314760756,直连,
Q3-T-001,下降·边界点,1299.376314760756,1299.376314760756,直连,
Q3-T-001,下降,1299.376314760756,1310.4892860088491,直连,
Q3-T-001,下降·边界点,1310.4892860088491,1310.4892860088491,直连,
Q3-T-001,下降,1310.4892860088491,1310.8995020773023,直连,
Q3-T-001,下降·边界点,1310.8995020773023,1310.8995020773023,直连,
Q3-T-002,爬升·边界点,360.0,360.0,直连,
Q3-T-002,爬升,360.0,360.34184672371094,直连,
Q3-T-002,爬升·边界点,360.34184672371094,360.34184672371094,直连,
Q3-T-002,爬升,360.34184672371094,369.60265609712184,直连,
Q3-T-002,爬升·边界点,369.60265609712184,369.60265609712184,直连,
Q3-T-002,爬升,369.60265609712184,370.5743917449054,直连,
Q3-T-002,爬升·边界点,370.5743917449054,370.5743917449054,直连,
Q3-T-002,爬升,370.5743917449054,378.6860501935803,直连,
Q3-T-002,爬升·边界点,378.6860501935803,378.6860501935803,直连,
Q3-T-002,爬升,378.6860501935803,387.99820232145794,直连,
Q3-T-002,爬升·边界点,387.99820232145794,387.99820232145794,直连,
Q3-T-002,爬升,387.99820232145794,408.45220336914065,直连,
Q3-T-002,爬升·边界点,408.45220336914065,408.45220336914065,直连,
Q3-T-002,巡航,408.45220336914065,542.4228357746762,直连,
Q3-T-002,巡航·边界点,542.4228357746762,542.4228357746762,直连,
Q3-T-002,巡航,542.4228357746762,595.2985493120008,直连,
Q3-T-002,巡航·边界点,595.2985493120008,595.2985493120008,直连,
Q3-T-002,巡航,595.2985493120008,607.6266838664694,直连,
Q3-T-002,巡航·边界点,607.6266838664694,607.6266838664694,直连,
Q3-T-002,巡航,607.6266838664694,662.9504403290156,直连,
Q3-T-002,巡航·边界点,662.9504403290156,662.9504403290156,直连,
Q3-T-002,下降,662.9504403290156,688.4143651774021,直连,
Q3-T-002,下降·边界点,688.4143651774021,688.4143651774021,直连,
Q3-T-002,下降,688.4143651774021,694.3842982433409,直连,
Q3-T-002,下降·边界点,694.3842982433409,694.3842982433409,直连,
Q3-T-002,下降,694.3842982433409,697.0820771027705,直连,
Q3-T-002,下降·边界点,697.0820771027705,697.0820771027705,直连,
Q3-T-002,下降,697.0820771027705,698.5730843719844,直连,
Q3-T-002,下降·边界点,698.5730843719844,698.5730843719844,直连,
Q3-T-002,投送交接,698.5730843719844,744.679230704014,直连,
Q3-T-002,投送交接·边界点,744.679230704014,744.679230704014,直连,
Q3-T-002,投送交接,744.679230704014,795.4654058595361,直连,
Q3-T-002,投送交接·边界点,795.4654058595361,795.4654058595361,直连,
Q3-T-002,投送交接,795.4654058595361,908.5730843719844,直连,
Q3-T-002,投送交接·边界点,908.5730843719844,908.5730843719844,直连,
Q3-T-002,爬升,908.5730843719844,909.8155904296625,直连,
Q3-T-002,爬升·边界点,909.8155904296625,909.8155904296625,直连,
Q3-T-002,爬升,909.8155904296625,912.0637394791872,直连,
Q3-T-002,爬升·边界点,912.0637394791872,912.0637394791872,直连,
Q3-T-002,爬升,912.0637394791872,917.0386837008028,直连,
Q3-T-002,爬升·边界点,917.0386837008028,917.0386837008028,直连,
Q3-T-002,爬升,917.0386837008028,938.2586210744583,直连,
Q3-T-002,爬升·边界点,938.2586210744583,938.2586210744583,直连,
Q3-T-002,巡航,938.2586210744583,993.5823775370045,直连,
Q3-T-002,巡航·边界点,993.5823775370045,993.5823775370045,直连,
Q3-T-002,巡航,993.5823775370045,1005.910512091473,直连,
Q3-T-002,巡航·边界点,1005.910512091473,1005.910512091473,直连,
Q3-T-002,巡航,1005.910512091473,1058.7862256287979,直连,
Q3-T-002,巡航·边界点,1058.7862256287979,1058.7862256287979,直连,
Q3-T-002,巡航,1058.7862256287979,1192.7568580343334,直连,
Q3-T-002,巡航·边界点,1192.7568580343334,1192.7568580343334,直连,
