battery_id,model_id,trip_id,drone_id,task_start_s,return_s,return_soc_fraction,charge_start_s,charge_end_s,charge_duration_s,charged_soc_fraction
A-BAT-01,A,Q3-T-001,U01,0.0,1310.899502077302,0.7190342941285077,1310.899502077302,2176.154919710242,865.2554176329401,1.0
A-BAT-02,A,Q3-T-002,U02,0.0,1250.899502077302,0.7150342114327408,1250.899502077302,2121.355027214739,870.4555251374369,1.0
A-BAT-03,A,Q3-T-003,U03,0.0,2476.7196696981537,0.2715147456028266,2476.7196696981537,3923.750500414479,1447.0308307163255,1.0
A-BAT-04,A,Q3-T-004,U04,0.0,1654.8627275526428,0.5794508542704071,1654.8627275526428,2701.576617001114,1046.7138894484708,1.0
B-BAT-01,B,Q3-T-005,U05,0.0,1636.2753989802832,0.5549942914744321,1636.2753989802832,3074.285293757934,1438.009894777651,1.0
B-BAT-02,B,Q3-T-006,U06,0.0,1576.2753989802832,0.5858765453929347,1576.2753989802832,2960.75605363253,1384.4806546522466,1.0
C-BAT-01,C,Q3-T-007,U07,0.0,1561.5538679616764,0.6752515168859685,1561.5538679616764,3098.5089147087447,1536.955046747068,1.0
C-BAT-02,C,Q3-T-008,U08,0.0,1560.1690773291593,0.6353022115522805,1560.1690773291593,3183.680952299218,1623.511874970059,1.0
A-BAT-05,A,Q3-T-009,U02,1250.899502077302,2501.799004154604,0.7150342114327408,2501.799004154604,3372.254529292041,870.4555251374369,1.0
A-BAT-06,A,Q3-T-010,U01,1310.899502077302,3708.0057340698413,0.31476481090975017,3708.0057340698413,5098.811479887167,1390.8057458173248,1.0
C-BAT-03,C,Q3-T-011,U08,1560.1690773291593,3733.98146214442,0.2148969171743813,3733.98146214442,6268.371474933261,2534.3900127888405,1.0
C-BAT-04,C,Q3-T-012,U07,1561.5538679616764,3862.6105604448767,0.230883497636599,3862.6105604448767,6362.3629822322455,2499.752421787369,1.0
B-BAT-03,B,Q3-T-013,U06,1576.2753989802832,3548.708706474255,0.3495100576389909,3548.708706474255,5342.891273233337,1794.1825667590824,1.0
B-BAT-04,B,Q3-T-014,U05,1636.2753989802832,3506.0318153618973,0.4649028794731025,3506.0318153618973,5100.2001576085195,1594.1683422466224,1.0
A-BAT-02,A,Q3-T-015,U04,2121.355027214739,3733.4687648911786,0.5499009679668809,3733.4687648911786,4818.597506534234,1085.1287416430548,1.0
A-BAT-04,A,Q3-T-016,U02,2701.576617001114,4393.767076532038,0.5285942210479573,4393.767076532038,5506.594589169694,1112.8275126376554,1.0
B-BAT-02,B,Q3-T-017,U05,3506.0318153618973,4694.452287597054,0.7315120586411361,4694.452287597054,5826.498052619085,1132.0457650220308,1.0
B-BAT-01,B,Q3-T-018,U06,3635.0008292120365,5536.832264872368,0.29021432369291467,5536.832264872368,7433.794103804649,1896.9618389322814,1.0
A-BAT-01,A,Q3-T-019,U03,3728.7626161436283,5991.391894905531,0.3373372321105924,5991.391894905531,7352.853493161761,1361.46159825623,1.0
C-BAT-01,C,Q3-T-020,U08,3733.98146214442,6170.072811748995,0.23131524452883678,6170.072811748995,8668.889781936516,2498.81697018752,1.0
C-BAT-02,C,Q3-T-021,U07,3862.6105604448767,6503.187911689303,0.20280212134139808,6503.187911689303,9063.783315449607,2560.595403760304,1.0
B-BAT-04,B,Q3-T-022,U05,5100.2001576085195,6928.476795035495,0.42313679392897763,6928.476795035495,8595.0396855586,1666.5628905231054,1.0
B-BAT-03,B,Q3-T-023,U06,5536.832264872368,7095.273997961129,0.4759415663934575,7095.273997961129,8670.30861621247,1575.0346182513401,1.0
