box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q3-T-002,S001,A,U02,908.5730843719844,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q3-T-008,S001,C,U08,1176.2695386645796,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q3-T-009,S001,A,U02,2159.472586449286,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q3-T-008,S001,C,U08,1212.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q3-T-008,S001,C,U08,1248.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q3-T-001,S001,A,U01,908.5730843719844,3600.0,3600.0,3600.0,True,True,24,0.0,2691.4269156280156,3.0,0.012
S001-MED-02,Q3-T-001,S001,A,U01,938.5730843719844,3600.0,3600.0,,False,True,24,0.0,2661.4269156280156,3.0,0.012
S001-WAT-01,Q3-T-001,S001,A,U01,968.5730843719844,3600.0,3600.0,3600.0,True,False,12,0.0,2631.4269156280156,14.0,0.027
S001-WAT-02,Q3-T-008,S001,C,U08,1032.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q3-T-008,S001,C,U08,1068.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q3-T-002,S001,A,U02,878.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-05,Q3-T-013,S001,B,U06,2403.9488359602924,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-06,Q3-T-008,S001,C,U08,1104.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-07,Q3-T-009,S001,A,U02,2129.472586449286,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-08,Q3-T-008,S001,C,U08,1140.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-FOD-01,Q3-T-011,S002,C,U08,3041.48526973679,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q3-T-011,S002,C,U08,3077.48526973679,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q3-T-011,S002,C,U08,3113.48526973679,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q3-T-011,S002,C,U08,2897.48526973679,3600.0,3600.0,3600.0,True,True,24,0.0,702.5147302632099,3.0,0.012
S002-WAT-01,Q3-T-011,S002,C,U08,2933.48526973679,3600.0,3600.0,3600.0,True,False,12,0.0,666.5147302632099,14.0,0.027
S002-WAT-02,Q3-T-011,S002,C,U08,2969.48526973679,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-03,Q3-T-013,S002,B,U06,2952.3015564250227,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-04,Q3-T-011,S002,C,U08,3005.48526973679,3600.0,,,False,False,12,0.0,,14.0,0.027
S003-FOD-01,Q3-T-020,S003,C,U08,5307.487136946707,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q3-T-020,S003,C,U08,5343.487136946707,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q3-T-020,S003,C,U08,5379.487136946707,14400.0,,,False,False,6,0.0,,6.0,0.035
S003-MED-01,Q3-T-019,S003,A,U03,5108.050588857914,7200.0,7200.0,7200.0,True,True,20,0.0,2091.9494111420863,3.0,0.012
S003-WAT-01,Q3-T-020,S003,C,U08,5199.487136946707,7200.0,7200.0,7200.0,True,False,10,0.0,2000.5128630532927,14.0,0.027
S003-WAT-02,Q3-T-019,S003,A,U03,5138.050588857914,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-03,Q3-T-020,S003,C,U08,5235.487136946707,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-04,Q3-T-020,S003,C,U08,5271.487136946707,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-FOD-01,Q3-T-012,S004,C,U07,3109.0522142032764,10800.0,,,False,False,8,0.0,,8.0,0.028
S004-HYG-01,Q3-T-012,S004,C,U07,3145.0522142032764,14400.0,,,False,False,6,0.0,,6.0,0.035
S004-MED-01,Q3-T-012,S004,C,U07,2965.0522142032764,7200.0,7200.0,7200.0,True,True,20,0.0,4234.947785796723,3.0,0.012
S004-WAT-01,Q3-T-012,S004,C,U07,3001.0522142032764,7200.0,7200.0,7200.0,True,False,10,0.0,4198.947785796723,14.0,0.027
S004-WAT-02,Q3-T-012,S004,C,U07,3037.0522142032764,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-WAT-03,Q3-T-012,S004,C,U07,3073.0522142032764,7200.0,,,False,False,10,0.0,,14.0,0.027
S005-FOD-01,Q3-T-021,S005,C,U07,5157.840822707768,14400.0,,,False,False,6,0.0,,8.0,0.028
S005-HYG-01,Q3-T-021,S005,C,U07,5193.840822707768,18000.0,,,False,False,4,0.0,,6.0,0.035
S005-MED-01,Q3-T-016,S005,A,U02,3800.428513433242,10800.0,10800.0,10800.0,True,True,16,0.0,6999.571486566758,3.0,0.012
S005-WAT-01,Q3-T-016,S005,A,U02,3830.428513433242,10800.0,10800.0,10800.0,True,False,8,0.0,6969.571486566758,14.0,0.027
S005-WAT-02,Q3-T-021,S005,C,U07,5085.840822707768,10800.0,,,False,False,8,0.0,,14.0,0.027
S005-WAT-03,Q3-T-021,S005,C,U07,5121.840822707768,10800.0,,,False,False,8,0.0,,14.0,0.027
S006-FOD-01,Q3-T-007,S006,C,U07,1173.4219339808383,7200.0,,,False,False,10,0.0,,8.0,0.028
S006-HYG-01,Q3-T-007,S006,C,U07,1209.4219339808383,10800.0,,,False,False,8,0.0,,6.0,0.035
S006-MED-01,Q3-T-007,S006,C,U07,1029.4219339808383,3600.0,3600.0,3600.0,True,True,24,0.0,2570.5780660191617,3.0,0.012
S006-WAT-01,Q3-T-007,S006,C,U07,1065.4219339808383,3600.0,3600.0,3600.0,True,False,12,0.0,2534.5780660191617,14.0,0.027
S006-WAT-02,Q3-T-007,S006,C,U07,1101.4219339808383,3600.0,,,False,False,12,0.0,,14.0,0.027
S006-WAT-03,Q3-T-007,S006,C,U07,1137.4219339808383,3600.0,,,False,False,12,0.0,,14.0,0.027
S007-FOD-01,Q3-T-005,S007,B,U05,1125.7776994901417,7200.0,,,False,False,10,0.0,,8.0,0.028
S007-HYG-01,Q3-T-006,S007,B,U06,1065.7776994901417,10800.0,,,False,False,8,0.0,,6.0,0.035
S007-MED-01,Q3-T-005,S007,B,U05,1065.7776994901417,3600.0,3600.0,3600.0,True,True,24,0.0,2534.2223005098585,3.0,0.012
S007-WAT-01,Q3-T-006,S007,B,U06,1035.7776994901417,3600.0,3600.0,3600.0,True,False,12,0.0,2564.2223005098585,14.0,0.027
S007-WAT-02,Q3-T-005,S007,B,U05,1095.7776994901417,3600.0,,,False,False,12,0.0,,14.0,0.027
S008-FOD-01,Q3-T-018,S008,B,U06,4866.143213708869,10800.0,,,False,False,8,0.0,,8.0,0.028
S008-HYG-01,Q3-T-021,S008,C,U07,5801.177305146573,14400.0,,,False,False,6,0.0,,6.0,0.035
S008-MED-01,Q3-T-021,S008,C,U07,5729.177305146573,7200.0,7200.0,7200.0,True,True,20,0.0,1470.8226948534266,3.0,0.012
S008-WAT-01,Q3-T-018,S008,B,U06,4836.143213708869,7200.0,7200.0,7200.0,True,False,10,0.0,2363.8567862911314,14.0,0.027
S008-WAT-02,Q3-T-021,S008,C,U07,5765.177305146573,7200.0,,,False,False,10,0.0,,14.0,0.027
S009-FOD-01,Q3-T-023,S009,B,U06,6627.6431314167485,14400.0,,,False,False,6,0.0,,8.0,0.028
S009-MED-01,Q3-T-023,S009,B,U06,6567.6431314167485,10800.0,10800.0,10800.0,True,True,16,0.0,4232.3568685832515,3.0,0.012
S009-WAT-01,Q3-T-023,S009,B,U06,6597.6431314167485,10800.0,10800.0,10800.0,True,False,8,0.0,4202.3568685832515,14.0,0.027
S010-FOD-01,Q3-T-004,S010,A,U04,1104.968030442988,7200.0,,,False,False,10,0.0,,8.0,0.028
S010-MED-01,Q3-T-004,S010,A,U04,1074.968030442988,3600.0,3600.0,3600.0,True,True,24,0.0,2525.031969557012,3.0,0.012
S010-WAT-01,Q3-T-003,S010,A,U03,1074.968030442988,3600.0,3600.0,3600.0,True,False,12,0.0,2525.031969557012,14.0,0.027
S011-FOD-01,Q3-T-017,S011,B,U05,4412.428718146142,14400.0,,,False,False,6,0.0,,8.0,0.028
S011-MED-01,Q3-T-017,S011,B,U05,4352.428718146142,10800.0,10800.0,10800.0,True,True,16,0.0,6447.571281853858,3.0,0.012
S011-WAT-01,Q3-T-017,S011,B,U05,4382.428718146142,10800.0,10800.0,10800.0,True,False,8,0.0,6417.571281853858,14.0,0.027
S012-FOD-01,Q3-T-003,S012,A,U03,1702.104632876488,7200.0,,,False,False,10,0.0,,8.0,0.028
S012-MED-01,Q3-T-010,S012,A,U01,2933.3906972481764,7200.0,3600.0,3600.0,True,True,22,0.0,666.6093027518236,3.0,0.012
S012-WAT-01,Q3-T-010,S012,A,U01,2903.3906972481764,3600.0,3600.0,3600.0,True,False,12,0.0,696.6093027518236,14.0,0.027
S013-FOD-01,Q3-T-015,S013,A,U04,3204.9452293862923,7200.0,,,False,False,10,0.0,,8.0,0.028
S013-MED-01,Q3-T-010,S013,A,U01,2394.489704248855,3600.0,3600.0,3600.0,True,True,24,0.0,1205.510295751145,3.0,0.012
S013-WAT-01,Q3-T-015,S013,A,U04,3174.9452293862923,3600.0,3600.0,3600.0,True,False,12,0.0,425.05477061370766,14.0,0.027
S014-FOD-01,Q3-T-014,S014,B,U05,2878.710273837757,7200.0,,,False,False,10,0.0,,8.0,0.028
S014-MED-01,Q3-T-014,S014,B,U05,2848.710273837757,7200.0,3600.0,3600.0,True,True,22,0.0,751.2897261622429,3.0,0.012
S014-WAT-01,Q3-T-014,S014,B,U05,2818.710273837757,3600.0,3600.0,3600.0,True,False,12,0.0,781.2897261622429,14.0,0.027
S015-FOD-01,Q3-T-022,S015,B,U05,6317.778476322008,14400.0,,,False,False,6,0.0,,8.0,0.028
S015-MED-01,Q3-T-022,S015,B,U05,6257.778476322008,7200.0,7200.0,7200.0,True,True,18,0.0,942.2215236779921,3.0,0.012
S015-WAT-01,Q3-T-022,S015,B,U05,6287.778476322008,10800.0,10800.0,10800.0,True,False,8,0.0,4512.221523677992,14.0,0.027
