box_id,trip_id,recomputed_completion_s,exported_completion_s,error_s,is_medical,is_first_batch,expected_s,hard_deadline_s,hard_slack_s,tardiness_s,priority
S001-MED-01,Q3-T-001,908.5730843719844,908.5730843719844,0.0,True,True,3600.0,3600.0,2691.4269156280156,0,24
S001-MED-02,Q3-T-001,938.5730843719844,938.5730843719844,0.0,True,False,3600.0,3600.0,2661.4269156280156,0,24
S001-WAT-01,Q3-T-001,968.5730843719844,968.5730843719844,0.0,False,True,3600.0,3600.0,2631.4269156280156,0,12
S001-WAT-04,Q3-T-002,878.5730843719844,878.5730843719844,0.0,False,False,3600.0,,,0,12
S001-FOD-01,Q3-T-002,908.5730843719844,908.5730843719844,0.0,False,False,7200.0,,,0,10
S010-WAT-01,Q3-T-003,1074.968030442988,1074.968030442988,0.0,False,True,3600.0,3600.0,2525.031969557012,0,12
S012-FOD-01,Q3-T-003,1702.1046328764883,1702.104632876488,2.2737367544323206e-13,False,False,7200.0,,,0,10
S010-MED-01,Q3-T-004,1074.968030442988,1074.968030442988,0.0,True,True,3600.0,3600.0,2525.031969557012,0,24
S010-FOD-01,Q3-T-004,1104.968030442988,1104.968030442988,0.0,False,False,7200.0,,,0,10
S007-MED-01,Q3-T-005,1065.7776994901415,1065.7776994901417,2.2737367544323206e-13,True,True,3600.0,3600.0,2534.2223005098585,0,24
S007-WAT-02,Q3-T-005,1095.7776994901415,1095.7776994901417,2.2737367544323206e-13,False,False,3600.0,,,0,12
S007-FOD-01,Q3-T-005,1125.7776994901415,1125.7776994901417,2.2737367544323206e-13,False,False,7200.0,,,0,10
S007-WAT-01,Q3-T-006,1035.7776994901415,1035.7776994901417,2.2737367544323206e-13,False,True,3600.0,3600.0,2564.2223005098585,0,12
S007-HYG-01,Q3-T-006,1065.7776994901415,1065.7776994901417,2.2737367544323206e-13,False,False,10800.0,,,0,8
S006-MED-01,Q3-T-007,1029.4219339808383,1029.4219339808383,0.0,True,True,3600.0,3600.0,2570.5780660191617,0,24
S006-WAT-01,Q3-T-007,1065.4219339808383,1065.4219339808383,0.0,False,True,3600.0,3600.0,2534.5780660191617,0,12
S006-WAT-02,Q3-T-007,1101.4219339808383,1101.4219339808383,0.0,False,False,3600.0,,,0,12
S006-WAT-03,Q3-T-007,1137.4219339808383,1137.4219339808383,0.0,False,False,3600.0,,,0,12
S006-FOD-01,Q3-T-007,1173.4219339808383,1173.4219339808383,0.0,False,False,7200.0,,,0,10
S006-HYG-01,Q3-T-007,1209.4219339808383,1209.4219339808383,0.0,False,False,10800.0,,,0,8
S001-WAT-02,Q3-T-008,1032.2695386645796,1032.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-03,Q3-T-008,1068.2695386645796,1068.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-06,Q3-T-008,1104.2695386645796,1104.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-08,Q3-T-008,1140.2695386645796,1140.2695386645796,0.0,False,False,3600.0,,,0,12
S001-FOD-02,Q3-T-008,1176.2695386645796,1176.2695386645796,0.0,False,False,7200.0,,,0,10
S001-HYG-01,Q3-T-008,1212.2695386645796,1212.2695386645796,0.0,False,False,10800.0,,,0,8
S001-HYG-02,Q3-T-008,1248.2695386645796,1248.2695386645796,0.0,False,False,10800.0,,,0,8
S001-WAT-07,Q3-T-009,2129.4725864492866,2129.472586449286,4.547473508864641e-13,False,False,3600.0,,,0,12
S001-FOD-03,Q3-T-009,2159.4725864492866,2159.472586449286,4.547473508864641e-13,False,False,7200.0,,,0,10
S013-MED-01,Q3-T-010,2394.489704248855,2394.489704248855,0.0,True,True,3600.0,3600.0,1205.510295751145,0,24
S012-WAT-01,Q3-T-010,2903.3906972481764,2903.3906972481764,0.0,False,True,3600.0,3600.0,696.6093027518236,0,12
S012-MED-01,Q3-T-010,2933.3906972481764,2933.3906972481764,0.0,True,True,7200.0,3600.0,666.6093027518236,0,22
S002-MED-01,Q3-T-011,2897.4852697367896,2897.48526973679,4.547473508864641e-13,True,True,3600.0,3600.0,702.5147302632104,0,24
S002-WAT-01,Q3-T-011,2933.4852697367896,2933.48526973679,4.547473508864641e-13,False,True,3600.0,3600.0,666.5147302632104,0,12
S002-WAT-02,Q3-T-011,2969.4852697367896,2969.48526973679,4.547473508864641e-13,False,False,3600.0,,,0,12
S002-WAT-04,Q3-T-011,3005.4852697367896,3005.48526973679,4.547473508864641e-13,False,False,3600.0,,,0,12
S002-FOD-01,Q3-T-011,3041.4852697367896,3041.48526973679,4.547473508864641e-13,False,False,7200.0,,,0,10
S002-FOD-02,Q3-T-011,3077.4852697367896,3077.48526973679,4.547473508864641e-13,False,False,7200.0,,,0,10
S002-HYG-01,Q3-T-011,3113.4852697367896,3113.48526973679,4.547473508864641e-13,False,False,10800.0,,,0,8
S004-MED-01,Q3-T-012,2965.0522142032764,2965.0522142032764,0.0,True,True,7200.0,7200.0,4234.947785796723,0,20
S004-WAT-01,Q3-T-012,3001.0522142032764,3001.0522142032764,0.0,False,True,7200.0,7200.0,4198.947785796723,0,10
S004-WAT-02,Q3-T-012,3037.0522142032764,3037.0522142032764,0.0,False,False,7200.0,,,0,10
S004-WAT-03,Q3-T-012,3073.0522142032764,3073.0522142032764,0.0,False,False,7200.0,,,0,10
S004-FOD-01,Q3-T-012,3109.0522142032764,3109.0522142032764,0.0,False,False,10800.0,,,0,8
S004-HYG-01,Q3-T-012,3145.0522142032764,3145.0522142032764,0.0,False,False,14400.0,,,0,6
S001-WAT-05,Q3-T-013,2403.9488359602924,2403.9488359602924,0.0,False,False,3600.0,,,0,12
S002-WAT-03,Q3-T-013,2952.3015564250227,2952.3015564250227,0.0,False,False,3600.0,,,0,12
S014-WAT-01,Q3-T-014,2818.710273837757,2818.710273837757,0.0,False,True,3600.0,3600.0,781.2897261622429,0,12
S014-MED-01,Q3-T-014,2848.710273837757,2848.710273837757,0.0,True,True,7200.0,3600.0,751.2897261622429,0,22
S014-FOD-01,Q3-T-014,2878.710273837757,2878.710273837757,0.0,False,False,7200.0,,,0,10
S013-WAT-01,Q3-T-015,3174.9452293862923,3174.9452293862923,0.0,False,True,3600.0,3600.0,425.05477061370766,0,12
S013-FOD-01,Q3-T-015,3204.9452293862923,3204.9452293862923,0.0,False,False,7200.0,,,0,10
S005-MED-01,Q3-T-016,3800.4285134332426,3800.428513433242,4.547473508864641e-13,True,True,10800.0,10800.0,6999.571486566758,0,16
S005-WAT-01,Q3-T-016,3830.4285134332426,3830.428513433242,4.547473508864641e-13,False,True,10800.0,10800.0,6969.571486566758,0,8
S011-MED-01,Q3-T-017,4352.428718146142,4352.428718146142,0.0,True,True,10800.0,10800.0,6447.571281853858,0,16
S011-WAT-01,Q3-T-017,4382.428718146142,4382.428718146142,0.0,False,True,10800.0,10800.0,6417.571281853858,0,8
S011-FOD-01,Q3-T-017,4412.428718146142,4412.428718146142,0.0,False,False,14400.0,,,0,6
S008-WAT-01,Q3-T-018,4836.143213708869,4836.143213708869,0.0,False,True,7200.0,7200.0,2363.8567862911314,0,10
S008-FOD-01,Q3-T-018,4866.143213708869,4866.143213708869,0.0,False,False,10800.0,,,0,8
S003-MED-01,Q3-T-019,5108.050588857914,5108.050588857914,0.0,True,True,7200.0,7200.0,2091.9494111420863,0,20
S003-WAT-02,Q3-T-019,5138.050588857914,5138.050588857914,0.0,False,False,7200.0,,,0,10
S003-WAT-01,Q3-T-020,5199.487136946707,5199.487136946707,0.0,False,True,7200.0,7200.0,2000.5128630532927,0,10
S003-WAT-03,Q3-T-020,5235.487136946707,5235.487136946707,0.0,False,False,7200.0,,,0,10
S003-WAT-04,Q3-T-020,5271.487136946707,5271.487136946707,0.0,False,False,7200.0,,,0,10
S003-FOD-01,Q3-T-020,5307.487136946707,5307.487136946707,0.0,False,False,10800.0,,,0,8
S003-FOD-02,Q3-T-020,5343.487136946707,5343.487136946707,0.0,False,False,10800.0,,,0,8
S003-HYG-01,Q3-T-020,5379.487136946707,5379.487136946707,0.0,False,False,14400.0,,,0,6
S005-WAT-02,Q3-T-021,5085.840822707767,5085.840822707768,9.094947017729282e-13,False,False,10800.0,,,0,8
S005-WAT-03,Q3-T-021,5121.840822707767,5121.840822707768,9.094947017729282e-13,False,False,10800.0,,,0,8
S005-FOD-01,Q3-T-021,5157.840822707767,5157.840822707768,9.094947017729282e-13,False,False,14400.0,,,0,6
S005-HYG-01,Q3-T-021,5193.840822707767,5193.840822707768,9.094947017729282e-13,False,False,18000.0,,,0,4
S008-MED-01,Q3-T-021,5729.1773051465725,5729.177305146573,9.094947017729282e-13,True,True,7200.0,7200.0,1470.8226948534275,0,20
S008-WAT-02,Q3-T-021,5765.1773051465725,5765.177305146573,9.094947017729282e-13,False,False,7200.0,,,0,10
S008-HYG-01,Q3-T-021,5801.1773051465725,5801.177305146573,9.094947017729282e-13,False,False,14400.0,,,0,6
S015-MED-01,Q3-T-022,6257.778476322008,6257.778476322008,0.0,True,True,7200.0,7200.0,942.2215236779921,0,18
S015-WAT-01,Q3-T-022,6287.778476322008,6287.778476322008,0.0,False,True,10800.0,10800.0,4512.221523677992,0,8
S015-FOD-01,Q3-T-022,6317.778476322008,6317.778476322008,0.0,False,False,14400.0,,,0,6
S009-MED-01,Q3-T-023,6567.6431314167485,6567.6431314167485,0.0,True,True,10800.0,10800.0,4232.3568685832515,0,16
S009-WAT-01,Q3-T-023,6597.6431314167485,6597.6431314167485,0.0,False,True,10800.0,10800.0,4202.3568685832515,0,8
S009-FOD-01,Q3-T-023,6627.6431314167485,6627.6431314167485,0.0,False,False,14400.0,,,0,6
