resource_type,resource_id,previous_trip,next_trip,resource_ready_s,next_start_s,slack_s,pass
drone,U01,Q3-T-001,Q3-T-010,1310.899502077302,1310.899502077302,0.0,True
drone,U02,Q3-T-002,Q3-T-009,1250.899502077302,1250.899502077302,0.0,True
drone,U02,Q3-T-009,Q3-T-016,2501.7990041546045,2701.576617001114,199.77761284650933,True
drone,U03,Q3-T-003,Q3-T-019,2476.7196696981537,3728.7626161436283,1252.0429464454746,True
drone,U04,Q3-T-004,Q3-T-015,1654.8627275526428,2121.355027214739,466.49229966209623,True
drone,U05,Q3-T-005,Q3-T-014,1636.2753989802832,1636.2753989802832,0.0,True
drone,U05,Q3-T-014,Q3-T-017,3506.0318153618973,3506.0318153618973,0.0,True
drone,U05,Q3-T-017,Q3-T-022,4694.452287597054,5100.2001576085195,405.74787001146524,True
drone,U06,Q3-T-006,Q3-T-013,1576.2753989802832,1576.2753989802832,0.0,True
drone,U06,Q3-T-013,Q3-T-018,3548.708706474255,3635.0008292120365,86.29212273778148,True
drone,U06,Q3-T-018,Q3-T-023,5536.832264872368,5536.832264872368,0.0,True
drone,U07,Q3-T-007,Q3-T-012,1561.5538679616764,1561.5538679616764,0.0,True
drone,U07,Q3-T-012,Q3-T-021,3862.6105604448767,3862.6105604448767,0.0,True
drone,U08,Q3-T-008,Q3-T-011,1560.1690773291593,1560.1690773291593,0.0,True
drone,U08,Q3-T-011,Q3-T-020,3733.98146214442,3733.98146214442,0.0,True
battery,A-BAT-01,Q3-T-001,Q3-T-019,2176.154919710242,3728.7626161436283,1552.607696433386,True
battery,A-BAT-02,Q3-T-002,Q3-T-015,2121.355027214739,2121.355027214739,0.0,True
battery,A-BAT-04,Q3-T-004,Q3-T-016,2701.576617001114,2701.576617001114,0.0,True
battery,B-BAT-01,Q3-T-005,Q3-T-018,3074.285293757934,3635.0008292120365,560.7155354541023,True
battery,B-BAT-02,Q3-T-006,Q3-T-017,2960.75605363253,3506.0318153618973,545.2757617293673,True
battery,B-BAT-03,Q3-T-013,Q3-T-023,5342.891273233337,5536.832264872368,193.94099163903047,True
battery,B-BAT-04,Q3-T-014,Q3-T-022,5100.2001576085195,5100.2001576085195,0.0,True
battery,C-BAT-01,Q3-T-007,Q3-T-020,3098.5089147087447,3733.98146214442,635.4725474356756,True
battery,C-BAT-02,Q3-T-008,Q3-T-021,3183.680952299218,3862.6105604448767,678.9296081456587,True
