trip_id,model_id,drone_id,battery_id,weight_kg,volume_m3,box_count,recomputed_energy_kwh,energy_error_kwh,recomputed_return_s,return_time_error_s,return_soc_fraction,start_s,recomputed_charge_complete_s,recomputed_charge_s,flight_time_s
Q3-T-001,A,U01,A-BAT-01,20.0,0.051000000000000004,3,1.2643456764217151,0.0,1310.899502077302,0.0,0.7190342941285077,0.0,2176.154919710242,865.2554176329401,680.899502077302
Q3-T-002,A,U02,A-BAT-02,22.0,0.055,2,1.2823460485526663,0.0,1250.899502077302,0.0,0.7150342114327408,0.0,2121.355027214739,870.4555251374369,680.899502077302
Q3-T-003,A,U03,A-BAT-03,22.0,0.055,2,3.2781836447872807,4.440892098500626e-16,2476.7196696981537,0.0,0.2715147456028265,0.0,3923.750500414479,1447.0308307163255,1756.7196696981534
Q3-T-004,A,U04,A-BAT-04,11.0,0.04,2,1.8924711557831677,2.220446049250313e-16,1654.8627275526428,0.0,0.5794508542704071,0.0,2701.576617001114,1046.7138894484708,1084.8627275526428
Q3-T-005,B,U05,B-BAT-01,25.0,0.067,3,1.7800228341022715,2.220446049250313e-16,1636.2753989802832,0.0,0.5549942914744321,0.0,3074.285293757934,1438.009894777651,1006.2753989802832
Q3-T-006,B,U06,B-BAT-02,20.0,0.062,2,1.6564938184282614,0.0,1576.2753989802832,0.0,0.5858765453929347,0.0,2960.75605363253,1384.4806546522466,1006.2753989802832
Q3-T-007,C,U07,C-BAT-01,59.0,0.156,6,2.597987864912252,0.0,1561.5538679616764,0.0,0.6752515168859685,0.0,3098.5089147087447,1536.955046747068,685.5538679616764
Q3-T-008,C,U08,C-BAT-02,76.0,0.20600000000000002,7,2.917582307581756,0.0,1560.1690773291593,0.0,0.6353022115522805,0.0,3183.680952299218,1623.511874970059,618.1690773291593
Q3-T-009,A,U02,A-BAT-05,22.0,0.055,2,1.2823460485526663,0.0,2501.7990041546045,4.547473508864641e-13,0.7150342114327408,1250.899502077302,3372.254529292041,870.4555251374369,680.899502077302
Q3-T-010,A,U01,A-BAT-06,20.0,0.051000000000000004,3,3.0835583509061246,4.440892098500626e-16,3708.0057340698418,4.547473508864641e-13,0.31476481090975006,1310.899502077302,5098.811479887167,1390.805745817325,1617.1062319925395
Q3-T-011,C,U08,C-BAT-03,67.0,0.184,7,6.2808246626049495,0.0,3733.98146214442,0.0,0.2148969171743813,1560.1690773291593,6268.371474933261,2534.3900127888405,1231.8123848152609
Q3-T-012,C,U07,C-BAT-04,59.0,0.156,6,6.152932018907208,0.0,3862.6105604448767,0.0,0.230883497636599,1561.5538679616764,6362.3629822322455,2499.752421787369,1425.0566924832003
Q3-T-013,B,U06,B-BAT-03,28.0,0.054,2,2.601959769444037,4.440892098500626e-16,3548.708706474255,0.0,0.3495100576389908,1576.2753989802832,5342.891273233337,1794.1825667590826,1252.4333074939716
Q3-T-014,B,U05,B-BAT-04,25.0,0.067,3,2.14038848210759,0.0,3506.0318153618973,0.0,0.4649028794731025,1636.2753989802832,5100.2001576085195,1594.1683422466224,1239.7564163816144
Q3-T-015,A,U04,A-BAT-02,22.0,0.055,2,2.0254456441490363,4.440892098500626e-16,3733.4687648911786,0.0,0.5499009679668808,2121.355027214739,4818.597506534234,1085.128741643055,1042.1137376764395
Q3-T-016,A,U02,A-BAT-04,17.0,0.039,2,2.1213260052841925,0.0,4393.767076532038,0.0,0.5285942210479573,2701.576617001114,5506.594589169694,1112.8275126376554,1122.190459530924
Q3-T-017,B,U05,B-BAT-02,25.0,0.067,3,1.0739517654354556,0.0,4694.452287597054,0.0,0.7315120586411361,3506.0318153618973,5826.498052619085,1132.0457650220308,558.420472235157
Q3-T-018,B,U06,B-BAT-01,22.0,0.055,2,2.8391427052283413,0.0,5536.832264872368,0.0,0.29021432369291467,3635.0008292120365,7433.794103804649,1896.9618389322814,1331.8314356603314
Q3-T-019,A,U03,A-BAT-01,17.0,0.039,2,2.9819824555023335,4.440892098500626e-16,5991.391894905532,9.094947017729282e-13,0.3373372321105925,3728.7626161436283,7352.853493161761,1361.4615982562298,1692.6292787619036
Q3-T-020,C,U08,C-BAT-01,64.0,0.17200000000000001,6,6.149478043769306,0.0,6170.072811748994,9.094947017729282e-13,0.23131524452883678,3733.98146214442,8668.889781936516,2498.81697018752,1560.091349604575
Q3-T-021,C,U07,C-BAT-02,65.0,0.191,7,6.377583029268816,8.881784197001252e-16,6503.187911689303,0.0,0.20280212134139797,3862.6105604448767,9063.783315449607,2560.5954037603046,1518.5773512444262
Q3-T-022,B,U05,B-BAT-04,25.0,0.067,3,2.3074528242840895,0.0,6928.476795035496,9.094947017729282e-13,0.42313679392897763,5100.2001576085195,8595.0396855586,1666.5628905231054,1198.2766374269763
Q3-T-023,B,U06,B-BAT-03,25.0,0.067,3,2.09623373442617,0.0,7095.273997961129,0.0,0.4759415663934575,5536.832264872368,8670.30861621247,1575.0346182513401,928.4417330887609
