resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U01,Q3-T-001,prepare_load,0.0,390.0
drone,U01,Q3-T-001,climb,390.0,438.45220336914065
drone,U01,Q3-T-001,cruise,438.45220336914065,692.9504403290156
drone,U01,Q3-T-001,descent,692.9504403290156,728.5730843719844
drone,U01,Q3-T-001,handoff,728.5730843719844,968.5730843719844
drone,U01,Q3-T-001,climb,968.5730843719844,998.2586210744583
drone,U01,Q3-T-001,cruise,998.2586210744583,1252.7568580343334
drone,U01,Q3-T-001,descent,1252.7568580343334,1310.8995020773023
drone,U02,Q3-T-002,prepare_load,0.0,360.0
drone,U02,Q3-T-002,climb,360.0,408.45220336914065
drone,U02,Q3-T-002,cruise,408.45220336914065,662.9504403290156
drone,U02,Q3-T-002,descent,662.9504403290156,698.5730843719844
drone,U02,Q3-T-002,handoff,698.5730843719844,908.5730843719844
drone,U02,Q3-T-002,climb,908.5730843719844,938.2586210744583
drone,U02,Q3-T-002,cruise,938.2586210744583,1192.7568580343334
drone,U02,Q3-T-002,descent,1192.7568580343334,1250.8995020773023
drone,U03,Q3-T-003,prepare_load,0.0,360.0
drone,U03,Q3-T-003,climb,360.0,462.6455118815104
drone,U03,Q3-T-003,cruise,462.6455118815104,861.3534161851755
drone,U03,Q3-T-003,descent,861.3534161851755,894.968030442988
drone,U03,Q3-T-003,handoff,894.968030442988,1074.968030442988
drone,U03,Q3-T-003,climb,1074.968030442988,1115.4981329820505
drone,U03,Q3-T-003,cruise,1115.4981329820505,1444.748509829613
drone,U03,Q3-T-003,descent,1444.748509829613,1522.104632876488
drone,U03,Q3-T-003,handoff,1522.104632876488,1702.104632876488
drone,U03,Q3-T-003,climb,1702.104632876488,1746.604964500837
drone,U03,Q3-T-003,cruise,1746.604964500837,2362.4792717489345
drone,U03,Q3-T-003,descent,2362.4792717489345,2476.719669698153
drone,U04,Q3-T-004,prepare_load,0.0,360.0
drone,U04,Q3-T-004,climb,360.0,462.6455118815104
drone,U04,Q3-T-004,cruise,462.6455118815104,861.3534161851755
drone,U04,Q3-T-004,descent,861.3534161851755,894.968030442988
drone,U04,Q3-T-004,handoff,894.968030442988,1104.968030442988
drone,U04,Q3-T-004,climb,1104.968030442988,1132.980208991165
drone,U04,Q3-T-004,cruise,1132.980208991165,1531.6881132948301
drone,U04,Q3-T-004,descent,1531.6881132948301,1654.8627275526426
drone,U05,Q3-T-005,prepare_load,0.0,390.0
drone,U05,Q3-T-005,climb,390.0,518.0910583496094
drone,U05,Q3-T-005,cruise,518.0910583496094,820.3884294706104
drone,U05,Q3-T-005,descent,820.3884294706104,885.7776994901417
drone,U05,Q3-T-005,handoff,885.7776994901417,1125.7776994901417
drone,U05,Q3-T-005,climb,1125.7776994901417,1180.268757839751
drone,U05,Q3-T-005,cruise,1180.268757839751,1482.566128960752
drone,U05,Q3-T-005,descent,1482.566128960752,1636.2753989802832
drone,U06,Q3-T-006,prepare_load,0.0,360.0
drone,U06,Q3-T-006,climb,360.0,488.0910583496094
drone,U06,Q3-T-006,cruise,488.0910583496094,790.3884294706104
drone,U06,Q3-T-006,descent,790.3884294706104,855.7776994901417
drone,U06,Q3-T-006,handoff,855.7776994901417,1065.7776994901417
drone,U06,Q3-T-006,climb,1065.7776994901417,1120.268757839751
drone,U06,Q3-T-006,cruise,1120.268757839751,1422.566128960752
drone,U06,Q3-T-006,descent,1422.566128960752,1576.2753989802832
drone,U07,Q3-T-007,prepare_load,0.0,480.0
drone,U07,Q3-T-007,climb,480.0,575.3591357421875
drone,U07,Q3-T-007,cruise,575.3591357421875,787.7730143031038
drone,U07,Q3-T-007,descent,787.7730143031038,813.4219339808382
drone,U07,Q3-T-007,handoff,813.4219339808382,1209.4219339808383
drone,U07,Q3-T-007,climb,1209.4219339808383,1229.9410697230257
drone,U07,Q3-T-007,cruise,1229.9410697230257,1442.3549482839421
drone,U07,Q3-T-007,descent,1442.3549482839421,1561.5538679616766
drone,U08,Q3-T-008,prepare_load,0.0,510.0
drone,U08,Q3-T-008,climb,510.0,568.1426440429688
drone,U08,Q3-T-008,cruise,568.1426440429688,771.7412336108687
drone,U08,Q3-T-008,descent,771.7412336108687,816.2695386645796
drone,U08,Q3-T-008,handoff,816.2695386645796,1248.2695386645796
drone,U08,Q3-T-008,climb,1248.2695386645796,1283.8921827075483
drone,U08,Q3-T-008,cruise,1283.8921827075483,1487.4907722754483
drone,U08,Q3-T-008,descent,1487.4907722754483,1560.1690773291593
drone,U02,Q3-T-009,prepare_load,1250.899502077302,1610.899502077302
drone,U02,Q3-T-009,climb,1610.899502077302,1659.3517054464426
drone,U02,Q3-T-009,cruise,1659.3517054464426,1913.8499424063175
drone,U02,Q3-T-009,descent,1913.8499424063175,1949.4725864492862
drone,U02,Q3-T-009,handoff,1949.4725864492862,2159.472586449286
drone,U02,Q3-T-009,climb,2159.472586449286,2189.1581231517603
drone,U02,Q3-T-009,cruise,2189.1581231517603,2443.6563601116354
drone,U02,Q3-T-009,descent,2443.6563601116354,2501.799004154604
drone,U01,Q3-T-010,prepare_load,1310.899502077302,1700.899502077302
drone,U01,Q3-T-010,climb,1700.899502077302,1791.3934433207917
drone,U01,Q3-T-010,cruise,1791.3934433207917,2195.4969747566674
drone,U01,Q3-T-010,descent,2195.4969747566674,2214.489704248855
drone,U01,Q3-T-010,handoff,2214.489704248855,2394.489704248855
drone,U01,Q3-T-010,climb,2394.489704248855,2422.765159978022
drone,U01,Q3-T-010,cruise,2422.765159978022,2660.7001503731763
drone,U01,Q3-T-010,descent,2660.7001503731763,2723.3906972481764
drone,U01,Q3-T-010,handoff,2723.3906972481764,2933.3906972481764
drone,U01,Q3-T-010,climb,2933.3906972481764,2977.891028872525
drone,U01,Q3-T-010,cruise,2977.891028872525,3593.7653361206226
drone,U01,Q3-T-010,descent,3593.7653361206226,3708.0057340698413
drone,U08,Q3-T-011,prepare_load,1560.1690773291593,2070.1690773291593
drone,U08,Q3-T-011,climb,2070.1690773291593,2142.6707789893157
drone,U08,Q3-T-011,cruise,2142.6707789893157,2636.758142661595
drone,U08,Q3-T-011,descent,2636.758142661595,2681.48526973679
drone,U08,Q3-T-011,handoff,2681.48526973679,3113.48526973679
drone,U08,Q3-T-011,climb,3113.48526973679,3149.2669713969462
drone,U08,Q3-T-011,cruise,3149.2669713969462,3643.3543350692253
drone,U08,Q3-T-011,descent,3643.3543350692253,3733.9814621444207
drone,U07,Q3-T-012,prepare_load,1561.5538679616764,2041.5538679616764
drone,U07,Q3-T-012,climb,2041.5538679616764,2149.7695344655826
drone,U07,Q3-T-012,cruise,2149.7695344655826,2664.0826310733937
drone,U07,Q3-T-012,descent,2664.0826310733937,2749.0522142032764
drone,U07,Q3-T-012,handoff,2749.0522142032764,3145.0522142032764
drone,U07,Q3-T-012,climb,3145.0522142032764,3213.0278807071827
drone,U07,Q3-T-012,cruise,3213.0278807071827,3727.340977314994
drone,U07,Q3-T-012,descent,3727.340977314994,3862.6105604448767
drone,U06,Q3-T-013,prepare_load,1576.2753989802832,1936.2753989802832
drone,U06,Q3-T-013,climb,1936.2753989802832,1984.7276023494237
drone,U06,Q3-T-013,cruise,1984.7276023494237,2188.3261919173237
drone,U06,Q3-T-013,descent,2188.3261919173237,2223.9488359602924
drone,U06,Q3-T-013,handoff,2223.9488359602924,2403.9488359602924
drone,U06,Q3-T-013,climb,2403.9488359602924,2445.6971168033915
drone,U06,Q3-T-013,cruise,2445.6971168033915,2736.403619413304
drone,U06,Q3-T-013,descent,2736.403619413304,2772.3015564250227
drone,U06,Q3-T-013,handoff,2772.3015564250227,2952.3015564250227
drone,U06,Q3-T-013,climb,2952.3015564250227,2982.1196411418196
drone,U06,Q3-T-013,cruise,2982.1196411418196,3476.2070048140986
drone,U06,Q3-T-013,descent,3476.2070048140986,3548.708706474255
drone,U05,Q3-T-014,prepare_load,1636.2753989802832,2026.2753989802832
drone,U05,Q3-T-014,climb,2026.2753989802832,2181.024528212054
drone,U05,Q3-T-014,cruise,2181.024528212054,2542.3313187596323
drone,U05,Q3-T-014,descent,2542.3313187596323,2638.710273837757
drone,U05,Q3-T-014,handoff,2638.710273837757,2878.710273837757
drone,U05,Q3-T-014,climb,2878.710273837757,2959.0260697361946
drone,U05,Q3-T-014,cruise,2959.0260697361946,3320.332860283773
drone,U05,Q3-T-014,descent,3320.332860283773,3506.0318153618978
drone,U04,Q3-T-015,prepare_load,2121.355027214739,2481.355027214739
drone,U04,Q3-T-015,climb,2481.355027214739,2571.8489684582287
drone,U04,Q3-T-015,cruise,2571.8489684582287,2975.9524998941047
drone,U04,Q3-T-015,descent,2975.9524998941047,2994.9452293862923
drone,U04,Q3-T-015,handoff,2994.9452293862923,3204.9452293862923
drone,U04,Q3-T-015,climb,3204.9452293862923,3220.7725039631155
drone,U04,Q3-T-015,cruise,3220.7725039631155,3624.8760353989915
drone,U04,Q3-T-015,descent,3624.8760353989915,3733.468764891179
drone,U02,Q3-T-016,prepare_load,2701.576617001114,3061.576617001114
drone,U02,Q3-T-016,climb,3061.576617001114,3127.8135798917388
drone,U02,Q3-T-016,cruise,3127.8135798917388,3567.8641579644923
drone,U02,Q3-T-016,descent,3567.8641579644923,3620.428513433242
drone,U02,Q3-T-016,handoff,3620.428513433242,3830.428513433242
drone,U02,Q3-T-016,climb,3830.428513433242,3874.2321429905337
drone,U02,Q3-T-016,cruise,3874.2321429905337,4314.282721063288
drone,U02,Q3-T-016,descent,4314.282721063288,4393.767076532038
drone,U05,Q3-T-017,prepare_load,3506.0318153618973,3896.0318153618973
drone,U05,Q3-T-017,climb,3896.0318153618973,3951.919067152262
drone,U05,Q3-T-017,cruise,3951.919067152262,4139.124015997705
drone,U05,Q3-T-017,descent,4139.124015997705,4172.428718146142
drone,U05,Q3-T-017,handoff,4172.428718146142,4412.428718146142
drone,U05,Q3-T-017,climb,4412.428718146142,4440.182636603174
drone,U05,Q3-T-017,cruise,4440.182636603174,4627.387585448617
drone,U05,Q3-T-017,descent,4627.387585448617,4694.452287597054
drone,U06,Q3-T-018,prepare_load,3635.0008292120365,3995.0008292120365
drone,U06,Q3-T-018,climb,3995.0008292120365,4076.7372733038333
drone,U06,Q3-T-018,cruise,4076.7372733038333,4615.339480798712
drone,U06,Q3-T-018,descent,4615.339480798712,4656.143213708869
drone,U06,Q3-T-018,handoff,4656.143213708869,4866.143213708869
drone,U06,Q3-T-018,climb,4866.143213708869,4900.146324467332
drone,U06,Q3-T-018,cruise,4900.146324467332,5438.748531962212
drone,U06,Q3-T-018,descent,5438.748531962212,5536.832264872368
drone,U03,Q3-T-019,prepare_load,3728.7626161436283,4088.7626161436283
drone,U03,Q3-T-019,climb,4088.7626161436283,4233.46399553816
drone,U03,Q3-T-019,cruise,4233.46399553816,4838.728933584476
drone,U03,Q3-T-019,descent,4838.728933584476,4928.050588857914
drone,U03,Q3-T-019,handoff,4928.050588857914,5138.050588857914
