trip_id,drone_id,model_id,battery_id,start_s,takeoff_s,visit_order,route,return_s,energy_kwh,return_soc_fraction,initial_soc_fraction,weight_kg,volume_m3,box_count,box_ids,stop_count,flight_time_s,operation_time_s,preparation_load_s,handoff_s
Q3-T-001,U01,A,A-BAT-01,0.0,390.0,S001,O01→S001→O01,1310.899502077302,1.2643456764217151,0.7190342941285077,1.0,20.0,0.051000000000000004,3,S001-MED-01;S001-MED-02;S001-WAT-01,1,680.899502077302,1310.899502077302,390.0,240.0
Q3-T-002,U02,A,A-BAT-02,0.0,360.0,S001,O01→S001→O01,1250.899502077302,1.2823460485526663,0.7150342114327408,1.0,22.0,0.055,2,S001-FOD-01;S001-WAT-04,1,680.899502077302,1250.899502077302,360.0,210.0
Q3-T-003,U03,A,A-BAT-03,0.0,360.0,S010;S012,O01→S010→S012→O01,2476.7196696981537,3.2781836447872803,0.2715147456028266,1.0,22.0,0.055,2,S010-WAT-01;S012-FOD-01,2,1756.7196696981534,2476.7196696981537,360.0,360.0000000000002
Q3-T-004,U04,A,A-BAT-04,0.0,360.0,S010,O01→S010→O01,1654.8627275526428,1.892471155783168,0.5794508542704071,1.0,11.0,0.04,2,S010-FOD-01;S010-MED-01,1,1084.8627275526428,1654.8627275526428,360.0,210.0
Q3-T-005,U05,B,B-BAT-01,0.0,390.0,S007,O01→S007→O01,1636.2753989802832,1.7800228341022712,0.5549942914744321,1.0,25.0,0.067,3,S007-FOD-01;S007-MED-01;S007-WAT-02,1,1006.2753989802832,1636.2753989802832,390.0,240.0
Q3-T-006,U06,B,B-BAT-02,0.0,360.0,S007,O01→S007→O01,1576.2753989802832,1.6564938184282614,0.5858765453929347,1.0,20.0,0.062,2,S007-HYG-01;S007-WAT-01,1,1006.2753989802832,1576.2753989802832,360.0,210.0
Q3-T-007,U07,C,C-BAT-01,0.0,480.0,S006,O01→S006→O01,1561.5538679616764,2.597987864912252,0.6752515168859685,1.0,59.0,0.156,6,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,1,685.5538679616764,1561.5538679616764,480.0,396.0
Q3-T-008,U08,C,C-BAT-02,0.0,510.0,S001,O01→S001→O01,1560.1690773291593,2.917582307581756,0.6353022115522805,1.0,76.0,0.20600000000000002,7,S001-FOD-02;S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-06;S001-WAT-08,1,618.1690773291593,1560.1690773291593,510.0,432.0
Q3-T-009,U02,A,A-BAT-05,1250.899502077302,1610.899502077302,S001,O01→S001→O01,2501.799004154604,1.2823460485526663,0.7150342114327408,1.0,22.0,0.055,2,S001-FOD-03;S001-WAT-07,1,680.899502077302,1250.899502077302,360.0,210.0
Q3-T-010,U01,A,A-BAT-06,1310.899502077302,1700.899502077302,S013;S012,O01→S013→S012→O01,3708.0057340698413,3.083558350906124,0.31476481090975017,1.0,20.0,0.051000000000000004,3,S012-MED-01;S012-WAT-01;S013-MED-01,2,1617.1062319925395,2397.1062319925395,390.0,390.0
Q3-T-011,U08,C,C-BAT-03,1560.1690773291593,2070.1690773291593,S002,O01→S002→O01,3733.98146214442,6.2808246626049495,0.2148969171743813,1.0,67.0,0.184,7,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-04,1,1231.8123848152609,2173.812384815261,510.0,432.0
Q3-T-012,U07,C,C-BAT-04,1561.5538679616764,2041.5538679616764,S004,O01→S004→O01,3862.6105604448767,6.152932018907208,0.230883497636599,1.0,59.0,0.156,6,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,1,1425.0566924832003,2301.0566924832005,480.0,396.0000000000002
Q3-T-013,U06,B,B-BAT-03,1576.2753989802832,1936.2753989802832,S001;S002,O01→S001→S002→O01,3548.708706474255,2.6019597694440364,0.3495100576389909,1.0,28.0,0.054,2,S001-WAT-05;S002-WAT-03,2,1252.4333074939716,1972.4333074939718,360.0,360.0000000000002
Q3-T-014,U05,B,B-BAT-04,1636.2753989802832,2026.2753989802832,S014,O01→S014→O01,3506.0318153618973,2.14038848210759,0.4649028794731025,1.0,25.0,0.067,3,S014-FOD-01;S014-MED-01;S014-WAT-01,1,1239.7564163816144,1869.7564163816144,390.0,240.0
Q3-T-015,U04,A,A-BAT-02,2121.355027214739,2481.355027214739,S013,O01→S013→O01,3733.4687648911786,2.025445644149036,0.5499009679668809,1.0,22.0,0.055,2,S013-FOD-01;S013-WAT-01,1,1042.1137376764395,1612.1137376764395,360.0,210.0
Q3-T-016,U02,A,A-BAT-04,2701.576617001114,3061.576617001114,S005,O01→S005→O01,4393.767076532038,2.1213260052841925,0.5285942210479573,1.0,17.0,0.039,2,S005-MED-01;S005-WAT-01,1,1122.190459530924,1692.1904595309243,360.0,210.00000000000023
Q3-T-017,U05,B,B-BAT-02,3506.0318153618973,3896.0318153618973,S011,O01→S011→O01,4694.452287597054,1.0739517654354556,0.7315120586411361,1.0,25.0,0.067,3,S011-FOD-01;S011-MED-01;S011-WAT-01,1,558.420472235157,1188.420472235157,390.0,239.9999999999999
Q3-T-018,U06,B,B-BAT-01,3635.0008292120365,3995.0008292120365,S008,O01→S008→O01,5536.832264872368,2.8391427052283413,0.29021432369291467,1.0,22.0,0.055,2,S008-FOD-01;S008-WAT-01,1,1331.8314356603314,1901.8314356603312,360.0,209.99999999999977
Q3-T-019,U03,A,A-BAT-01,3728.7626161436283,4088.7626161436283,S003,O01→S003→O01,5991.391894905531,2.981982455502334,0.3373372321105924,1.0,17.0,0.039,2,S003-MED-01;S003-WAT-02,1,1692.6292787619036,2262.6292787619036,360.0,210.0
Q3-T-020,U08,C,C-BAT-01,3733.98146214442,4213.98146214442,S003,O01→S003→O01,6170.072811748995,6.149478043769306,0.23131524452883678,1.0,64.0,0.17200000000000001,6,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-01;S003-WAT-03;S003-WAT-04,1,1560.091349604575,2436.091349604575,480.0,396.0
Q3-T-021,U07,C,C-BAT-02,3862.6105604448767,4372.610560444877,S005;S008,O01→S005→S008→O01,6503.187911689303,6.377583029268815,0.20280212134139808,1.0,65.0,0.191,7,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03;S008-HYG-01;S008-MED-01;S008-WAT-02,2,1518.5773512444262,2640.577351244426,510.0,612.0
