货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q3-T-014,S001,3017.7886943152193
S001-FOD-02,Q3-T-002,S001,908.5730843719844
S001-FOD-03,Q3-T-009,S001,2159.472586449286
S001-HYG-01,Q3-T-011,S001,2659.823406626256
S001-HYG-02,Q3-T-008,S001,942.2695386645796
S001-MED-01,Q3-T-003,S001,878.5730843719844
S001-MED-02,Q3-T-004,S001,878.5730843719844
S001-WAT-01,Q3-T-004,S001,908.5730843719844
S001-WAT-02,Q3-T-014,S001,2987.7886943152193
S001-WAT-03,Q3-T-011,S001,2623.823406626256
S001-WAT-04,Q3-T-017,S001,3380.3720885265884
S001-WAT-05,Q3-T-003,S001,908.5730843719844
S001-WAT-06,Q3-T-002,S001,878.5730843719844
S001-WAT-07,Q3-T-009,S001,2129.472586449286
S001-WAT-08,Q3-T-010,S001,2129.472586449286
S002-FOD-01,Q3-T-011,S002,3369.500267512536
S002-FOD-02,Q3-T-011,S002,3405.500267512536
S002-HYG-01,Q3-T-011,S002,3441.500267512536
S002-MED-01,Q3-T-011,S002,3261.500267512536
S002-WAT-01,Q3-T-013,S002,2766.562549029515
S002-WAT-02,Q3-T-011,S002,3297.500267512536
S002-WAT-03,Q3-T-013,S002,2796.562549029515
S002-WAT-04,Q3-T-011,S002,3333.500267512536
S003-FOD-01,Q3-T-022,S003,5635.502134722453
S003-FOD-02,Q3-T-022,S003,5671.502134722453
S003-HYG-01,Q3-T-022,S003,5707.502134722453
S003-MED-01,Q3-T-020,S003,5108.050588857914
S003-WAT-01,Q3-T-020,S003,5138.050588857914
S003-WAT-02,Q3-T-022,S003,5527.502134722453
S003-WAT-03,Q3-T-022,S003,5563.502134722453
S003-WAT-04,Q3-T-022,S003,5599.502134722453
S004-FOD-01,Q3-T-016,S004,3958.38677710562
S004-HYG-01,Q3-T-016,S004,3994.38677710562
S004-MED-01,Q3-T-016,S004,3814.38677710562
S004-WAT-01,Q3-T-016,S004,3850.38677710562
S004-WAT-02,Q3-T-016,S004,3886.38677710562
S004-WAT-03,Q3-T-016,S004,3922.38677710562
S005-FOD-01,Q3-T-019,S005,4463.811479896326
S005-HYG-01,Q3-T-025,S005,5953.175385610112
S005-MED-01,Q3-T-019,S005,4433.811479896326
S005-WAT-01,Q3-T-025,S005,5845.175385610112
S005-WAT-02,Q3-T-025,S005,5881.175385610112
S005-WAT-03,Q3-T-025,S005,5917.175385610112
S006-FOD-01,Q3-T-007,S006,1173.4219339808383
S006-HYG-01,Q3-T-007,S006,1209.4219339808383
S006-MED-01,Q3-T-007,S006,1029.4219339808383
S006-WAT-01,Q3-T-007,S006,1065.4219339808383
S006-WAT-02,Q3-T-007,S006,1101.4219339808383
S006-WAT-03,Q3-T-007,S006,1137.4219339808383
S007-FOD-01,Q3-T-006,S007,1125.7776994901417
S007-HYG-01,Q3-T-005,S007,1065.7776994901417
S007-MED-01,Q3-T-006,S007,1065.7776994901417
S007-WAT-01,Q3-T-005,S007,1035.7776994901417
S007-WAT-02,Q3-T-006,S007,1095.7776994901417
S008-FOD-01,Q3-T-023,S008,5596.363573528526
S008-HYG-01,Q3-T-018,S008,4953.5548141270665
S008-MED-01,Q3-T-018,S008,4923.5548141270665
S008-WAT-01,Q3-T-023,S008,5566.363573528526
S008-WAT-02,Q3-T-019,S008,4942.106767266771
S009-FOD-01,Q3-T-021,S009,4927.748051600321
S009-MED-01,Q3-T-021,S009,4867.748051600321
S009-WAT-01,Q3-T-021,S009,4897.748051600321
S010-FOD-01,Q3-T-010,S010,2732.782201150687
S010-MED-01,Q3-T-001,S010,1104.968030442988
S010-WAT-01,Q3-T-001,S010,1134.968030442988
S011-FOD-01,Q3-T-017,S011,3813.0575933640844
S011-MED-01,Q3-T-018,S011,4175.875038255948
S011-WAT-01,Q3-T-026,S011,6181.775820928946
S012-FOD-01,Q3-T-008,S012,1721.9880896797995
S012-MED-01,Q3-T-008,S012,1685.9880896797995
S012-WAT-01,Q3-T-008,S012,1649.9880896797995
S013-FOD-01,Q3-T-015,S013,3192.8058121147883
S013-MED-01,Q3-T-001,S013,1541.6290185067037
S013-WAT-01,Q3-T-015,S013,3162.8058121147883
S014-FOD-01,Q3-T-012,S014,2818.710273837757
S014-MED-01,Q3-T-012,S014,2788.710273837757
S014-WAT-01,Q3-T-012,S014,2758.710273837757
S015-FOD-01,Q3-T-024,S015,5721.702396938054
S015-MED-01,Q3-T-020,S015,5591.24033141265
S015-WAT-01,Q3-T-024,S015,5691.702396938054
