运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q3-T-001,爬升·边界点,390.0,390.0,直连,
Q3-T-001,爬升,390.0,390.34184672371094,直连,
Q3-T-001,爬升·边界点,390.34184672371094,390.34184672371094,直连,
Q3-T-001,爬升,390.34184672371094,399.60265609712184,直连,
Q3-T-001,爬升·边界点,399.60265609712184,399.60265609712184,直连,
Q3-T-001,爬升,399.60265609712184,400.5743917449054,直连,
Q3-T-001,爬升·边界点,400.5743917449054,400.5743917449054,直连,
Q3-T-001,爬升,400.5743917449054,408.6860501935803,直连,
Q3-T-001,爬升·边界点,408.6860501935803,408.6860501935803,直连,
Q3-T-001,爬升,408.6860501935803,417.99820232145794,直连,
Q3-T-001,爬升·边界点,417.99820232145794,417.99820232145794,直连,
Q3-T-001,爬升,417.99820232145794,442.62231115873317,直连,
Q3-T-001,爬升·边界点,442.62231115873317,442.62231115873317,直连,
Q3-T-001,爬升,442.62231115873317,492.6455118815104,直连,
Q3-T-001,爬升·边界点,492.6455118815104,492.6455118815104,直连,
Q3-T-001,巡航,492.6455118815104,639.1032424286232,直连,
Q3-T-001,巡航·边界点,639.1032424286232,639.1032424286232,直连,
Q3-T-001,巡航,639.1032424286232,641.0121914181283,直连,
Q3-T-001,巡航·边界点,641.0121914181283,641.0121914181283,直连,
Q3-T-001,巡航,641.0121914181283,648.9339572893757,直连,
Q3-T-001,巡航·边界点,648.9339572893757,648.9339572893757,直连,
Q3-T-001,巡航,648.9339572893757,749.3812221939677,直连,
Q3-T-001,巡航·边界点,749.3812221939677,749.3812221939677,直连,
Q3-T-001,巡航,749.3812221939677,821.4501659020625,直连,
Q3-T-001,巡航·边界点,821.4501659020625,821.4501659020625,直连,
Q3-T-001,巡航,821.4501659020625,825.465405859537,中继,Q3-R-001
Q3-T-001,巡航·边界点,825.465405859537,825.465405859537,中继,Q3-R-001
Q3-T-001,巡航,825.465405859537,880.678511911715,中继,Q3-R-002
Q3-T-001,巡航·边界点,880.678511911715,880.678511911715,中继,Q3-R-002
Q3-T-001,巡航,880.678511911715,891.3534161851755,中继,Q3-R-002
Q3-T-001,巡航·边界点,891.3534161851755,891.3534161851755,中继,Q3-R-002
Q3-T-001,下降,891.3534161851755,898.1787454566407,中继,Q3-R-002
Q3-T-001,下降·边界点,898.1787454566407,898.1787454566407,中继,Q3-R-002
Q3-T-001,下降,898.1787454566407,904.6688193685209,中继,Q3-R-002
Q3-T-001,下降·边界点,904.6688193685209,904.6688193685209,中继,Q3-R-002
Q3-T-001,下降,904.6688193685209,918.4111389498785,中继,Q3-R-002
Q3-T-001,下降·边界点,918.4111389498785,918.4111389498785,中继,Q3-R-002
Q3-T-001,下降,918.4111389498785,924.968030442988,中继,Q3-R-002
Q3-T-001,下降·边界点,924.968030442988,924.968030442988,中继,Q3-R-002
Q3-T-001,投送交接,924.968030442988,1134.968030442988,中继,Q3-R-002
Q3-T-001,投送交接·边界点,1134.968030442988,1134.968030442988,中继,Q3-R-002
Q3-T-001,爬升,1134.968030442988,1140.432106687246,中继,Q3-R-002
Q3-T-001,爬升·边界点,1140.432106687246,1140.432106687246,中继,Q3-R-002
Q3-T-001,爬升,1140.432106687246,1151.8840396717108,中继,Q3-R-002
Q3-T-001,爬升·边界点,1151.8840396717108,1151.8840396717108,中继,Q3-R-002
Q3-T-001,爬升,1151.8840396717108,1157.2924345982774,中继,Q3-R-002
Q3-T-001,爬升·边界点,1157.2924345982774,1157.2924345982774,中继,Q3-R-002
Q3-T-001,爬升,1157.2924345982774,1185.79148828804,中继,Q3-R-002
Q3-T-001,爬升·边界点,1185.79148828804,1185.79148828804,中继,Q3-R-002
Q3-T-001,巡航,1185.79148828804,1191.1170346711465,中继,Q3-R-002
Q3-T-001,巡航·边界点,1191.1170346711465,1191.1170346711465,中继,Q3-R-002
Q3-T-001,巡航,1191.1170346711465,1225.977956606348,中继,Q3-R-002
Q3-T-001,巡航·边界点,1225.977956606348,1225.977956606348,中继,Q3-R-002
Q3-T-001,巡航,1225.977956606348,1238.7653270274513,中继,Q3-R-002
Q3-T-001,巡航·边界点,1238.7653270274513,1238.7653270274513,中继,Q3-R-002
Q3-T-001,巡航,1238.7653270274513,1300.6808690926412,中继,Q3-R-002
Q3-T-001,巡航·边界点,1300.6808690926412,1300.6808690926412,中继,Q3-R-002
Q3-T-001,下降,1300.6808690926412,1361.6290185067037,中继,Q3-R-002
Q3-T-001,下降·边界点,1361.6290185067037,1361.6290185067037,中继,Q3-R-002
Q3-T-001,投送交接,1361.6290185067037,1541.6290185067037,中继,Q3-R-002
Q3-T-001,投送交接·边界点,1541.6290185067037,1541.6290185067037,中继,Q3-R-002
Q3-T-001,爬升,1541.6290185067037,1557.4562930835266,中继,Q3-R-002
Q3-T-001,爬升·边界点,1557.4562930835266,1557.4562930835266,中继,Q3-R-002
Q3-T-001,巡航,1557.4562930835266,1591.4571197274638,中继,Q3-R-002
Q3-T-001,巡航·边界点,1591.4571197274638,1591.4571197274638,中继,Q3-R-002
Q3-T-001,巡航,1591.4571197274638,1632.5552185727386,中继,Q3-R-002
Q3-T-001,巡航·边界点,1632.5552185727386,1632.5552185727386,直连,
Q3-T-001,巡航,1632.5552185727386,1725.1025110660835,直连,
Q3-T-001,巡航·边界点,1725.1025110660835,1725.1025110660835,直连,
Q3-T-001,巡航,1725.1025110660835,1759.8076502257975,直连,
Q3-T-001,巡航·边界点,1759.8076502257975,1759.8076502257975,直连,
Q3-T-001,巡航,1759.8076502257975,1961.5598245194026,直连,
Q3-T-001,巡航·边界点,1961.5598245194026,1961.5598245194026,直连,
Q3-T-001,下降,1961.5598245194026,2036.5547112258405,直连,
Q3-T-001,下降·边界点,2036.5547112258405,2036.5547112258405,直连,
Q3-T-001,下降,2036.5547112258405,2047.7292937792936,直连,
Q3-T-001,下降·边界点,2047.7292937792936,2047.7292937792936,直连,
Q3-T-001,下降,2047.7292937792936,2057.4632839177034,直连,
Q3-T-001,下降·边界点,2057.4632839177034,2057.4632839177034,直连,
Q3-T-001,下降,2057.4632839177034,2058.6293666950437,直连,
Q3-T-001,下降·边界点,2058.6293666950437,2058.6293666950437,直连,
Q3-T-001,下降,2058.6293666950437,2069.7423379431366,直连,
Q3-T-001,下降·边界点,2069.7423379431366,2069.7423379431366,直连,
Q3-T-001,下降,2069.7423379431366,2070.15255401159,直连,
Q3-T-001,下降·边界点,2070.15255401159,2070.15255401159,直连,
Q3-T-002,爬升·边界点,360.0,360.0,直连,
Q3-T-002,爬升,360.0,360.34184672371094,直连,
Q3-T-002,爬升·边界点,360.34184672371094,360.34184672371094,直连,
Q3-T-002,爬升,360.34184672371094,369.60265609712184,直连,
Q3-T-002,爬升·边界点,369.60265609712184,369.60265609712184,直连,
Q3-T-002,爬升,369.60265609712184,370.5743917449054,直连,
Q3-T-002,爬升·边界点,370.5743917449054,370.5743917449054,直连,
Q3-T-002,爬升,370.5743917449054,378.6860501935803,直连,
Q3-T-002,爬升·边界点,378.6860501935803,378.6860501935803,直连,
Q3-T-002,爬升,378.6860501935803,387.99820232145794,直连,
Q3-T-002,爬升·边界点,387.99820232145794,387.99820232145794,直连,
Q3-T-002,爬升,387.99820232145794,408.45220336914065,直连,
Q3-T-002,爬升·边界点,408.45220336914065,408.45220336914065,直连,
Q3-T-002,巡航,408.45220336914065,442.62231115873317,直连,
Q3-T-002,巡航·边界点,442.62231115873317,442.62231115873317,直连,
Q3-T-002,巡航,442.62231115873317,542.4228357746762,直连,
Q3-T-002,巡航·边界点,542.4228357746762,542.4228357746762,直连,
Q3-T-002,巡航,542.4228357746762,595.2985493120008,直连,
Q3-T-002,巡航·边界点,595.2985493120008,595.2985493120008,直连,
Q3-T-002,巡航,595.2985493120008,607.6266838664694,直连,
Q3-T-002,巡航·边界点,607.6266838664694,607.6266838664694,直连,
Q3-T-002,巡航,607.6266838664694,639.1032424286232,直连,
