box_id,trip_id,service_id,stop_index
S001-FOD-01,Q3-T-014,S001,1
S001-FOD-02,Q3-T-002,S001,1
S001-FOD-03,Q3-T-009,S001,1
S001-HYG-01,Q3-T-011,S001,1
S001-HYG-02,Q3-T-008,S001,1
S001-MED-01,Q3-T-003,S001,1
S001-MED-02,Q3-T-004,S001,1
S001-WAT-01,Q3-T-004,S001,1
S001-WAT-02,Q3-T-014,S001,1
S001-WAT-03,Q3-T-011,S001,1
S001-WAT-04,Q3-T-017,S001,1
S001-WAT-05,Q3-T-003,S001,1
S001-WAT-06,Q3-T-002,S001,1
S001-WAT-07,Q3-T-009,S001,1
S001-WAT-08,Q3-T-010,S001,1
S002-FOD-01,Q3-T-011,S002,2
S002-FOD-02,Q3-T-011,S002,2
S002-HYG-01,Q3-T-011,S002,2
S002-MED-01,Q3-T-011,S002,2
S002-WAT-01,Q3-T-013,S002,1
S002-WAT-02,Q3-T-011,S002,2
S002-WAT-03,Q3-T-013,S002,1
S002-WAT-04,Q3-T-011,S002,2
S003-FOD-01,Q3-T-022,S003,1
S003-FOD-02,Q3-T-022,S003,1
S003-HYG-01,Q3-T-022,S003,1
S003-MED-01,Q3-T-020,S003,1
S003-WAT-01,Q3-T-020,S003,1
S003-WAT-02,Q3-T-022,S003,1
S003-WAT-03,Q3-T-022,S003,1
S003-WAT-04,Q3-T-022,S003,1
S004-FOD-01,Q3-T-016,S004,1
S004-HYG-01,Q3-T-016,S004,1
S004-MED-01,Q3-T-016,S004,1
S004-WAT-01,Q3-T-016,S004,1
S004-WAT-02,Q3-T-016,S004,1
S004-WAT-03,Q3-T-016,S004,1
S005-FOD-01,Q3-T-019,S005,1
S005-HYG-01,Q3-T-025,S005,1
S005-MED-01,Q3-T-019,S005,1
S005-WAT-01,Q3-T-025,S005,1
S005-WAT-02,Q3-T-025,S005,1
S005-WAT-03,Q3-T-025,S005,1
S006-FOD-01,Q3-T-007,S006,1
S006-HYG-01,Q3-T-007,S006,1
S006-MED-01,Q3-T-007,S006,1
S006-WAT-01,Q3-T-007,S006,1
S006-WAT-02,Q3-T-007,S006,1
S006-WAT-03,Q3-T-007,S006,1
S007-FOD-01,Q3-T-006,S007,1
S007-HYG-01,Q3-T-005,S007,1
S007-MED-01,Q3-T-006,S007,1
S007-WAT-01,Q3-T-005,S007,1
S007-WAT-02,Q3-T-006,S007,1
S008-FOD-01,Q3-T-023,S008,1
S008-HYG-01,Q3-T-018,S008,2
S008-MED-01,Q3-T-018,S008,2
S008-WAT-01,Q3-T-023,S008,1
S008-WAT-02,Q3-T-019,S008,2
S009-FOD-01,Q3-T-021,S009,1
S009-MED-01,Q3-T-021,S009,1
S009-WAT-01,Q3-T-021,S009,1
S010-FOD-01,Q3-T-010,S010,2
S010-MED-01,Q3-T-001,S010,1
S010-WAT-01,Q3-T-001,S010,1
S011-FOD-01,Q3-T-017,S011,2
S011-MED-01,Q3-T-018,S011,1
S011-WAT-01,Q3-T-026,S011,1
S012-FOD-01,Q3-T-008,S012,2
S012-MED-01,Q3-T-008,S012,2
S012-WAT-01,Q3-T-008,S012,2
S013-FOD-01,Q3-T-015,S013,1
S013-MED-01,Q3-T-001,S013,2
S013-WAT-01,Q3-T-015,S013,1
S014-FOD-01,Q3-T-012,S014,1
S014-MED-01,Q3-T-012,S014,1
S014-WAT-01,Q3-T-012,S014,1
S015-FOD-01,Q3-T-024,S015,1
S015-MED-01,Q3-T-020,S015,2
S015-WAT-01,Q3-T-024,S015,1
