box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q3-T-014,S001,A,U01,3017.7886943152193,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q3-T-002,S001,A,U02,908.5730843719844,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q3-T-009,S001,A,U02,2159.472586449286,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q3-T-011,S001,C,U07,2659.823406626256,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q3-T-008,S001,C,U08,942.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q3-T-003,S001,A,U03,878.5730843719844,3600.0,3600.0,3600.0,True,True,24,0.0,2721.4269156280156,3.0,0.012
S001-MED-02,Q3-T-004,S001,A,U04,878.5730843719844,3600.0,3600.0,,False,True,24,0.0,2721.4269156280156,3.0,0.012
S001-WAT-01,Q3-T-004,S001,A,U04,908.5730843719844,3600.0,3600.0,3600.0,True,False,12,0.0,2691.4269156280156,14.0,0.027
S001-WAT-02,Q3-T-014,S001,A,U01,2987.7886943152193,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q3-T-011,S001,C,U07,2623.823406626256,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q3-T-017,S001,A,U02,3380.3720885265884,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-05,Q3-T-003,S001,A,U03,908.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-06,Q3-T-002,S001,A,U02,878.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-07,Q3-T-009,S001,A,U02,2129.472586449286,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-08,Q3-T-010,S001,A,U03,2129.472586449286,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-FOD-01,Q3-T-011,S002,C,U07,3369.500267512536,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q3-T-011,S002,C,U07,3405.500267512536,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q3-T-011,S002,C,U07,3441.500267512536,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q3-T-011,S002,C,U07,3261.500267512536,3600.0,3600.0,3600.0,True,True,24,0.0,338.4997324874639,3.0,0.012
S002-WAT-01,Q3-T-013,S002,B,U06,2766.562549029515,3600.0,3600.0,3600.0,True,False,12,0.0,833.4374509704849,14.0,0.027
S002-WAT-02,Q3-T-011,S002,C,U07,3297.500267512536,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-03,Q3-T-013,S002,B,U06,2796.562549029515,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-04,Q3-T-011,S002,C,U07,3333.500267512536,3600.0,,,False,False,12,0.0,,14.0,0.027
S003-FOD-01,Q3-T-022,S003,C,U07,5635.502134722453,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q3-T-022,S003,C,U07,5671.502134722453,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q3-T-022,S003,C,U07,5707.502134722453,14400.0,,,False,False,6,0.0,,6.0,0.035
S003-MED-01,Q3-T-020,S003,A,U01,5108.050588857914,7200.0,7200.0,7200.0,True,True,20,0.0,2091.9494111420863,3.0,0.012
S003-WAT-01,Q3-T-020,S003,A,U01,5138.050588857914,7200.0,7200.0,7200.0,True,False,10,0.0,2061.9494111420863,14.0,0.027
S003-WAT-02,Q3-T-022,S003,C,U07,5527.502134722453,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-03,Q3-T-022,S003,C,U07,5563.502134722453,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-04,Q3-T-022,S003,C,U07,5599.502134722453,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-FOD-01,Q3-T-016,S004,C,U08,3958.38677710562,10800.0,,,False,False,8,0.0,,8.0,0.028
S004-HYG-01,Q3-T-016,S004,C,U08,3994.38677710562,14400.0,,,False,False,6,0.0,,6.0,0.035
S004-MED-01,Q3-T-016,S004,C,U08,3814.38677710562,7200.0,7200.0,7200.0,True,True,20,0.0,3385.61322289438,3.0,0.012
S004-WAT-01,Q3-T-016,S004,C,U08,3850.38677710562,7200.0,7200.0,7200.0,True,False,10,0.0,3349.61322289438,14.0,0.027
S004-WAT-02,Q3-T-016,S004,C,U08,3886.38677710562,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-WAT-03,Q3-T-016,S004,C,U08,3922.38677710562,7200.0,,,False,False,10,0.0,,14.0,0.027
S005-FOD-01,Q3-T-019,S005,B,U06,4463.811479896326,14400.0,,,False,False,6,0.0,,8.0,0.028
S005-HYG-01,Q3-T-025,S005,C,U08,5953.175385610112,18000.0,,,False,False,4,0.0,,6.0,0.035
S005-MED-01,Q3-T-019,S005,B,U06,4433.811479896326,10800.0,10800.0,10800.0,True,True,16,0.0,6366.188520103674,3.0,0.012
S005-WAT-01,Q3-T-025,S005,C,U08,5845.175385610112,10800.0,10800.0,10800.0,True,False,8,0.0,4954.824614389888,14.0,0.027
S005-WAT-02,Q3-T-025,S005,C,U08,5881.175385610112,10800.0,,,False,False,8,0.0,,14.0,0.027
S005-WAT-03,Q3-T-025,S005,C,U08,5917.175385610112,10800.0,,,False,False,8,0.0,,14.0,0.027
S006-FOD-01,Q3-T-007,S006,C,U07,1173.4219339808383,7200.0,,,False,False,10,0.0,,8.0,0.028
S006-HYG-01,Q3-T-007,S006,C,U07,1209.4219339808383,10800.0,,,False,False,8,0.0,,6.0,0.035
S006-MED-01,Q3-T-007,S006,C,U07,1029.4219339808383,3600.0,3600.0,3600.0,True,True,24,0.0,2570.5780660191617,3.0,0.012
S006-WAT-01,Q3-T-007,S006,C,U07,1065.4219339808383,3600.0,3600.0,3600.0,True,False,12,0.0,2534.5780660191617,14.0,0.027
S006-WAT-02,Q3-T-007,S006,C,U07,1101.4219339808383,3600.0,,,False,False,12,0.0,,14.0,0.027
S006-WAT-03,Q3-T-007,S006,C,U07,1137.4219339808383,3600.0,,,False,False,12,0.0,,14.0,0.027
