trip_id,model_id,drone_id,battery_id,weight_kg,volume_m3,box_count,recomputed_energy_kwh,energy_error_kwh,recomputed_return_s,return_time_error_s,return_soc_fraction,start_s,recomputed_charge_complete_s,recomputed_charge_s,flight_time_s
Q3-T-001,A,U01,A-BAT-01,20.0,0.051000000000000004,3,2.2877391338088966,0.0,2070.15255401159,0.0,0.4916135258202452,0.0,3231.0549704452715,1160.9024164336813,1290.15255401159
Q3-T-002,A,U02,A-BAT-02,22.0,0.055,2,1.2823460485526663,0.0,1250.899502077302,0.0,0.7150342114327408,0.0,2121.355027214739,870.4555251374369,680.899502077302
Q3-T-003,A,U03,A-BAT-03,17.0,0.039,2,1.2403249887666914,0.0,1250.899502077302,0.0,0.724372224718513,0.0,2109.215609943235,858.3161078659331,680.899502077302
Q3-T-004,A,U04,A-BAT-04,17.0,0.039,2,1.2403249887666914,0.0,1250.899502077302,0.0,0.724372224718513,0.0,2109.215609943235,858.3161078659331,680.899502077302
Q3-T-005,B,U05,B-BAT-01,20.0,0.062,2,1.6564938184282614,0.0,1576.2753989802832,0.0,0.5858765453929347,0.0,2960.75605363253,1384.4806546522466,1006.2753989802832
Q3-T-006,B,U06,B-BAT-02,25.0,0.067,3,1.7800228341022715,2.220446049250313e-16,1636.2753989802832,0.0,0.5549942914744321,0.0,3074.285293757934,1438.009894777651,1006.2753989802832
Q3-T-007,C,U07,C-BAT-01,59.0,0.156,6,2.597987864912252,0.0,1561.5538679616764,0.0,0.6752515168859685,0.0,3098.5089147087447,1536.955046747068,685.5538679616764
Q3-T-008,C,U08,C-BAT-02,31.0,0.10200000000000001,4,5.130672799894177,0.0,2410.88843086402,0.0,0.35866590001322785,0.0,4633.778980835359,2222.890549971339,1486.88843086402
Q3-T-009,A,U02,A-BAT-05,22.0,0.055,2,1.2823460485526663,0.0,2501.7990041546045,4.547473508864641e-13,0.7150342114327408,1250.899502077302,3372.254529292041,870.4555251374369,680.899502077302
Q3-T-010,A,U03,A-BAT-06,22.0,0.055,2,2.358314297667299,0.0,3282.676898260342,4.547473508864641e-13,0.47593015607393363,1250.899502077302,4463.967695364228,1181.2907971038865,1311.7773961830399
Q3-T-011,C,U07,C-BAT-03,73.0,0.219,8,6.102488180611731,0.0,4061.996459920166,4.547473508864641e-13,0.23718897742353362,1561.5538679616764,6548.087008835842,2486.090548915677,1312.4425919584896
Q3-T-012,B,U05,B-BAT-03,25.0,0.067,3,2.14038848210759,0.0,3446.0318153618973,0.0,0.4649028794731025,1576.2753989802832,5040.2001576085195,1594.1683422466224,1239.7564163816144
Q3-T-013,B,U06,B-BAT-04,28.0,0.054,2,2.8701526675231794,0.0,3392.9696990787475,0.0,0.28246183311920514,1636.2753989802832,5303.369188338792,1910.3994892600442,1186.6943000984643
Q3-T-014,A,U01,A-BAT-04,22.0,0.055,2,1.2823460485526663,0.0,3360.115112020537,0.0,0.7150342114327408,2109.215609943235,4230.570637157974,870.4555251374369,680.899502077302
Q3-T-015,A,U04,A-BAT-03,22.0,0.055,2,2.0254456441490363,4.440892098500626e-16,3721.329347619674,4.547473508864641e-13,0.5499009679668808,2109.215609943235,4806.458089262729,1085.128741643055,1042.1137376764395
Q3-T-016,C,U08,C-BAT-04,59.0,0.156,6,6.152932018907208,0.0,4711.94512334722,9.094947017729282e-13,0.230883497636599,2410.88843086402,7211.69754513459,2499.752421787369,1425.0566924832003
Q3-T-017,A,U02,A-BAT-02,22.0,0.055,2,1.7034754760109956,0.0,4141.882400026357,9.094947017729282e-13,0.6214498942197788,2501.799004154604,5133.997537540645,992.1151375142875,920.083395871753
Q3-T-018,A,U03,A-BAT-01,12.0,0.059000000000000004,3,3.1369870768406463,0.0,5758.894417164285,0.0,0.30289176070207857,3282.6768982603417,7165.1351282515825,1406.2407110872978,1696.2175189039438
Q3-T-019,B,U06,B-BAT-01,25.0,0.067,3,2.9206187990253967,4.440892098500626e-16,5612.795818430271,9.094947017729282e-13,0.26984530024365083,3392.9696990787475,7545.0639646746085,1932.2681462443386,1439.8261193515227
Q3-T-020,A,U01,A-BAT-05,20.0,0.051000000000000004,3,3.2972188590433005,4.440892098500626e-16,6302.095032986477,0.0,0.2672846979903777,3698.7626161436283,7754.624925598986,1452.529892612509,1823.332416842849
Q3-T-021,B,U05,B-BAT-02,25.0,0.067,3,2.09623373442617,0.0,5395.378918144701,0.0,0.4759415663934575,3836.93718505594,6970.413536396041,1575.0346182513401,928.4417330887609
Q3-T-022,C,U07,C-BAT-01,64.0,0.17200000000000001,6,6.149478043769306,0.0,6498.087809524741,0.0,0.23131524452883678,4061.9964599201658,8996.90477971226,2498.81697018752,1560.091349604575
Q3-T-023,A,U04,A-BAT-04,22.0,0.055,2,3.308433947967875,0.0,6401.703176565745,0.0,0.26479245600713897,4230.570637157974,7857.472983756465,1455.7698071907193,1601.1325394077708
Q3-T-024,A,U02,A-BAT-06,22.0,0.055,2,2.557694473534046,0.0,6432.557098511881,0.0,0.43162345032576754,4463.967695364228,7671.446613088383,1238.889514576502,1398.5894031476528
Q3-T-025,C,U08,C-BAT-02,48.0,0.116,4,3.915373357822789,0.0,6457.135647873002,9.094947017729282e-13,0.5105783302721514,4711.945123347221,8350.882598950007,1893.7469510770052,1001.190524525781
Q3-T-026,B,U05,B-BAT-03,14.0,0.027,1,0.9364007710823252,1.1102230246251565e-16,6463.799390379858,0.0,0.7658998072294187,5395.378918144701,7536.239724515532,1072.4403341356742,558.420472235157
