resource_type,resource_id,previous_trip,next_trip,resource_ready_s,next_start_s,slack_s,pass
drone,U01,Q3-T-001,Q3-T-015,2405.279380363042,2405.279380363042,0.0,True
drone,U01,Q3-T-015,Q3-T-019,3656.178882440344,3689.847358127293,33.66847568694902,True
drone,U02,Q3-T-002,Q3-T-009,1250.899502077302,1250.899502077302,0.0,True
drone,U02,Q3-T-009,Q3-T-017,2501.7990041546045,3260.888046441056,759.0890422864513,True
drone,U03,Q3-T-003,Q3-T-014,2091.77739618304,2109.215609943235,17.43821376019514,True
drone,U03,Q3-T-014,Q3-T-023,3721.329347619674,4463.967695364228,742.6383477445543,True
drone,U04,Q3-T-004,Q3-T-010,1250.899502077302,1250.899502077302,0.0,True
drone,U04,Q3-T-010,Q3-T-020,3282.676898260342,3760.662761989458,477.98586372911586,True
drone,U05,Q3-T-005,Q3-T-012,1576.2753989802832,1576.2753989802832,0.0,True
drone,U05,Q3-T-012,Q3-T-021,3632.3160869224957,3898.8373309017697,266.521243979274,True
drone,U05,Q3-T-021,Q3-T-025,5457.279063990531,5457.279063990531,0.0,True
drone,U06,Q3-T-006,Q3-T-013,1636.2753989802832,1636.2753989802832,0.0,True
drone,U06,Q3-T-013,Q3-T-018,3392.9696990787475,3392.9696990787475,0.0,True
drone,U07,Q3-T-007,Q3-T-011,1561.5538679616764,1561.5538679616764,0.0,True
drone,U07,Q3-T-011,Q3-T-022,4061.996459920166,4061.9964599201658,-4.547473508864641e-13,True
drone,U08,Q3-T-008,Q3-T-016,2476.88843086402,2476.88843086402,0.0,True
drone,U08,Q3-T-016,Q3-T-024,4777.94512334722,4777.945123347221,9.094947017729282e-13,True
battery,A-BAT-01,Q3-T-001,Q3-T-019,3689.8473581272933,3689.847358127293,-4.547473508864641e-13,True
battery,A-BAT-02,Q3-T-002,Q3-T-015,2121.355027214739,2405.279380363042,283.924353148303,True
battery,A-BAT-03,Q3-T-003,Q3-T-017,3260.888046441056,3260.888046441056,0.0,True
battery,A-BAT-04,Q3-T-004,Q3-T-014,2109.215609943235,2109.215609943235,0.0,True
battery,A-BAT-05,Q3-T-009,Q3-T-020,3372.254529292041,3760.662761989458,388.40823269741713,True
battery,A-BAT-06,Q3-T-010,Q3-T-023,4463.967695364228,4463.967695364228,0.0,True
battery,B-BAT-01,Q3-T-005,Q3-T-018,2960.75605363253,3392.9696990787475,432.21364544621747,True
battery,B-BAT-02,Q3-T-006,Q3-T-021,3074.285293757934,3898.8373309017697,824.5520371438356,True
battery,B-BAT-04,Q3-T-013,Q3-T-025,5303.369188338792,5457.279063990531,153.90987565173873,True
battery,C-BAT-01,Q3-T-007,Q3-T-022,3098.5089147087447,4061.9964599201658,963.4875452114211,True
battery,C-BAT-02,Q3-T-008,Q3-T-024,4738.6806285803905,4777.945123347221,39.26449476683047,True
