resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U01,Q3-T-001,prepare_load,0.0,390.0
drone,U01,Q3-T-001,climb,390.0,544.7491292317709
drone,U01,Q3-T-001,cruise,544.7491292317709,996.3826174162434
drone,U01,Q3-T-001,descent,996.3826174162434,1092.7615724943685
drone,U01,Q3-T-001,handoff,1092.7615724943685,1302.7615724943685
drone,U01,Q3-T-001,climb,1302.7615724943685,1363.5150108081705
drone,U01,Q3-T-001,cruise,1363.5150108081705,1624.1317188815933
drone,U01,Q3-T-001,descent,1624.1317188815933,1696.7558448581558
drone,U01,Q3-T-001,handoff,1696.7558448581558,1876.7558448581558
drone,U01,Q3-T-001,climb,1876.7558448581558,1892.5831194349787
drone,U01,Q3-T-001,cruise,1892.5831194349787,2296.6866508708545
drone,U01,Q3-T-001,descent,2296.6866508708545,2405.279380363042
drone,U02,Q3-T-002,prepare_load,0.0,360.0
drone,U02,Q3-T-002,climb,360.0,408.45220336914065
drone,U02,Q3-T-002,cruise,408.45220336914065,662.9504403290156
drone,U02,Q3-T-002,descent,662.9504403290156,698.5730843719844
drone,U02,Q3-T-002,handoff,698.5730843719844,908.5730843719844
drone,U02,Q3-T-002,climb,908.5730843719844,938.2586210744583
drone,U02,Q3-T-002,cruise,938.2586210744583,1192.7568580343334
drone,U02,Q3-T-002,descent,1192.7568580343334,1250.8995020773023
drone,U03,Q3-T-003,prepare_load,0.0,390.0
drone,U03,Q3-T-003,climb,390.0,438.45220336914065
drone,U03,Q3-T-003,cruise,438.45220336914065,692.9504403290156
drone,U03,Q3-T-003,descent,692.9504403290156,728.5730843719844
drone,U03,Q3-T-003,handoff,728.5730843719844,938.5730843719844
drone,U03,Q3-T-003,climb,938.5730843719844,1020.9329781708125
drone,U03,Q3-T-003,cruise,1020.9329781708125,1330.0908265147914
drone,U03,Q3-T-003,descent,1330.0908265147914,1361.882699073385
drone,U03,Q3-T-003,handoff,1361.882699073385,1541.882699073385
drone,U03,Q3-T-003,climb,1541.882699073385,1569.894877621562
drone,U03,Q3-T-003,cruise,1569.894877621562,1968.6027819252272
drone,U03,Q3-T-003,descent,1968.6027819252272,2091.77739618304
drone,U04,Q3-T-004,prepare_load,0.0,360.0
drone,U04,Q3-T-004,climb,360.0,408.45220336914065
drone,U04,Q3-T-004,cruise,408.45220336914065,662.9504403290156
drone,U04,Q3-T-004,descent,662.9504403290156,698.5730843719844
drone,U04,Q3-T-004,handoff,698.5730843719844,908.5730843719844
drone,U04,Q3-T-004,climb,908.5730843719844,938.2586210744583
