架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q3-T-001,U01,A,A-BAT-01,0.0,S010;S013,2070.15255401159,2.2877391338088966
Q3-T-002,U02,A,A-BAT-02,0.0,S001,1250.899502077302,1.2823460485526663
Q3-T-003,U03,A,A-BAT-03,0.0,S001,1250.899502077302,1.2403249887666914
Q3-T-004,U04,A,A-BAT-04,0.0,S001,1250.899502077302,1.2403249887666914
Q3-T-005,U05,B,B-BAT-01,0.0,S007,1576.2753989802832,1.6564938184282614
Q3-T-006,U06,B,B-BAT-02,0.0,S007,1636.2753989802832,1.7800228341022712
Q3-T-007,U07,C,C-BAT-01,0.0,S006,1561.5538679616764,2.597987864912252
Q3-T-008,U08,C,C-BAT-02,0.0,S001;S012,2410.88843086402,5.130672799894177
Q3-T-009,U02,A,A-BAT-05,1250.899502077302,S001,2501.799004154604,1.2823460485526663
Q3-T-010,U03,A,A-BAT-06,1250.899502077302,S001;S010,3282.6768982603417,2.358314297667299
Q3-T-011,U07,C,C-BAT-03,1561.5538679616764,S001;S002,4061.9964599201658,6.102488180611731
Q3-T-012,U05,B,B-BAT-03,1576.2753989802832,S014,3446.0318153618973,2.14038848210759
Q3-T-013,U06,B,B-BAT-04,1636.2753989802832,S002,3392.9696990787475,2.8701526675231794
Q3-T-014,U01,A,A-BAT-04,2109.215609943235,S001,3360.115112020537,1.2823460485526663
Q3-T-015,U04,A,A-BAT-03,2109.215609943235,S013,3721.3293476196745,2.025445644149036
Q3-T-016,U08,C,C-BAT-04,2410.88843086402,S004,4711.945123347221,6.152932018907208
Q3-T-017,U02,A,A-BAT-02,2501.799004154604,S001;S011,4141.882400026358,1.7034754760109956
Q3-T-018,U03,A,A-BAT-01,3282.6768982603417,S011;S008,5758.894417164285,3.1369870768406463
Q3-T-019,U06,B,B-BAT-01,3392.9696990787475,S005;S008,5612.79581843027,2.920618799025397
Q3-T-020,U01,A,A-BAT-05,3698.7626161436283,S003;S015,6302.095032986477,3.2972188590433
Q3-T-021,U05,B,B-BAT-02,3836.93718505594,S009,5395.378918144701,2.09623373442617
Q3-T-022,U07,C,C-BAT-01,4061.9964599201658,S003,6498.087809524741,6.149478043769306
Q3-T-023,U04,A,A-BAT-04,4230.570637157974,S008,6401.703176565745,3.308433947967875
Q3-T-024,U02,A,A-BAT-06,4463.967695364228,S015,6432.557098511881,2.557694473534046
Q3-T-025,U08,C,C-BAT-02,4711.945123347221,S005,6457.135647873001,3.915373357822789
Q3-T-026,U05,B,B-BAT-03,5395.378918144701,S011,6463.799390379858,0.9364007710823251
