resource_type,resource_id,previous_trip,next_trip,resource_ready_s,next_start_s,slack_s,pass
drone,U01,Q3-T-001,Q3-T-014,2070.15255401159,2109.215609943235,39.06305593164507,True
drone,U01,Q3-T-014,Q3-T-020,3360.115112020537,3698.7626161436283,338.6475041230915,True
drone,U02,Q3-T-002,Q3-T-009,1250.899502077302,1250.899502077302,0.0,True
drone,U02,Q3-T-009,Q3-T-017,2501.7990041546045,2501.799004154604,-4.547473508864641e-13,True
drone,U02,Q3-T-017,Q3-T-024,4141.882400026357,4463.967695364228,322.0852953378717,True
drone,U03,Q3-T-003,Q3-T-010,1250.899502077302,1250.899502077302,0.0,True
drone,U03,Q3-T-010,Q3-T-018,3282.676898260342,3282.6768982603417,-4.547473508864641e-13,True
drone,U04,Q3-T-004,Q3-T-015,1250.899502077302,2109.215609943235,858.316107865933,True
drone,U04,Q3-T-015,Q3-T-023,3721.329347619674,4230.570637157974,509.2412895382995,True
drone,U05,Q3-T-005,Q3-T-012,1576.2753989802832,1576.2753989802832,0.0,True
drone,U05,Q3-T-012,Q3-T-021,3446.0318153618973,3836.93718505594,390.90536969404275,True
drone,U05,Q3-T-021,Q3-T-026,5395.378918144701,5395.378918144701,0.0,True
drone,U06,Q3-T-006,Q3-T-013,1636.2753989802832,1636.2753989802832,0.0,True
drone,U06,Q3-T-013,Q3-T-019,3392.9696990787475,3392.9696990787475,0.0,True
drone,U07,Q3-T-007,Q3-T-011,1561.5538679616764,1561.5538679616764,0.0,True
drone,U07,Q3-T-011,Q3-T-022,4061.996459920166,4061.9964599201658,-4.547473508864641e-13,True
drone,U08,Q3-T-008,Q3-T-016,2410.88843086402,2410.88843086402,0.0,True
drone,U08,Q3-T-016,Q3-T-025,4711.94512334722,4711.945123347221,9.094947017729282e-13,True
battery,A-BAT-01,Q3-T-001,Q3-T-018,3231.0549704452715,3282.6768982603417,51.621927815070194,True
battery,A-BAT-02,Q3-T-002,Q3-T-017,2121.355027214739,2501.799004154604,380.443976939865,True
battery,A-BAT-03,Q3-T-003,Q3-T-015,2109.215609943235,2109.215609943235,0.0,True
battery,A-BAT-04,Q3-T-004,Q3-T-014,2109.215609943235,2109.215609943235,0.0,True
battery,A-BAT-04,Q3-T-014,Q3-T-023,4230.570637157974,4230.570637157974,0.0,True
battery,A-BAT-05,Q3-T-009,Q3-T-020,3372.254529292041,3698.7626161436283,326.50808685158745,True
battery,A-BAT-06,Q3-T-010,Q3-T-024,4463.967695364228,4463.967695364228,0.0,True
battery,B-BAT-01,Q3-T-005,Q3-T-019,2960.75605363253,3392.9696990787475,432.21364544621747,True
battery,B-BAT-02,Q3-T-006,Q3-T-021,3074.285293757934,3836.93718505594,762.6518912980059,True
battery,B-BAT-03,Q3-T-012,Q3-T-026,5040.2001576085195,5395.378918144701,355.17876053618147,True
battery,C-BAT-01,Q3-T-007,Q3-T-022,3098.5089147087447,4061.9964599201658,963.4875452114211,True
battery,C-BAT-02,Q3-T-008,Q3-T-025,4633.778980835359,4711.945123347221,78.16614251186184,True
