phase_id,link_endpoint,occluding_cells,tested_terrain_cells,shadow_intervals,partition_intervals
PH-0001,G01,1,1,1,2
PH-0001,Q3-R-001,24,122,1,2
PH-0001,Q3-R-002,47,170,1,2
PH-0001,Q3-R-003,33,202,1,2
PH-0001,Q3-R-004,14,241,1,2
PH-0002,G01,95,191,1,3
PH-0002,Q3-R-001,0,120,0,2
PH-0002,Q3-R-002,0,70,0,2
PH-0002,Q3-R-003,0,161,0,2
PH-0002,Q3-R-004,0,189,0,2
PH-0003,G01,171,191,1,1
PH-0003,Q3-R-001,16,16,1,2
PH-0003,Q3-R-002,0,35,0,1
PH-0003,Q3-R-003,36,37,1,2
PH-0003,Q3-R-004,9,65,1,2
PH-0004,G01,171,191,1,1
PH-0004,Q3-R-001,16,16,1,1
PH-0004,Q3-R-002,0,35,0,1
PH-0004,Q3-R-003,36,37,1,1
PH-0004,Q3-R-004,9,65,1,1
PH-0005,G01,171,191,1,1
PH-0005,Q3-R-001,16,16,1,2
PH-0005,Q3-R-002,0,35,0,1
PH-0005,Q3-R-003,36,37,1,2
PH-0005,Q3-R-004,9,65,1,2
PH-0006,G01,268,3967,1,1
PH-0006,Q3-R-001,0,438,0,1
PH-0006,Q3-R-002,0,6,0,2
PH-0006,Q3-R-003,0,94,0,2
PH-0006,Q3-R-004,0,22,0,1
PH-0007,G01,53,215,1,1
PH-0007,Q3-R-001,0,0,0,1
PH-0007,Q3-R-002,0,68,0,1
PH-0007,Q3-R-003,0,0,0,1
PH-0007,Q3-R-004,0,37,0,1
PH-0008,G01,53,215,1,1
PH-0008,Q3-R-001,0,0,0,1
PH-0008,Q3-R-002,0,68,0,1
PH-0008,Q3-R-003,0,0,0,1
PH-0008,Q3-R-004,0,37,0,1
PH-0009,G01,53,215,1,1
PH-0009,Q3-R-001,0,0,0,1
PH-0009,Q3-R-002,0,68,0,1
PH-0009,Q3-R-003,0,0,0,1
PH-0009,Q3-R-004,0,37,0,1
PH-0010,G01,28,215,1,3
PH-0010,Q3-R-001,0,0,0,2
PH-0010,Q3-R-002,0,173,0,1
PH-0010,Q3-R-003,0,0,0,1
PH-0010,Q3-R-004,0,358,0,2
PH-0011,G01,1,1,1,2
PH-0011,Q3-R-001,24,122,1,2
PH-0011,Q3-R-002,47,170,1,2
PH-0011,Q3-R-003,33,202,1,2
PH-0011,Q3-R-004,14,241,1,2
PH-0012,G01,1,1,1,2
PH-0012,Q3-R-001,24,122,1,2
PH-0012,Q3-R-002,47,170,1,2
PH-0012,Q3-R-003,33,202,1,2
PH-0012,Q3-R-004,14,241,1,2
PH-0013,G01,12,114,1,2
PH-0013,Q3-R-001,0,100,0,1
PH-0013,Q3-R-002,11,3310,1,3
PH-0013,Q3-R-003,0,239,0,1
PH-0013,Q3-R-004,0,1180,0,1
PH-0014,G01,82,114,1,1
PH-0014,Q3-R-001,1,103,1,2
PH-0014,Q3-R-002,0,173,0,1
PH-0014,Q3-R-003,20,103,1,2
PH-0014,Q3-R-004,9,173,1,2
PH-0015,G01,82,114,1,1
PH-0015,Q3-R-001,1,103,1,1
PH-0015,Q3-R-002,0,173,0,1
PH-0015,Q3-R-003,20,103,1,1
PH-0015,Q3-R-004,9,173,1,1
PH-0016,G01,82,114,1,1
PH-0016,Q3-R-001,1,103,1,2
PH-0016,Q3-R-002,0,173,0,1
PH-0016,Q3-R-003,20,103,1,2
PH-0016,Q3-R-004,9,173,1,2
PH-0017,G01,12,114,1,2
PH-0017,Q3-R-001,0,100,0,1
PH-0017,Q3-R-002,11,3310,1,3
PH-0017,Q3-R-003,0,239,0,1
PH-0017,Q3-R-004,0,1180,0,1
PH-0018,G01,1,1,1,2
PH-0018,Q3-R-001,24,122,1,2
PH-0018,Q3-R-002,47,170,1,2
PH-0018,Q3-R-003,33,202,1,2
PH-0018,Q3-R-004,14,241,1,2
PH-0019,G01,1,1,1,2
PH-0019,Q3-R-001,24,122,1,2
PH-0019,Q3-R-002,47,170,1,2
PH-0019,Q3-R-003,33,202,1,2
PH-0019,Q3-R-004,14,241,1,2
PH-0020,G01,12,114,1,2
PH-0020,Q3-R-001,0,100,0,1
PH-0020,Q3-R-002,11,3310,1,3
PH-0020,Q3-R-003,0,239,0,1
PH-0020,Q3-R-004,0,1180,0,1
PH-0021,G01,82,114,1,1
PH-0021,Q3-R-001,1,103,1,2
PH-0021,Q3-R-002,0,173,0,1
PH-0021,Q3-R-003,20,103,1,2
PH-0021,Q3-R-004,9,173,1,2
PH-0022,G01,82,114,1,1
PH-0022,Q3-R-001,1,103,1,1
PH-0022,Q3-R-002,0,173,0,1
PH-0022,Q3-R-003,20,103,1,1
PH-0022,Q3-R-004,9,173,1,1
PH-0023,G01,82,114,1,1
PH-0023,Q3-R-001,1,103,1,2
PH-0023,Q3-R-002,0,173,0,1
PH-0023,Q3-R-003,20,103,1,2
PH-0023,Q3-R-004,9,173,1,2
PH-0024,G01,12,114,1,2
PH-0024,Q3-R-001,0,100,0,1
PH-0024,Q3-R-002,11,3310,1,3
PH-0024,Q3-R-003,0,239,0,1
PH-0024,Q3-R-004,0,1180,0,1
PH-0025,G01,1,1,1,2
PH-0025,Q3-R-001,24,122,1,2
PH-0025,Q3-R-002,47,170,1,2
PH-0025,Q3-R-003,33,202,1,2
PH-0025,Q3-R-004,14,241,1,2
PH-0026,G01,1,1,1,2
PH-0026,Q3-R-001,24,122,1,2
PH-0026,Q3-R-002,47,170,1,2
PH-0026,Q3-R-003,33,202,1,2
PH-0026,Q3-R-004,14,241,1,2
PH-0027,G01,12,114,1,2
PH-0027,Q3-R-001,0,100,0,1
PH-0027,Q3-R-002,11,3310,1,3
PH-0027,Q3-R-003,0,239,0,1
PH-0027,Q3-R-004,0,1180,0,1
PH-0028,G01,82,114,1,1
PH-0028,Q3-R-001,1,103,1,2
PH-0028,Q3-R-002,0,173,0,1
PH-0028,Q3-R-003,20,103,1,2
PH-0028,Q3-R-004,9,173,1,2
PH-0029,G01,82,114,1,1
PH-0029,Q3-R-001,1,103,1,1
PH-0029,Q3-R-002,0,173,0,1
PH-0029,Q3-R-003,20,103,1,1
PH-0029,Q3-R-004,9,173,1,1
PH-0030,G01,82,114,1,1
PH-0030,Q3-R-001,1,103,1,2
PH-0030,Q3-R-002,0,173,0,1
PH-0030,Q3-R-003,20,103,1,2
PH-0030,Q3-R-004,9,173,1,2
PH-0031,G01,12,114,1,2
PH-0031,Q3-R-001,0,100,0,1
PH-0031,Q3-R-002,11,3310,1,3
PH-0031,Q3-R-003,0,239,0,1
PH-0031,Q3-R-004,0,1180,0,1
PH-0032,G01,1,1,1,2
PH-0032,Q3-R-001,24,122,1,2
PH-0032,Q3-R-002,47,170,1,2
PH-0032,Q3-R-003,33,202,1,2
PH-0032,Q3-R-004,14,241,1,2
PH-0033,G01,1,1,1,2
PH-0033,Q3-R-001,24,122,1,2
PH-0033,Q3-R-002,47,170,1,2
PH-0033,Q3-R-003,33,202,1,2
PH-0033,Q3-R-004,14,241,1,2
PH-0034,G01,22,199,1,3
PH-0034,Q3-R-001,17,76,1,3
PH-0034,Q3-R-002,0,2,0,2
PH-0034,Q3-R-003,0,1095,0,1
PH-0034,Q3-R-004,0,168,0,1
PH-0035,G01,156,199,1,1
PH-0035,Q3-R-001,62,62,1,1
PH-0035,Q3-R-002,34,92,1,2
PH-0035,Q3-R-003,92,96,1,2
PH-0035,Q3-R-004,1,83,1,2
PH-0036,G01,156,199,1,1
PH-0036,Q3-R-001,62,62,1,1
PH-0036,Q3-R-002,34,92,1,1
PH-0036,Q3-R-003,92,96,1,1
PH-0036,Q3-R-004,1,83,1,1
PH-0037,G01,156,199,1,1
PH-0037,Q3-R-001,62,62,1,1
PH-0037,Q3-R-002,34,92,1,2
PH-0037,Q3-R-003,92,96,1,2
PH-0037,Q3-R-004,1,83,1,2
PH-0038,G01,22,199,1,3
PH-0038,Q3-R-001,17,76,1,3
PH-0038,Q3-R-002,0,2,0,2
PH-0038,Q3-R-003,0,1095,0,1
PH-0038,Q3-R-004,0,168,0,1
PH-0039,G01,1,1,1,2
PH-0039,Q3-R-001,24,122,1,2
PH-0039,Q3-R-002,47,170,1,2
PH-0039,Q3-R-003,33,202,1,2
PH-0039,Q3-R-004,14,241,1,2
PH-0040,G01,1,1,1,2
PH-0040,Q3-R-001,24,122,1,2
PH-0040,Q3-R-002,47,170,1,2
PH-0040,Q3-R-003,33,202,1,2
PH-0040,Q3-R-004,14,241,1,2
PH-0041,G01,22,199,1,3
PH-0041,Q3-R-001,17,76,1,3
PH-0041,Q3-R-002,0,2,0,2
PH-0041,Q3-R-003,0,1095,0,1
PH-0041,Q3-R-004,0,168,0,1
PH-0042,G01,156,199,1,1
PH-0042,Q3-R-001,62,62,1,1
PH-0042,Q3-R-002,34,92,1,2
PH-0042,Q3-R-003,92,96,1,2
PH-0042,Q3-R-004,1,83,1,2
PH-0043,G01,156,199,1,1
PH-0043,Q3-R-001,62,62,1,1
PH-0043,Q3-R-002,34,92,1,1
PH-0043,Q3-R-003,92,96,1,1
PH-0043,Q3-R-004,1,83,1,1
PH-0044,G01,156,199,1,1
PH-0044,Q3-R-001,62,62,1,1
PH-0044,Q3-R-002,34,92,1,2
PH-0044,Q3-R-003,92,96,1,2
PH-0044,Q3-R-004,1,83,1,2
PH-0045,G01,22,199,1,3
PH-0045,Q3-R-001,17,76,1,3
PH-0045,Q3-R-002,0,2,0,2
PH-0045,Q3-R-003,0,1095,0,1
PH-0045,Q3-R-004,0,168,0,1
PH-0046,G01,1,1,1,2
PH-0046,Q3-R-001,24,122,1,2
PH-0046,Q3-R-002,47,170,1,2
PH-0046,Q3-R-003,33,202,1,2
PH-0046,Q3-R-004,14,241,1,2
PH-0047,G01,1,1,1,2
PH-0047,Q3-R-001,24,122,1,2
PH-0047,Q3-R-002,47,170,1,2
PH-0047,Q3-R-003,33,202,1,2
PH-0047,Q3-R-004,14,241,1,2
PH-0048,G01,16,107,1,2
PH-0048,Q3-R-001,0,0,0,2
PH-0048,Q3-R-002,0,40,0,2
PH-0048,Q3-R-003,0,0,0,2
PH-0048,Q3-R-004,275,1954,1,2
PH-0049,G01,33,107,1,1
PH-0049,Q3-R-001,7,27,1,2
PH-0049,Q3-R-002,0,71,0,1
PH-0049,Q3-R-003,24,39,1,2
PH-0049,Q3-R-004,40,130,1,1
PH-0050,G01,33,107,1,1
PH-0050,Q3-R-001,7,27,1,1
PH-0050,Q3-R-002,0,71,0,1
PH-0050,Q3-R-003,24,39,1,1
PH-0050,Q3-R-004,40,130,1,1
PH-0051,G01,33,107,1,1
PH-0051,Q3-R-001,7,27,1,2
PH-0051,Q3-R-002,0,71,0,1
PH-0051,Q3-R-003,24,39,1,2
PH-0051,Q3-R-004,40,130,1,1
PH-0052,G01,16,107,1,2
PH-0052,Q3-R-001,0,0,0,2
PH-0052,Q3-R-002,0,40,0,2
PH-0052,Q3-R-003,0,0,0,2
PH-0052,Q3-R-004,275,1954,1,2
PH-0053,G01,1,1,1,2
PH-0053,Q3-R-001,24,122,1,2
PH-0053,Q3-R-002,47,170,1,2
PH-0053,Q3-R-003,33,202,1,2
PH-0053,Q3-R-004,14,241,1,2
PH-0054,G01,1,1,1,2
PH-0054,Q3-R-001,24,122,1,2
PH-0054,Q3-R-002,47,170,1,2
PH-0054,Q3-R-003,33,202,1,2
PH-0054,Q3-R-004,14,241,1,2
PH-0055,G01,12,114,1,2
PH-0055,Q3-R-001,0,100,0,1
PH-0055,Q3-R-002,11,3310,1,3
PH-0055,Q3-R-003,0,239,0,1
PH-0055,Q3-R-004,0,1180,0,1
PH-0056,G01,82,114,1,1
PH-0056,Q3-R-001,1,103,1,2
PH-0056,Q3-R-002,0,173,0,1
PH-0056,Q3-R-003,20,103,1,2
PH-0056,Q3-R-004,9,173,1,2
PH-0057,G01,82,114,1,1
PH-0057,Q3-R-001,1,103,1,1
PH-0057,Q3-R-002,0,173,0,1
PH-0057,Q3-R-003,20,103,1,1
PH-0057,Q3-R-004,9,173,1,1
PH-0058,G01,82,114,1,2
PH-0058,Q3-R-001,1,103,1,2
PH-0058,Q3-R-002,0,173,0,1
PH-0058,Q3-R-003,20,103,1,2
PH-0058,Q3-R-004,9,173,1,2
PH-0059,G01,182,5012,1,3
PH-0059,Q3-R-001,0,21,0,2
PH-0059,Q3-R-002,0,102,0,1
PH-0059,Q3-R-003,0,44,0,1
PH-0059,Q3-R-004,0,73,0,2
PH-0060,G01,229,330,1,1
PH-0060,Q3-R-001,42,57,1,2
PH-0060,Q3-R-002,0,166,0,1
PH-0060,Q3-R-003,14,68,1,2
PH-0060,Q3-R-004,18,156,1,2
PH-0061,G01,229,330,1,1
PH-0061,Q3-R-001,42,57,1,1
PH-0061,Q3-R-002,0,166,0,1
PH-0061,Q3-R-003,14,68,1,1
PH-0061,Q3-R-004,18,156,1,1
PH-0062,G01,229,330,1,1
PH-0062,Q3-R-001,42,57,1,2
PH-0062,Q3-R-002,0,166,0,1
PH-0062,Q3-R-003,14,68,1,2
PH-0062,Q3-R-004,18,156,1,2
PH-0063,G01,49,330,1,3
PH-0063,Q3-R-001,0,99,0,2
PH-0063,Q3-R-002,0,288,0,1
PH-0063,Q3-R-003,0,82,0,1
PH-0063,Q3-R-004,0,353,0,2
PH-0064,G01,1,1,1,2
PH-0064,Q3-R-001,24,122,1,2
PH-0064,Q3-R-002,47,170,1,2
PH-0064,Q3-R-003,33,202,1,2
PH-0064,Q3-R-004,14,241,1,2
PH-0065,G01,1,1,1,2
PH-0065,Q3-R-001,24,122,1,2
PH-0065,Q3-R-002,47,170,1,2
PH-0065,Q3-R-003,33,202,1,2
PH-0065,Q3-R-004,14,241,1,2
PH-0066,G01,12,114,1,2
PH-0066,Q3-R-001,0,100,0,1
PH-0066,Q3-R-002,11,3310,1,3
PH-0066,Q3-R-003,0,239,0,1
PH-0066,Q3-R-004,0,1180,0,1
PH-0067,G01,82,114,1,1
PH-0067,Q3-R-001,1,103,1,2
PH-0067,Q3-R-002,0,173,0,1
PH-0067,Q3-R-003,20,103,1,2
PH-0067,Q3-R-004,9,173,1,2
