box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q3-T-015,S001,A,U01,3313.8524647350264,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q3-T-002,S001,A,U02,908.5730843719844,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q3-T-009,S001,A,U02,2159.472586449286,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q3-T-011,S001,C,U07,2659.823406626256,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q3-T-008,S001,C,U08,1008.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q3-T-003,S001,A,U03,908.5730843719844,3600.0,3600.0,3600.0,True,True,24,0.0,2691.4269156280156,3.0,0.012
S001-MED-02,Q3-T-004,S001,A,U04,878.5730843719844,3600.0,3600.0,,False,True,24,0.0,2721.4269156280156,3.0,0.012
S001-WAT-01,Q3-T-004,S001,A,U04,908.5730843719844,3600.0,3600.0,3600.0,True,False,12,0.0,2691.4269156280156,14.0,0.027
S001-WAT-02,Q3-T-015,S001,A,U01,3283.8524647350264,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q3-T-011,S001,C,U07,2623.823406626256,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q3-T-008,S001,C,U08,972.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-05,Q3-T-003,S001,A,U03,938.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-06,Q3-T-002,S001,A,U02,878.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-07,Q3-T-009,S001,A,U02,2129.472586449286,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-08,Q3-T-010,S001,A,U04,2129.472586449286,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-FOD-01,Q3-T-011,S002,C,U07,3369.500267512536,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q3-T-011,S002,C,U07,3405.500267512536,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q3-T-011,S002,C,U07,3441.500267512536,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q3-T-011,S002,C,U07,3261.500267512536,3600.0,3600.0,3600.0,True,True,24,0.0,338.4997324874639,3.0,0.012
S002-WAT-01,Q3-T-013,S002,B,U06,2766.562549029515,3600.0,3600.0,3600.0,True,False,12,0.0,833.4374509704849,14.0,0.027
S002-WAT-02,Q3-T-011,S002,C,U07,3297.500267512536,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-03,Q3-T-013,S002,B,U06,2796.562549029515,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-04,Q3-T-011,S002,C,U07,3333.500267512536,3600.0,,,False,False,12,0.0,,14.0,0.027
S003-FOD-01,Q3-T-022,S003,C,U07,5635.502134722453,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q3-T-022,S003,C,U07,5671.502134722453,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q3-T-022,S003,C,U07,5707.502134722453,14400.0,,,False,False,6,0.0,,6.0,0.035
S003-MED-01,Q3-T-020,S003,A,U04,5169.950734703743,7200.0,7200.0,7200.0,True,True,20,0.0,2030.0492652962566,3.0,0.012
S003-WAT-01,Q3-T-020,S003,A,U04,5199.950734703743,7200.0,7200.0,7200.0,True,False,10,0.0,2000.0492652962566,14.0,0.027
S003-WAT-02,Q3-T-022,S003,C,U07,5527.502134722453,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-03,Q3-T-022,S003,C,U07,5563.502134722453,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-04,Q3-T-022,S003,C,U07,5599.502134722453,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-FOD-01,Q3-T-016,S004,C,U08,4024.38677710562,10800.0,,,False,False,8,0.0,,8.0,0.028
S004-HYG-01,Q3-T-016,S004,C,U08,4060.38677710562,14400.0,,,False,False,6,0.0,,6.0,0.035
S004-MED-01,Q3-T-016,S004,C,U08,3880.38677710562,7200.0,7200.0,7200.0,True,True,20,0.0,3319.61322289438,3.0,0.012
S004-WAT-01,Q3-T-016,S004,C,U08,3916.38677710562,7200.0,7200.0,7200.0,True,False,10,0.0,3283.61322289438,14.0,0.027
S004-WAT-02,Q3-T-016,S004,C,U08,3952.38677710562,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-WAT-03,Q3-T-016,S004,C,U08,3988.38677710562,7200.0,,,False,False,10,0.0,,14.0,0.027
S005-FOD-01,Q3-T-018,S005,B,U06,4463.811479896326,14400.0,,,False,False,6,0.0,,8.0,0.028
S005-HYG-01,Q3-T-024,S005,C,U08,6019.175385610112,18000.0,,,False,False,4,0.0,,6.0,0.035
S005-MED-01,Q3-T-018,S005,B,U06,4433.811479896326,10800.0,10800.0,10800.0,True,True,16,0.0,6366.188520103674,3.0,0.012
S005-WAT-01,Q3-T-024,S005,C,U08,5911.175385610112,10800.0,10800.0,10800.0,True,False,8,0.0,4888.824614389888,14.0,0.027
S005-WAT-02,Q3-T-024,S005,C,U08,5947.175385610112,10800.0,,,False,False,8,0.0,,14.0,0.027
S005-WAT-03,Q3-T-024,S005,C,U08,5983.175385610112,10800.0,,,False,False,8,0.0,,14.0,0.027
S006-FOD-01,Q3-T-007,S006,C,U07,1173.4219339808383,7200.0,,,False,False,10,0.0,,8.0,0.028
S006-HYG-01,Q3-T-007,S006,C,U07,1209.4219339808383,10800.0,,,False,False,8,0.0,,6.0,0.035
S006-MED-01,Q3-T-007,S006,C,U07,1029.4219339808383,3600.0,3600.0,3600.0,True,True,24,0.0,2570.5780660191617,3.0,0.012
S006-WAT-01,Q3-T-007,S006,C,U07,1065.4219339808383,3600.0,3600.0,3600.0,True,False,12,0.0,2534.5780660191617,14.0,0.027
S006-WAT-02,Q3-T-007,S006,C,U07,1101.4219339808383,3600.0,,,False,False,12,0.0,,14.0,0.027
S006-WAT-03,Q3-T-007,S006,C,U07,1137.4219339808383,3600.0,,,False,False,12,0.0,,14.0,0.027
S007-FOD-01,Q3-T-006,S007,B,U06,1125.7776994901417,7200.0,,,False,False,10,0.0,,8.0,0.028
S007-HYG-01,Q3-T-005,S007,B,U05,1065.7776994901417,10800.0,,,False,False,8,0.0,,6.0,0.035
S007-MED-01,Q3-T-006,S007,B,U06,1065.7776994901417,3600.0,3600.0,3600.0,True,True,24,0.0,2534.2223005098585,3.0,0.012
S007-WAT-01,Q3-T-005,S007,B,U05,1035.7776994901417,3600.0,3600.0,3600.0,True,False,12,0.0,2564.2223005098585,14.0,0.027
S007-WAT-02,Q3-T-006,S007,B,U06,1095.7776994901417,3600.0,,,False,False,12,0.0,,14.0,0.027
S008-FOD-01,Q3-T-019,S008,A,U01,5055.640294497845,10800.0,,,False,False,8,0.0,,8.0,0.028
S008-HYG-01,Q3-T-017,S008,A,U02,4931.76596230778,14400.0,,,False,False,6,0.0,,6.0,0.035
S008-MED-01,Q3-T-017,S008,A,U02,4901.76596230778,7200.0,7200.0,7200.0,True,True,20,0.0,2298.23403769222,3.0,0.012
S008-WAT-01,Q3-T-019,S008,A,U01,5025.640294497845,7200.0,7200.0,7200.0,True,False,10,0.0,2174.3597055021546,14.0,0.027
S008-WAT-02,Q3-T-018,S008,B,U06,4942.106767266771,7200.0,,,False,False,10,0.0,,14.0,0.027
S009-FOD-01,Q3-T-021,S009,B,U05,4989.64819744615,14400.0,,,False,False,6,0.0,,8.0,0.028
S009-MED-01,Q3-T-021,S009,B,U05,4929.64819744615,10800.0,10800.0,10800.0,True,True,16,0.0,5870.35180255385,3.0,0.012
S009-WAT-01,Q3-T-021,S009,B,U05,4959.64819744615,10800.0,10800.0,10800.0,True,False,8,0.0,5840.35180255385,14.0,0.027
S010-FOD-01,Q3-T-010,S010,A,U04,2732.782201150687,7200.0,,,False,False,10,0.0,,8.0,0.028
S010-MED-01,Q3-T-003,S010,A,U03,1541.882699073385,3600.0,3600.0,3600.0,True,True,24,0.0,2058.117300926615,3.0,0.012
S010-WAT-01,Q3-T-012,S010,B,U05,2571.501848562538,3600.0,3600.0,3600.0,True,False,12,0.0,1028.4981514374622,14.0,0.027
S011-FOD-01,Q3-T-025,S011,B,U05,6303.675966774776,14400.0,,,False,False,6,0.0,,8.0,0.028
S011-MED-01,Q3-T-017,S011,A,U02,4154.086186436662,10800.0,10800.0,10800.0,True,True,16,0.0,6645.913813563338,3.0,0.012
S011-WAT-01,Q3-T-025,S011,B,U05,6273.675966774776,10800.0,10800.0,10800.0,True,False,8,0.0,4526.324033225224,14.0,0.027
S012-FOD-01,Q3-T-008,S012,C,U08,1787.9880896797995,7200.0,,,False,False,10,0.0,,8.0,0.028
S012-MED-01,Q3-T-008,S012,C,U08,1751.9880896797995,7200.0,3600.0,3600.0,True,True,22,0.0,1848.0119103202005,3.0,0.012
S012-WAT-01,Q3-T-008,S012,C,U08,1715.9880896797995,3600.0,3600.0,3600.0,True,False,12,0.0,1884.0119103202005,14.0,0.027
S013-FOD-01,Q3-T-014,S013,A,U03,3192.8058121147883,7200.0,,,False,False,10,0.0,,8.0,0.028
S013-MED-01,Q3-T-001,S013,A,U01,1876.7558448581558,3600.0,3600.0,3600.0,True,True,24,0.0,1723.2441551418442,3.0,0.012
S013-WAT-01,Q3-T-014,S013,A,U03,3162.8058121147883,3600.0,3600.0,3600.0,True,False,12,0.0,437.1941878852117,14.0,0.027
S014-FOD-01,Q3-T-001,S014,A,U01,1302.7615724943685,7200.0,,,False,False,10,0.0,,8.0,0.028
S014-MED-01,Q3-T-001,S014,A,U01,1272.7615724943685,7200.0,3600.0,3600.0,True,True,22,0.0,2327.2384275056315,3.0,0.012
S014-WAT-01,Q3-T-012,S014,B,U05,3004.9945453983546,3600.0,3600.0,3600.0,True,False,12,0.0,595.0054546016454,14.0,0.027
S015-FOD-01,Q3-T-023,S015,A,U03,5721.702396938054,14400.0,,,False,False,6,0.0,,8.0,0.028
S015-MED-01,Q3-T-020,S015,A,U04,5653.14047725848,7200.0,7200.0,7200.0,True,True,18,0.0,1546.8595227415199,3.0,0.012
S015-WAT-01,Q3-T-023,S015,A,U03,5691.702396938054,10800.0,10800.0,10800.0,True,False,8,0.0,5108.297603061946,14.0,0.027
