phase_id,anchor,s,local_line_distance_m,geodesic_plus_height_m,difference_m,absolute_relative_difference,loss_difference_db
IV-PH-0001,G01,0.0,19.999999999999986,19.999999999999986,0.0,0.0,0.0
IV-PH-0001,Q3-R-001,0.0,2642.4341213047032,2642.347533755259,0.08658754944417524,3.2769175264814046e-05,0.0002846247764467422
IV-PH-0001,Q3-R-002,0.0,4720.527622296987,4720.5449856715995,-0.01736337461261428,3.678256359237717e-06,-3.194898755548509e-05
IV-PH-0001,Q3-R-003,0.0,5819.693181225441,5819.704537545414,-0.011356319972946949,1.951356791342662e-06,-1.694928627142333e-05
IV-PH-0001,Q3-R-004,0.0,5209.67383011785,5209.43272380445,0.24110631340045074,4.6282642695185965e-05,0.0004019966239475446
IV-PH-0001,G01,0.5,212.12369384765628,212.12369384765628,0.0,0.0,0.0
IV-PH-0001,Q3-R-001,0.5,2632.899202921169,2632.8123017887297,0.08690113243937958,3.300696080018278e-05,0.0002866900874394676
IV-PH-0001,Q3-R-002,0.5,4703.605336410542,4703.622762253598,-0.01742584305611672,3.7047705432413663e-06,-3.21792876813566e-05
IV-PH-0001,Q3-R-003,0.5,5814.599358017729,5814.610724286277,-0.0113662685480449,1.9547772133000476e-06,-1.697899573698367e-05
IV-PH-0001,Q3-R-004,0.5,5192.645361514826,5192.403464494193,0.2418970206326776,4.658671505147404e-05,0.0004046376402405943
IV-PH-0001,G01,1.0,444.2473876953125,444.2473876953125,0.0,0.0,0.0
IV-PH-0001,Q3-R-001,1.0,2643.7891668099137,2643.7026236414335,0.08654316848014787,3.2735591252295764e-05,0.0002843330789746995
IV-PH-0001,Q3-R-002,1.0,4698.1047356398485,4698.122181885227,-0.017446245378778258,3.713450758272438e-06,-3.225468335045598e-05
IV-PH-0001,Q3-R-003,1.0,5818.768382004,5818.7797401288735,-0.01135812487336807,1.9519771121490347e-06,-1.695467431990223e-05
IV-PH-0001,Q3-R-004,1.0,5185.961155195731,5185.718946378497,0.24220881723431376,4.670689247504686e-05,0.0004056814393888004
IV-PH-0002,G01,0.0,444.2473876953125,444.2473876953125,0.0,0.0,0.0
IV-PH-0002,Q3-R-001,0.0,2643.7891668099137,2643.7026236414335,0.08654316848014787,3.2735591252295764e-05,0.0002843330789746995
IV-PH-0002,Q3-R-002,0.0,4698.1047356398485,4698.122181885227,-0.017446245378778258,3.713450758272438e-06,-3.225468335045598e-05
IV-PH-0002,Q3-R-003,0.0,5818.768382004,5818.7797401288735,-0.01135812487336807,1.9519771121490347e-06,-1.695467431990223e-05
IV-PH-0002,Q3-R-004,0.0,5185.961155195731,5185.718946378497,0.24220881723431376,4.670689247504686e-05,0.0004056814393888004
IV-PH-0002,G01,0.5,2745.942309676362,2745.9584873402946,-0.016177663932467112,5.891445193746035e-06,-5.1172593501559385e-05
IV-PH-0002,Q3-R-001,0.5,5196.705399422885,5196.51982090573,0.18557851715559082,3.5712077226955584e-05,0.0003101856228860069
IV-PH-0002,Q3-R-002,0.5,1994.4379396810477,1994.4574562766284,-0.019516595580626017,9.785415837879419e-06,-8.499545788875416e-05
