check,pass,details
relay_unique_trip_ids,True,
Q3-R-001/finite,True,
Q3-R-001/drone_inventory,True,
Q3-R-001/energy_inventory,True,
Q3-R-001/start_nonnegative,True,
Q3-R-001/DEM_domain,True,
Q3-R-001/AGL_cap,True,
Q3-R-001/strict_source_cruise,True,
Q3-R-001/build_link_time,True,0.0
Q3-R-001/return_time,True,0.0
Q3-R-001/service_interval,True,
Q3-R-001/energy_formula,True,0.0
Q3-R-001/return_reserve,True,0.9097067967550476
Q3-R-001/bidirectional_backhaul,True,7.511029389008797
Q3-R-002/finite,True,
Q3-R-002/drone_inventory,True,
Q3-R-002/energy_inventory,True,
Q3-R-002/start_nonnegative,True,
Q3-R-002/DEM_domain,True,
Q3-R-002/AGL_cap,True,
Q3-R-002/strict_source_cruise,True,
Q3-R-002/build_link_time,True,0.0
Q3-R-002/return_time,True,0.0
Q3-R-002/service_interval,True,
Q3-R-002/energy_formula,True,-2.220446049250313e-16
Q3-R-002/return_reserve,True,0.6995596036207926
Q3-R-002/bidirectional_backhaul,True,2.4694705795379406
Q3-R-003/finite,True,
Q3-R-003/drone_inventory,True,
Q3-R-003/energy_inventory,True,
Q3-R-003/start_nonnegative,True,
Q3-R-003/DEM_domain,True,
Q3-R-003/AGL_cap,True,
Q3-R-003/strict_source_cruise,True,
Q3-R-003/build_link_time,True,0.0
Q3-R-003/return_time,True,0.0
Q3-R-003/service_interval,True,
Q3-R-003/energy_formula,True,0.0
Q3-R-003/return_reserve,True,0.5583764057997391
Q3-R-003/bidirectional_backhaul,True,0.6489723131086578
Q3-R-004/finite,True,
Q3-R-004/drone_inventory,True,
Q3-R-004/energy_inventory,True,
Q3-R-004/start_nonnegative,True,
Q3-R-004/DEM_domain,True,
Q3-R-004/AGL_cap,True,
Q3-R-004/strict_source_cruise,True,
Q3-R-004/build_link_time,True,0.0
Q3-R-004/return_time,True,0.0
Q3-R-004/service_interval,True,
Q3-R-004/energy_formula,True,0.0
Q3-R-004/return_reserve,True,0.7942042833146928
Q3-R-004/bidirectional_backhaul,True,1.6126866692443826
R01/reuse_Q3-R-001_Q3-R-003,True,17.89294079139154
R02/reuse_Q3-R-002_Q3-R-004,True,61.900145845829684
