trip_id,drone_id,leg_index,from_id,to_id,phase,start_s,end_s,phase_id,p0_lon_deg,p0_lat_deg,p0_altitude_m,p1_lon_deg,p1_lat_deg,p1_altitude_m
Q3-T-001,U01,1,O01,S014,爬升,390.0,544.7491292317709,PH-0001,109.2308517,23.0085095,127.7,109.2308517,23.0085095,591.9473876953125
Q3-T-001,U01,1,O01,S014,巡航,544.7491292317709,996.3826174162434,PH-0002,109.2308517,23.0085095,591.9473876953125,109.2835966,23.0052097,591.9473876953125
Q3-T-001,U01,1,O01,S014,下降,996.3826174162434,1092.7615724943685,PH-0003,109.2835966,23.0052097,591.9473876953125,109.2835966,23.0052097,351.0
Q3-T-001,U01,1,O01,S014,投送交接,1092.7615724943685,1302.7615724943685,PH-0004,109.2835966,23.0052097,351.0,109.2835966,23.0052097,351.0
Q3-T-001,U01,2,S014,S013,爬升,1302.7615724943685,1363.5150108081705,PH-0005,109.2835966,23.0052097,351.0,109.2835966,23.0052097,533.2603149414062
Q3-T-001,U01,2,S014,S013,巡航,1363.5150108081705,1624.1317188815933,PH-0006,109.2835966,23.0052097,533.2603149414062,109.2713839,23.0310882,533.2603149414062
Q3-T-001,U01,2,S014,S013,下降,1624.1317188815933,1696.7558448581558,PH-0007,109.2713839,23.0310882,533.2603149414062,109.2713839,23.0310882,351.7
Q3-T-001,U01,2,S014,S013,投送交接,1696.7558448581558,1876.7558448581558,PH-0008,109.2713839,23.0310882,351.7,109.2713839,23.0310882,351.7
Q3-T-001,U01,3,S013,O01,爬升,1876.7558448581558,1892.5831194349787,PH-0009,109.2713839,23.0310882,351.7,109.2713839,23.0310882,399.18182373046875
Q3-T-001,U01,3,S013,O01,巡航,1892.5831194349787,2296.6866508708545,PH-0010,109.2713839,23.0310882,399.18182373046875,109.2308517,23.0085095,399.18182373046875
Q3-T-001,U01,3,S013,O01,下降,2296.6866508708545,2405.279380363042,PH-0011,109.2308517,23.0085095,399.18182373046875,109.2308517,23.0085095,127.7
Q3-T-002,U02,1,O01,S001,爬升,360.0,408.45220336914065,PH-0012,109.2308517,23.0085095,127.7,109.2308517,23.0085095,273.0566101074219
Q3-T-002,U02,1,O01,S001,巡航,408.45220336914065,662.9504403290156,PH-0013,109.2308517,23.0085095,273.0566101074219,109.2432319,23.0335927,273.0566101074219
Q3-T-002,U02,1,O01,S001,下降,662.9504403290156,698.5730843719844,PH-0014,109.2432319,23.0335927,273.0566101074219,109.2432319,23.0335927,184.0
Q3-T-002,U02,1,O01,S001,投送交接,698.5730843719844,908.5730843719844,PH-0015,109.2432319,23.0335927,184.0,109.2432319,23.0335927,184.0
