K,group_id,resource_type,source_task_id,local_task_id,local_resource_id,physical_resource_id,source_resource_id,start_s,return_s,ready_s,unavailable_after_return_s
2,K2-G1,transport_A,Q3-T-001,Q3-T-001,K2-G1-transport_A-04,U04,U01,0.0,2405.279380363042,2405.279380363042,0.0
2,K2-G1,transport_A,Q3-T-002,Q3-T-002,K2-G1-transport_A-01,U01,U02,0.0,1250.899502077302,1250.899502077302,0.0
2,K2-G1,transport_A,Q3-T-003,Q3-T-003,K2-G1-transport_A-03,U03,U03,0.0,2091.77739618304,2091.77739618304,0.0
2,K2-G1,transport_A,Q3-T-004,Q3-T-004,K2-G1-transport_A-02,U02,U04,0.0,1250.899502077302,1250.899502077302,0.0
2,K2-G1,transport_A,Q3-T-009,Q3-T-009,K2-G1-transport_A-01,U01,U02,1250.899502077302,2501.799004154604,2501.799004154604,0.0
2,K2-G1,transport_A,Q3-T-010,Q3-T-010,K2-G1-transport_A-02,U02,U04,1250.899502077302,3282.6768982603417,3282.6768982603417,0.0
2,K2-G1,transport_A,Q3-T-014,Q3-T-014,K2-G1-transport_A-03,U03,U03,2109.215609943235,3721.3293476196745,3721.3293476196745,0.0
2,K2-G1,transport_A,Q3-T-015,Q3-T-015,K2-G1-transport_A-04,U04,U01,2405.279380363042,3656.178882440344,3656.178882440344,0.0
2,K2-G1,transport_A,Q3-T-017,Q3-T-017,K2-G1-transport_A-01,U01,U02,3260.888046441056,5737.105565344999,5737.105565344999,0.0
2,K2-G1,transport_A,Q3-T-019,Q3-T-019,K2-G1-transport_A-02,U02,U01,3689.847358127293,5860.979897535064,5860.979897535064,0.0
2,K2-G1,transport_A,Q3-T-020,Q3-T-020,K2-G1-transport_A-03,U03,U04,3760.662761989458,6363.995178832307,6363.995178832307,0.0
2,K2-G1,transport_A,Q3-T-023,Q3-T-023,K2-G1-transport_A-04,U04,U03,4463.967695364228,6432.557098511881,6432.557098511881,0.0
2,K2-G1,transport_B,Q3-T-005,Q3-T-005,K2-G1-transport_B-01,U05,U05,0.0,1576.2753989802832,1576.2753989802832,0.0
2,K2-G1,transport_B,Q3-T-006,Q3-T-006,K2-G1-transport_B-02,U06,U06,0.0,1636.2753989802832,1636.2753989802832,0.0
2,K2-G1,transport_B,Q3-T-012,Q3-T-012,K2-G1-transport_B-01,U05,U05,1576.2753989802832,3632.3160869224953,3632.3160869224953,0.0
2,K2-G1,transport_B,Q3-T-013,Q3-T-013,K2-G1-transport_B-02,U06,U06,1636.2753989802832,3392.9696990787475,3392.9696990787475,0.0
2,K2-G1,transport_B,Q3-T-018,Q3-T-018,K2-G1-transport_B-02,U06,U06,3392.9696990787475,5612.79581843027,5612.79581843027,0.0
2,K2-G1,transport_B,Q3-T-021,Q3-T-021,K2-G1-transport_B-01,U05,U05,3898.8373309017697,5457.279063990531,5457.279063990531,0.0
2,K2-G1,transport_B,Q3-T-025,Q3-T-025,K2-G1-transport_B-01,U05,U05,5457.279063990531,6585.699536225688,6585.699536225688,0.0
2,K2-G1,transport_C,Q3-T-008,Q3-T-008,K2-G1-transport_C-01,U07,U08,0.0,2476.88843086402,2476.88843086402,0.0
2,K2-G1,transport_C,Q3-T-011,Q3-T-011,K2-G1-transport_C-02,U08,U07,1561.5538679616764,4061.9964599201658,4061.9964599201658,0.0
2,K2-G1,transport_C,Q3-T-016,Q3-T-016,K2-G1-transport_C-01,U07,U08,2476.88843086402,4777.945123347221,4777.945123347221,0.0
2,K2-G1,transport_C,Q3-T-022,Q3-T-022,K2-G1-transport_C-02,U08,U07,4061.9964599201658,6498.087809524741,6498.087809524741,0.0
2,K2-G1,transport_C,Q3-T-024,Q3-T-024,K2-G1-transport_C-01,U07,U08,4777.945123347221,6523.135647873001,6523.135647873001,0.0
2,K2-G1,battery_A,Q3-T-001,Q3-T-001,K2-G1-battery_A-04,A-BAT-04,A-BAT-01,0.0,2405.279380363042,3689.847358127293,1284.5679777642508
2,K2-G1,battery_A,Q3-T-002,Q3-T-002,K2-G1-battery_A-02,A-BAT-02,A-BAT-02,0.0,1250.899502077302,2121.355027214739,870.455525137437
2,K2-G1,battery_A,Q3-T-003,Q3-T-003,K2-G1-battery_A-03,A-BAT-03,A-BAT-03,0.0,2091.77739618304,3260.888046441056,1169.110650258016
2,K2-G1,battery_A,Q3-T-004,Q3-T-004,K2-G1-battery_A-01,A-BAT-01,A-BAT-04,0.0,1250.899502077302,2109.215609943235,858.316107865933
2,K2-G1,battery_A,Q3-T-009,Q3-T-009,K2-G1-battery_A-05,A-BAT-05,A-BAT-05,1250.899502077302,2501.799004154604,3372.254529292041,870.4555251374368
2,K2-G1,battery_A,Q3-T-010,Q3-T-010,K2-G1-battery_A-06,A-BAT-06,A-BAT-06,1250.899502077302,3282.6768982603417,4463.967695364228,1181.2907971038867
2,K2-G1,battery_A,Q3-T-014,Q3-T-014,K2-G1-battery_A-01,A-BAT-01,A-BAT-04,2109.215609943235,3721.3293476196745,4806.458089262729,1085.1287416430546
2,K2-G1,battery_A,Q3-T-015,Q3-T-015,K2-G1-battery_A-02,A-BAT-02,A-BAT-02,2405.279380363042,3656.178882440344,4526.634407577781,870.4555251374368
2,K2-G1,battery_A,Q3-T-017,Q3-T-017,K2-G1-battery_A-03,A-BAT-03,A-BAT-03,3260.888046441056,5737.105565344999,7143.346276432298,1406.2407110872982
2,K2-G1,battery_A,Q3-T-019,Q3-T-019,K2-G1-battery_A-04,A-BAT-04,A-BAT-01,3689.847358127293,5860.979897535064,7316.749704725784,1455.7698071907198
2,K2-G1,battery_A,Q3-T-020,Q3-T-020,K2-G1-battery_A-05,A-BAT-05,A-BAT-05,3760.662761989458,6363.995178832307,7816.525071444816,1452.5298926125088
2,K2-G1,battery_A,Q3-T-023,Q3-T-023,K2-G1-battery_A-06,A-BAT-06,A-BAT-06,4463.967695364228,6432.557098511881,7671.446613088383,1238.8895145765018
2,K2-G1,battery_B,Q3-T-005,Q3-T-005,K2-G1-battery_B-01,B-BAT-01,B-BAT-01,0.0,1576.2753989802832,2960.75605363253,1384.4806546522468
2,K2-G1,battery_B,Q3-T-006,Q3-T-006,K2-G1-battery_B-02,B-BAT-02,B-BAT-02,0.0,1636.2753989802832,3074.285293757934,1438.009894777651
2,K2-G1,battery_B,Q3-T-012,Q3-T-012,K2-G1-battery_B-03,B-BAT-03,B-BAT-03,1576.2753989802832,3632.3160869224953,5339.661191434921,1707.3451045124261
2,K2-G1,battery_B,Q3-T-013,Q3-T-013,K2-G1-battery_B-04,B-BAT-04,B-BAT-04,1636.2753989802832,3392.9696990787475,5303.369188338792,1910.3994892600444
2,K2-G1,battery_B,Q3-T-018,Q3-T-018,K2-G1-battery_B-01,B-BAT-01,B-BAT-01,3392.9696990787475,5612.79581843027,7545.0639646746085,1932.2681462443388
2,K2-G1,battery_B,Q3-T-021,Q3-T-021,K2-G1-battery_B-02,B-BAT-02,B-BAT-02,3898.8373309017697,5457.279063990531,7032.313682241871,1575.0346182513404
2,K2-G1,battery_B,Q3-T-025,Q3-T-025,K2-G1-battery_B-03,B-BAT-03,B-BAT-04,5457.279063990531,6585.699536225688,7696.844816142158,1111.1452799164708
2,K2-G1,battery_C,Q3-T-008,Q3-T-008,K2-G1-battery_C-01,C-BAT-01,C-BAT-02,0.0,2476.88843086402,4738.6806285803905,2261.7921977163705
