K,group_id,resource_type,local_resource_id,physical_resource_id,supply_status,busy_until_ready_s,accounting_horizon_s,utilization_fraction
2,K2-G1,transport_A,K2-G1-transport_A-01,U01,existing_inventory,4978.016523058548,8996.90477971226,0.5533032353842201
2,K2-G1,transport_A,K2-G1-transport_A-02,U02,existing_inventory,5453.809437668113,8996.90477971226,0.6061873023227147
2,K2-G1,transport_A,K2-G1-transport_A-03,U03,existing_inventory,6307.223550702329,8996.90477971226,0.7010437150479708
2,K2-G1,transport_A,K2-G1-transport_A-04,U04,existing_inventory,5624.768285587997,8996.90477971226,0.6251892648982652
2,K2-G1,transport_B,K2-G1-transport_B-01,U05,existing_inventory,6319.178292246414,8996.90477971226,0.7023724766428521
2,K2-G1,transport_B,K2-G1-transport_B-02,U06,existing_inventory,5612.79581843027,8996.90477971226,0.6238585331131824
2,K2-G1,transport_C,K2-G1-transport_C-01,U07,existing_inventory,6523.135647873001,8996.90477971226,0.7250422014671611
2,K2-G1,transport_C,K2-G1-transport_C-02,U08,existing_inventory,4936.533941563064,8996.90477971226,0.5486924739600217
2,K2-G1,battery_A,K2-G1-battery_A-01,A-BAT-01,existing_inventory,4806.458089262729,8996.90477971226,0.5342346292361727
2,K2-G1,battery_A,K2-G1-battery_A-02,A-BAT-02,existing_inventory,4242.710054429477,8996.90477971226,0.47157440901193665
2,K2-G1,battery_A,K2-G1-battery_A-03,A-BAT-03,existing_inventory,7143.346276432298,8996.90477971226,0.7939782015410812
2,K2-G1,battery_A,K2-G1-battery_A-04,A-BAT-04,existing_inventory,7316.749704725784,8996.90477971226,0.8132518776040429
2,K2-G1,battery_A,K2-G1-battery_A-05,A-BAT-05,existing_inventory,6177.217336670096,8996.90477971226,0.6865936105714411
2,K2-G1,battery_A,K2-G1-battery_A-06,A-BAT-06,existing_inventory,6420.547111011081,8996.90477971226,0.7136395536261776
2,K2-G1,battery_B,K2-G1-battery_B-01,B-BAT-01,existing_inventory,7112.850319228391,8996.90477971226,0.7905885961211512
2,K2-G1,battery_B,K2-G1-battery_B-02,B-BAT-02,existing_inventory,6207.761645098035,8996.90477971226,0.6899885901978583
2,K2-G1,battery_B,K2-G1-battery_B-03,B-BAT-03,existing_inventory,6002.951544606266,8996.90477971226,0.667224083347279
2,K2-G1,battery_B,K2-G1-battery_B-04,B-BAT-04,existing_inventory,3667.0937893585087,8996.90477971226,0.4075950428671526
2,K2-G1,battery_C,K2-G1-battery_C-01,C-BAT-01,existing_inventory,8377.618104183177,8996.90477971226,0.9311666966926719
2,K2-G1,battery_C,K2-G1-battery_C-02,C-BAT-02,existing_inventory,4986.533140874166,8996.90477971226,0.5542498518066616
2,K2-G1,battery_C,K2-G1-battery_C-03,C-BAT-03,existing_inventory,4800.80911427057,8996.90477971226,0.5336067494118916
2,K2-G1,battery_C,K2-G1-battery_C-04,C-BAT-04,existing_inventory,4934.9083197920945,8996.90477971226,0.5485117871782037
2,K2-G1,relay_drone,K2-G1-relay_drone-01,R01,existing_inventory,6481.515825248728,8996.90477971226,0.7204161857825087
2,K2-G1,relay_drone,K2-G1-relay_drone-02,R02,existing_inventory,6616.234435925622,8996.90477971226,0.7353900700210837
2,K2-G1,relay_energy,K2-G1-relay_energy-01,R-ENG-01,existing_inventory,4322.843684358053,8996.90477971226,0.48048120883816964
2,K2-G1,relay_energy,K2-G1-relay_energy-02,R-ENG-02,existing_inventory,4960.870364726836,8996.90477971226,0.5513974512560635
2,K2-G1,relay_energy,K2-G1-relay_energy-03,R-ENG-03,existing_inventory,5915.101011976871,8996.90477971226,0.6574595549032862
2,K2-G2,transport_C,K2-G2-transport_C-01,Q4-ADD-transport_C-01,required_addition_not_in_source,1561.5538679616764,8996.90477971226,0.17356567688511404
2,K2-G2,battery_C,K2-G2-battery_C-01,C-BAT-05,required_addition_not_in_source,3098.5089147087447,8996.90477971226,0.34439721110484417
