运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q3-T-001,爬升·边界点,390.0,390.0,直连,
Q3-T-001,爬升,390.0,390.34184672371094,直连,
Q3-T-001,爬升·边界点,390.34184672371094,390.34184672371094,直连,
Q3-T-001,爬升,390.34184672371094,399.60265609712184,直连,
Q3-T-001,爬升·边界点,399.60265609712184,399.60265609712184,直连,
Q3-T-001,爬升,399.60265609712184,400.5743917449054,直连,
Q3-T-001,爬升·边界点,400.5743917449054,400.5743917449054,直连,
Q3-T-001,爬升,400.5743917449054,408.6860501935803,直连,
Q3-T-001,爬升·边界点,408.6860501935803,408.6860501935803,直连,
Q3-T-001,爬升,408.6860501935803,417.99820232145794,直连,
Q3-T-001,爬升·边界点,417.99820232145794,417.99820232145794,直连,
Q3-T-001,爬升,417.99820232145794,544.7491292317709,直连,
Q3-T-001,爬升·边界点,544.7491292317709,544.7491292317709,直连,
Q3-T-001,巡航,544.7491292317709,655.942685290213,直连,
Q3-T-001,巡航·边界点,655.942685290213,655.942685290213,直连,
Q3-T-001,巡航,655.942685290213,712.5211720162599,直连,
Q3-T-001,巡航·边界点,712.5211720162599,712.5211720162599,直连,
Q3-T-001,巡航,712.5211720162599,744.679230704014,直连,
Q3-T-001,巡航·边界点,744.679230704014,744.679230704014,直连,
Q3-T-001,巡航,744.679230704014,775.3192355258584,直连,
Q3-T-001,巡航·边界点,775.3192355258584,775.3192355258584,直连,
Q3-T-001,巡航,775.3192355258584,807.4812216815566,直连,
Q3-T-001,巡航·边界点,807.4812216815566,807.4812216815566,直连,
Q3-T-001,巡航,807.4812216815566,850.0622859390267,直连,
Q3-T-001,巡航·边界点,850.0622859390267,850.0622859390267,直连,
Q3-T-001,巡航,850.0622859390267,864.805648987166,直连,
Q3-T-001,巡航·边界点,864.805648987166,864.805648987166,直连,
Q3-T-001,巡航,864.805648987166,872.3593191455775,直连,
Q3-T-001,巡航·边界点,872.3593191455775,872.3593191455775,直连,
Q3-T-001,巡航,872.3593191455775,996.3826174162434,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,996.3826174162434,996.3826174162434,中继,Q3-R-002@K2-G1
Q3-T-001,下降,996.3826174162434,1009.6881913327535,中继,Q3-R-002@K2-G1
Q3-T-001,下降·边界点,1009.6881913327535,1009.6881913327535,中继,Q3-R-002@K2-G1
Q3-T-001,下降,1009.6881913327535,1012.854052548932,中继,Q3-R-002@K2-G1
Q3-T-001,下降·边界点,1012.854052548932,1012.854052548932,中继,Q3-R-002@K2-G1
Q3-T-001,下降,1012.854052548932,1016.7672078373787,中继,Q3-R-002@K2-G1
Q3-T-001,下降·边界点,1016.7672078373787,1016.7672078373787,中继,Q3-R-002@K2-G1
Q3-T-001,下降,1016.7672078373787,1092.7615724943685,中继,Q3-R-002@K2-G1
Q3-T-001,下降·边界点,1092.7615724943685,1092.7615724943685,中继,Q3-R-002@K2-G1
Q3-T-001,投送交接,1092.7615724943685,1225.977956606348,中继,Q3-R-002@K2-G1
Q3-T-001,投送交接·边界点,1225.977956606348,1225.977956606348,中继,Q3-R-002@K2-G1
Q3-T-001,投送交接,1225.977956606348,1302.7615724943685,中继,Q3-R-002@K2-G1
Q3-T-001,投送交接·边界点,1302.7615724943685,1302.7615724943685,中继,Q3-R-002@K2-G1
Q3-T-001,爬升,1302.7615724943685,1363.5150108081705,中继,Q3-R-002@K2-G1
Q3-T-001,爬升·边界点,1363.5150108081705,1363.5150108081705,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1363.5150108081705,1377.1079729478386,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1377.1079729478386,1377.1079729478386,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1377.1079729478386,1407.4045725592143,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1407.4045725592143,1407.4045725592143,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1407.4045725592143,1421.397203231491,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1421.397203231491,1421.397203231491,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1421.397203231491,1517.1136015026907,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1517.1136015026907,1517.1136015026907,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1517.1136015026907,1561.364157098675,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1561.364157098675,1561.364157098675,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1561.364157098675,1624.1317188815933,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1624.1317188815933,1624.1317188815933,中继,Q3-R-002@K2-G1
Q3-T-001,下降,1624.1317188815933,1696.7558448581558,中继,Q3-R-002@K2-G1
Q3-T-001,下降·边界点,1696.7558448581558,1696.7558448581558,中继,Q3-R-002@K2-G1
Q3-T-001,投送交接,1696.7558448581558,1876.7558448581558,中继,Q3-R-002@K2-G1
Q3-T-001,投送交接·边界点,1876.7558448581558,1876.7558448581558,中继,Q3-R-002@K2-G1
Q3-T-001,爬升,1876.7558448581558,1892.5831194349787,中继,Q3-R-002@K2-G1
Q3-T-001,爬升·边界点,1892.5831194349787,1892.5831194349787,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1892.5831194349787,1926.583946078916,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1926.583946078916,1926.583946078916,中继,Q3-R-002@K2-G1
Q3-T-001,巡航,1926.583946078916,1967.6820449241907,中继,Q3-R-002@K2-G1
Q3-T-001,巡航·边界点,1967.6820449241907,1967.6820449241907,直连,
Q3-T-001,巡航,1967.6820449241907,2060.2293374175356,直连,
Q3-T-001,巡航·边界点,2060.2293374175356,2060.2293374175356,直连,
Q3-T-001,巡航,2060.2293374175356,2094.9344765772494,直连,
Q3-T-001,巡航·边界点,2094.9344765772494,2094.9344765772494,直连,
Q3-T-001,巡航,2094.9344765772494,2296.6866508708545,直连,
Q3-T-001,巡航·边界点,2296.6866508708545,2296.6866508708545,直连,
Q3-T-001,下降,2296.6866508708545,2371.6815375772926,直连,
Q3-T-001,下降·边界点,2371.6815375772926,2371.6815375772926,直连,
Q3-T-001,下降,2371.6815375772926,2382.8561201307457,直连,
Q3-T-001,下降·边界点,2382.8561201307457,2382.8561201307457,直连,
Q3-T-001,下降,2382.8561201307457,2392.5901102691555,直连,
Q3-T-001,下降·边界点,2392.5901102691555,2392.5901102691555,直连,
Q3-T-001,下降,2392.5901102691555,2393.756193046496,直连,
Q3-T-001,下降·边界点,2393.756193046496,2393.756193046496,直连,
Q3-T-001,下降,2393.756193046496,2404.8691642945887,直连,
Q3-T-001,下降·边界点,2404.8691642945887,2404.8691642945887,直连,
Q3-T-001,下降,2404.8691642945887,2405.279380363042,直连,
Q3-T-001,下降·边界点,2405.279380363042,2405.279380363042,直连,
Q3-T-002,爬升·边界点,360.0,360.0,直连,
Q3-T-002,爬升,360.0,360.34184672371094,直连,
Q3-T-002,爬升·边界点,360.34184672371094,360.34184672371094,直连,
Q3-T-002,爬升,360.34184672371094,369.60265609712184,直连,
Q3-T-002,爬升·边界点,369.60265609712184,369.60265609712184,直连,
Q3-T-002,爬升,369.60265609712184,370.5743917449054,直连,
Q3-T-002,爬升·边界点,370.5743917449054,370.5743917449054,直连,
Q3-T-002,爬升,370.5743917449054,378.6860501935803,直连,
Q3-T-002,爬升·边界点,378.6860501935803,378.6860501935803,直连,
Q3-T-002,爬升,378.6860501935803,387.99820232145794,直连,
Q3-T-002,爬升·边界点,387.99820232145794,387.99820232145794,直连,
Q3-T-002,爬升,387.99820232145794,408.45220336914065,直连,
Q3-T-002,爬升·边界点,408.45220336914065,408.45220336914065,直连,
Q3-T-002,巡航,408.45220336914065,542.4228357746762,直连,
Q3-T-002,巡航·边界点,542.4228357746762,542.4228357746762,直连,
Q3-T-002,巡航,542.4228357746762,595.2985493120008,直连,
