K,group_id,source_communication_row,transport_trip_id,source_relay_trip_id,local_relay_trip_id,start_s,end_s,mode
3,K3-G1,1,Q3-T-001,,,390.0,390.0,直连
3,K3-G1,2,Q3-T-001,,,390.0,390.34184672371094,直连
3,K3-G1,3,Q3-T-001,,,390.34184672371094,390.34184672371094,直连
3,K3-G1,4,Q3-T-001,,,390.34184672371094,399.60265609712184,直连
3,K3-G1,5,Q3-T-001,,,399.60265609712184,399.60265609712184,直连
3,K3-G1,6,Q3-T-001,,,399.60265609712184,400.5743917449054,直连
3,K3-G1,7,Q3-T-001,,,400.5743917449054,400.5743917449054,直连
3,K3-G1,8,Q3-T-001,,,400.5743917449054,408.6860501935803,直连
3,K3-G1,9,Q3-T-001,,,408.6860501935803,408.6860501935803,直连
3,K3-G1,10,Q3-T-001,,,408.6860501935803,417.99820232145794,直连
3,K3-G1,11,Q3-T-001,,,417.99820232145794,417.99820232145794,直连
3,K3-G1,12,Q3-T-001,,,417.99820232145794,544.7491292317709,直连
3,K3-G1,13,Q3-T-001,,,544.7491292317709,544.7491292317709,直连
3,K3-G1,14,Q3-T-001,,,544.7491292317709,655.942685290213,直连
3,K3-G1,15,Q3-T-001,,,655.942685290213,655.942685290213,直连
3,K3-G1,16,Q3-T-001,,,655.942685290213,712.5211720162599,直连
3,K3-G1,17,Q3-T-001,,,712.5211720162599,712.5211720162599,直连
3,K3-G1,18,Q3-T-001,,,712.5211720162599,744.679230704014,直连
3,K3-G1,19,Q3-T-001,,,744.679230704014,744.679230704014,直连
3,K3-G1,20,Q3-T-001,,,744.679230704014,775.3192355258584,直连
3,K3-G1,21,Q3-T-001,,,775.3192355258584,775.3192355258584,直连
3,K3-G1,22,Q3-T-001,,,775.3192355258584,807.4812216815566,直连
3,K3-G1,23,Q3-T-001,,,807.4812216815566,807.4812216815566,直连
3,K3-G1,24,Q3-T-001,,,807.4812216815566,850.0622859390267,直连
3,K3-G1,25,Q3-T-001,,,850.0622859390267,850.0622859390267,直连
3,K3-G1,26,Q3-T-001,,,850.0622859390267,864.805648987166,直连
3,K3-G1,27,Q3-T-001,,,864.805648987166,864.805648987166,直连
3,K3-G1,28,Q3-T-001,,,864.805648987166,872.3593191455775,直连
3,K3-G1,29,Q3-T-001,,,872.3593191455775,872.3593191455775,直连
3,K3-G1,30,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,872.3593191455775,996.3826174162434,中继
3,K3-G1,31,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,996.3826174162434,996.3826174162434,中继
3,K3-G1,32,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,996.3826174162434,1009.6881913327535,中继
3,K3-G1,33,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1009.6881913327535,1009.6881913327535,中继
3,K3-G1,34,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1009.6881913327535,1012.854052548932,中继
3,K3-G1,35,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1012.854052548932,1012.854052548932,中继
3,K3-G1,36,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1012.854052548932,1016.7672078373787,中继
3,K3-G1,37,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1016.7672078373787,1016.7672078373787,中继
3,K3-G1,38,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1016.7672078373787,1092.7615724943685,中继
3,K3-G1,39,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1092.7615724943685,1092.7615724943685,中继
3,K3-G1,40,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1092.7615724943685,1225.977956606348,中继
3,K3-G1,41,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1225.977956606348,1225.977956606348,中继
3,K3-G1,42,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1225.977956606348,1302.7615724943685,中继
3,K3-G1,43,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1302.7615724943685,1302.7615724943685,中继
3,K3-G1,44,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1302.7615724943685,1363.5150108081705,中继
3,K3-G1,45,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1363.5150108081705,1363.5150108081705,中继
3,K3-G1,46,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1363.5150108081705,1377.1079729478386,中继
3,K3-G1,47,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1377.1079729478386,1377.1079729478386,中继
3,K3-G1,48,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1377.1079729478386,1407.4045725592143,中继
3,K3-G1,49,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1407.4045725592143,1407.4045725592143,中继
3,K3-G1,50,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1407.4045725592143,1421.397203231491,中继
3,K3-G1,51,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1421.397203231491,1421.397203231491,中继
3,K3-G1,52,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1421.397203231491,1517.1136015026907,中继
3,K3-G1,53,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1517.1136015026907,1517.1136015026907,中继
3,K3-G1,54,Q3-T-001,Q3-R-002,Q3-R-002@K3-G1,1517.1136015026907,1561.364157098675,中继
