check,pass,details
partition_admissible,True,
K3-G1/fixed_task_membership,True,
K3-G1/transport_A/count,True,
K3-G1/transport_B/count,True,
K3-G1/transport_C/count,True,
K3-G1/battery_A/count,True,
K3-G1/battery_B/count,True,
K3-G1/battery_C/count,True,
K3-G1/relay_drone/count,True,
K3-G1/relay_energy/count,True,
K3-G2/fixed_task_membership,True,
K3-G2/transport_A/count,True,
K3-G2/transport_B/count,True,
K3-G2/transport_C/count,True,
K3-G2/battery_A/count,True,
K3-G2/battery_B/count,True,
K3-G2/battery_C/count,True,
K3-G2/relay_drone/count,True,
K3-G2/relay_energy/count,True,
K3-G3/fixed_task_membership,True,
K3-G3/transport_A/count,True,
K3-G3/transport_B/count,True,
K3-G3/transport_C/count,True,
K3-G3/battery_A/count,True,
K3-G3/battery_B/count,True,
K3-G3/battery_C/count,True,
K3-G3/relay_drone/count,True,
K3-G3/relay_energy/count,True,
all_26_source_transport_tasks_once,True,
Q3-T-001/frozen_架次编号,True,
Q3-T-001/frozen_机型编号,True,
Q3-T-001/frozen_开始时刻（s）,True,
Q3-T-001/frozen_访问服务区顺序,True,
Q3-T-001/frozen_返回O01时刻（s）,True,
Q3-T-001/frozen_架次能耗（kWh）,True,
Q3-T-002/frozen_架次编号,True,
Q3-T-002/frozen_机型编号,True,
Q3-T-002/frozen_开始时刻（s）,True,
Q3-T-002/frozen_访问服务区顺序,True,
Q3-T-002/frozen_返回O01时刻（s）,True,
Q3-T-002/frozen_架次能耗（kWh）,True,
Q3-T-003/frozen_架次编号,True,
Q3-T-003/frozen_机型编号,True,
Q3-T-003/frozen_开始时刻（s）,True,
Q3-T-003/frozen_访问服务区顺序,True,
Q3-T-003/frozen_返回O01时刻（s）,True,
Q3-T-003/frozen_架次能耗（kWh）,True,
Q3-T-004/frozen_架次编号,True,
Q3-T-004/frozen_机型编号,True,
Q3-T-004/frozen_开始时刻（s）,True,
Q3-T-004/frozen_访问服务区顺序,True,
Q3-T-004/frozen_返回O01时刻（s）,True,
Q3-T-004/frozen_架次能耗（kWh）,True,
Q3-T-005/frozen_架次编号,True,
Q3-T-005/frozen_机型编号,True,
Q3-T-005/frozen_开始时刻（s）,True,
Q3-T-005/frozen_访问服务区顺序,True,
Q3-T-005/frozen_返回O01时刻（s）,True,
Q3-T-005/frozen_架次能耗（kWh）,True,
Q3-T-006/frozen_架次编号,True,
Q3-T-006/frozen_机型编号,True,
Q3-T-006/frozen_开始时刻（s）,True,
Q3-T-006/frozen_访问服务区顺序,True,
Q3-T-006/frozen_返回O01时刻（s）,True,
Q3-T-006/frozen_架次能耗（kWh）,True,
Q3-T-007/frozen_架次编号,True,
Q3-T-007/frozen_机型编号,True,
Q3-T-007/frozen_开始时刻（s）,True,
Q3-T-007/frozen_访问服务区顺序,True,
Q3-T-007/frozen_返回O01时刻（s）,True,
Q3-T-007/frozen_架次能耗（kWh）,True,
Q3-T-008/frozen_架次编号,True,
Q3-T-008/frozen_机型编号,True,
Q3-T-008/frozen_开始时刻（s）,True,
Q3-T-008/frozen_访问服务区顺序,True,
Q3-T-008/frozen_返回O01时刻（s）,True,
Q3-T-008/frozen_架次能耗（kWh）,True,
Q3-T-009/frozen_架次编号,True,
Q3-T-009/frozen_机型编号,True,
Q3-T-009/frozen_开始时刻（s）,True,
Q3-T-009/frozen_访问服务区顺序,True,
Q3-T-009/frozen_返回O01时刻（s）,True,
Q3-T-009/frozen_架次能耗（kWh）,True,
Q3-T-010/frozen_架次编号,True,
Q3-T-010/frozen_机型编号,True,
Q3-T-010/frozen_开始时刻（s）,True,
Q3-T-010/frozen_访问服务区顺序,True,
Q3-T-010/frozen_返回O01时刻（s）,True,
Q3-T-010/frozen_架次能耗（kWh）,True,
Q3-T-011/frozen_架次编号,True,
Q3-T-011/frozen_机型编号,True,
Q3-T-011/frozen_开始时刻（s）,True,
Q3-T-011/frozen_访问服务区顺序,True,
Q3-T-011/frozen_返回O01时刻（s）,True,
Q3-T-011/frozen_架次能耗（kWh）,True,
Q3-T-012/frozen_架次编号,True,
Q3-T-012/frozen_机型编号,True,
Q3-T-012/frozen_开始时刻（s）,True,
Q3-T-012/frozen_访问服务区顺序,True,
Q3-T-012/frozen_返回O01时刻（s）,True,
Q3-T-012/frozen_架次能耗（kWh）,True,
Q3-T-013/frozen_架次编号,True,
Q3-T-013/frozen_机型编号,True,
Q3-T-013/frozen_开始时刻（s）,True,
Q3-T-013/frozen_访问服务区顺序,True,
Q3-T-013/frozen_返回O01时刻（s）,True,
Q3-T-013/frozen_架次能耗（kWh）,True,
Q3-T-014/frozen_架次编号,True,
Q3-T-014/frozen_机型编号,True,
Q3-T-014/frozen_开始时刻（s）,True,
Q3-T-014/frozen_访问服务区顺序,True,
Q3-T-014/frozen_返回O01时刻（s）,True,
Q3-T-014/frozen_架次能耗（kWh）,True,
Q3-T-015/frozen_架次编号,True,
Q3-T-015/frozen_机型编号,True,
Q3-T-015/frozen_开始时刻（s）,True,
Q3-T-015/frozen_访问服务区顺序,True,
Q3-T-015/frozen_返回O01时刻（s）,True,
Q3-T-015/frozen_架次能耗（kWh）,True,
Q3-T-016/frozen_架次编号,True,
Q3-T-016/frozen_机型编号,True,
Q3-T-016/frozen_开始时刻（s）,True,
Q3-T-016/frozen_访问服务区顺序,True,
Q3-T-016/frozen_返回O01时刻（s）,True,
Q3-T-016/frozen_架次能耗（kWh）,True,
Q3-T-017/frozen_架次编号,True,
Q3-T-017/frozen_机型编号,True,
Q3-T-017/frozen_开始时刻（s）,True,
Q3-T-017/frozen_访问服务区顺序,True,
Q3-T-017/frozen_返回O01时刻（s）,True,
Q3-T-017/frozen_架次能耗（kWh）,True,
Q3-T-018/frozen_架次编号,True,
Q3-T-018/frozen_机型编号,True,
Q3-T-018/frozen_开始时刻（s）,True,
Q3-T-018/frozen_访问服务区顺序,True,
Q3-T-018/frozen_返回O01时刻（s）,True,
Q3-T-018/frozen_架次能耗（kWh）,True,
Q3-T-019/frozen_架次编号,True,
Q3-T-019/frozen_机型编号,True,
Q3-T-019/frozen_开始时刻（s）,True,
Q3-T-019/frozen_访问服务区顺序,True,
Q3-T-019/frozen_返回O01时刻（s）,True,
Q3-T-019/frozen_架次能耗（kWh）,True,
Q3-T-020/frozen_架次编号,True,
Q3-T-020/frozen_机型编号,True,
Q3-T-020/frozen_开始时刻（s）,True,
Q3-T-020/frozen_访问服务区顺序,True,
Q3-T-020/frozen_返回O01时刻（s）,True,
Q3-T-020/frozen_架次能耗（kWh）,True,
Q3-T-021/frozen_架次编号,True,
Q3-T-021/frozen_机型编号,True,
Q3-T-021/frozen_开始时刻（s）,True,
Q3-T-021/frozen_访问服务区顺序,True,
Q3-T-021/frozen_返回O01时刻（s）,True,
Q3-T-021/frozen_架次能耗（kWh）,True,
Q3-T-022/frozen_架次编号,True,
Q3-T-022/frozen_机型编号,True,
Q3-T-022/frozen_开始时刻（s）,True,
Q3-T-022/frozen_访问服务区顺序,True,
