货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q3-T-015,S001,3313.8524647350264
S001-FOD-02,Q3-T-002,S001,908.5730843719844
S001-FOD-03,Q3-T-009,S001,2159.472586449286
S001-HYG-01,Q3-T-011,S001,2659.823406626256
S001-HYG-02,Q3-T-008,S001,1008.2695386645796
S001-MED-01,Q3-T-003,S001,908.5730843719844
S001-MED-02,Q3-T-004,S001,878.5730843719844
S001-WAT-01,Q3-T-004,S001,908.5730843719844
S001-WAT-02,Q3-T-015,S001,3283.8524647350264
S001-WAT-03,Q3-T-011,S001,2623.823406626256
S001-WAT-04,Q3-T-008,S001,972.2695386645796
S001-WAT-05,Q3-T-003,S001,938.5730843719844
S001-WAT-06,Q3-T-002,S001,878.5730843719844
S001-WAT-07,Q3-T-009,S001,2129.472586449286
S001-WAT-08,Q3-T-010,S001,2129.472586449286
S002-FOD-01,Q3-T-011,S002,3369.500267512536
S002-FOD-02,Q3-T-011,S002,3405.500267512536
S002-HYG-01,Q3-T-011,S002,3441.500267512536
S002-MED-01,Q3-T-011,S002,3261.500267512536
S002-WAT-01,Q3-T-013,S002,2766.562549029515
S002-WAT-02,Q3-T-011,S002,3297.500267512536
S002-WAT-03,Q3-T-013,S002,2796.562549029515
S002-WAT-04,Q3-T-011,S002,3333.500267512536
S003-FOD-01,Q3-T-022,S003,5635.502134722453
S003-FOD-02,Q3-T-022,S003,5671.502134722453
S003-HYG-01,Q3-T-022,S003,5707.502134722453
S003-MED-01,Q3-T-020,S003,5169.950734703743
S003-WAT-01,Q3-T-020,S003,5199.950734703743
S003-WAT-02,Q3-T-022,S003,5527.502134722453
S003-WAT-03,Q3-T-022,S003,5563.502134722453
S003-WAT-04,Q3-T-022,S003,5599.502134722453
S004-FOD-01,Q3-T-016,S004,4024.38677710562
S004-HYG-01,Q3-T-016,S004,4060.38677710562
S004-MED-01,Q3-T-016,S004,3880.38677710562
S004-WAT-01,Q3-T-016,S004,3916.38677710562
S004-WAT-02,Q3-T-016,S004,3952.38677710562
S004-WAT-03,Q3-T-016,S004,3988.38677710562
S005-FOD-01,Q3-T-018,S005,4463.811479896326
S005-HYG-01,Q3-T-024,S005,6019.175385610112
S005-MED-01,Q3-T-018,S005,4433.811479896326
S005-WAT-01,Q3-T-024,S005,5911.175385610112
S005-WAT-02,Q3-T-024,S005,5947.175385610112
S005-WAT-03,Q3-T-024,S005,5983.175385610112
S006-FOD-01,Q3-T-007,S006,1173.4219339808383
S006-HYG-01,Q3-T-007,S006,1209.4219339808383
S006-MED-01,Q3-T-007,S006,1029.4219339808383
S006-WAT-01,Q3-T-007,S006,1065.4219339808383
S006-WAT-02,Q3-T-007,S006,1101.4219339808383
S006-WAT-03,Q3-T-007,S006,1137.4219339808383
S007-FOD-01,Q3-T-006,S007,1125.7776994901417
S007-HYG-01,Q3-T-005,S007,1065.7776994901417
S007-MED-01,Q3-T-006,S007,1065.7776994901417
S007-WAT-01,Q3-T-005,S007,1035.7776994901417
S007-WAT-02,Q3-T-006,S007,1095.7776994901417
S008-FOD-01,Q3-T-019,S008,5055.640294497845
S008-HYG-01,Q3-T-017,S008,4931.76596230778
S008-MED-01,Q3-T-017,S008,4901.76596230778
S008-WAT-01,Q3-T-019,S008,5025.640294497845
S008-WAT-02,Q3-T-018,S008,4942.106767266771
S009-FOD-01,Q3-T-021,S009,4989.64819744615
S009-MED-01,Q3-T-021,S009,4929.64819744615
S009-WAT-01,Q3-T-021,S009,4959.64819744615
S010-FOD-01,Q3-T-010,S010,2732.782201150687
S010-MED-01,Q3-T-003,S010,1541.882699073385
S010-WAT-01,Q3-T-012,S010,2571.501848562538
S011-FOD-01,Q3-T-025,S011,6303.675966774776
S011-MED-01,Q3-T-017,S011,4154.086186436662
S011-WAT-01,Q3-T-025,S011,6273.675966774776
S012-FOD-01,Q3-T-008,S012,1787.9880896797995
S012-MED-01,Q3-T-008,S012,1751.9880896797995
S012-WAT-01,Q3-T-008,S012,1715.9880896797995
S013-FOD-01,Q3-T-014,S013,3192.8058121147883
S013-MED-01,Q3-T-001,S013,1876.7558448581558
S013-WAT-01,Q3-T-014,S013,3162.8058121147883
S014-FOD-01,Q3-T-001,S014,1302.7615724943685
S014-MED-01,Q3-T-001,S014,1272.7615724943685
S014-WAT-01,Q3-T-012,S014,3004.9945453983546
S015-FOD-01,Q3-T-023,S015,5721.702396938054
S015-MED-01,Q3-T-020,S015,5653.14047725848
S015-WAT-01,Q3-T-023,S015,5691.702396938054
