K,group_id,resource_type,time_s,active
2,K2-G1,transport_A,0.0,4
2,K2-G1,transport_A,1250.899502077302,4
2,K2-G1,transport_A,2091.77739618304,3
2,K2-G1,transport_A,2109.215609943235,4
2,K2-G1,transport_A,2405.279380363042,4
2,K2-G1,transport_A,2501.799004154604,3
2,K2-G1,transport_A,3260.888046441056,4
2,K2-G1,transport_A,3282.6768982603417,3
2,K2-G1,transport_A,3656.178882440344,2
2,K2-G1,transport_A,3689.847358127293,3
2,K2-G1,transport_A,3721.3293476196745,2
2,K2-G1,transport_A,3760.662761989458,3
2,K2-G1,transport_A,4463.967695364228,4
2,K2-G1,transport_A,5737.105565344999,3
2,K2-G1,transport_A,5860.979897535064,2
2,K2-G1,transport_A,6363.995178832307,1
2,K2-G1,transport_A,6432.557098511881,0
2,K2-G1,transport_B,1576.2753989802832,1
2,K2-G1,transport_B,1636.2753989802832,2
2,K2-G1,transport_B,3392.9696990787475,2
2,K2-G1,transport_B,3632.3160869224953,1
2,K2-G1,transport_B,3898.8373309017697,2
2,K2-G1,transport_B,5457.279063990531,2
2,K2-G1,transport_B,5612.79581843027,1
2,K2-G1,transport_B,6585.699536225688,0
2,K2-G1,transport_C,0.0,1
2,K2-G1,transport_C,1561.5538679616764,2
2,K2-G1,transport_C,2476.88843086402,2
2,K2-G1,transport_C,4061.9964599201658,2
2,K2-G1,transport_C,4777.945123347221,2
2,K2-G1,transport_C,6498.087809524741,1
2,K2-G1,transport_C,6523.135647873001,0
2,K2-G1,battery_A,0.0,4
2,K2-G1,battery_A,1250.899502077302,6
2,K2-G1,battery_A,2109.215609943235,6
2,K2-G1,battery_A,2121.355027214739,5
2,K2-G1,battery_A,2405.279380363042,6
2,K2-G1,battery_A,3260.888046441056,6
2,K2-G1,battery_A,3372.254529292041,5
2,K2-G1,battery_A,3689.847358127293,5
2,K2-G1,battery_A,3760.662761989458,6
2,K2-G1,battery_A,4463.967695364228,6
2,K2-G1,battery_A,4526.634407577781,5
2,K2-G1,battery_A,4806.458089262729,4
2,K2-G1,battery_A,7143.346276432298,3
2,K2-G1,battery_A,7316.749704725784,2
2,K2-G1,battery_A,7671.446613088383,1
2,K2-G1,battery_A,7816.525071444816,0
2,K2-G1,battery_B,1576.2753989802832,1
2,K2-G1,battery_B,1636.2753989802832,2
2,K2-G1,battery_B,3392.9696990787475,3
2,K2-G1,battery_B,3898.8373309017697,4
2,K2-G1,battery_B,5303.369188338792,3
2,K2-G1,battery_B,5339.661191434921,2
2,K2-G1,battery_B,5457.279063990531,3
2,K2-G1,battery_B,7032.313682241871,2
2,K2-G1,battery_B,7545.0639646746085,1
2,K2-G1,battery_B,7696.844816142158,0
2,K2-G1,battery_C,0.0,1
2,K2-G1,battery_C,1561.5538679616764,2
2,K2-G1,battery_C,2476.88843086402,3
2,K2-G1,battery_C,4061.9964599201658,4
2,K2-G1,battery_C,4738.6806285803905,3
2,K2-G1,battery_C,4777.945123347221,4
2,K2-G1,battery_C,6548.087008835842,3
2,K2-G1,battery_C,7277.69754513459,2
2,K2-G1,battery_C,8416.882598950007,1
2,K2-G1,battery_C,8996.90477971226,0
2,K2-G1,relay_drone,225.70240655854286,1
2,K2-G1,relay_drone,1795.193956745763,2
2,K2-G1,relay_drone,3957.973575623626,1
2,K2-G1,relay_drone,4019.8737214694556,2
2,K2-G1,relay_drone,6769.118377653101,1
2,K2-G1,relay_drone,6936.184296262294,0
2,K2-G1,relay_energy,225.70240655854286,1
2,K2-G1,relay_energy,1795.193956745763,2
2,K2-G1,relay_energy,4019.8737214694556,3
2,K2-G1,relay_energy,4548.546090916596,2
2,K2-G1,relay_energy,7236.652809344,1
2,K2-G1,relay_energy,7710.294968722634,0
2,K2-G2,transport_B,0.0,2
2,K2-G2,transport_B,1576.2753989802832,1
2,K2-G2,transport_B,1636.2753989802832,0
2,K2-G2,transport_C,0.0,1
2,K2-G2,transport_C,1561.5538679616764,0
2,K2-G2,battery_B,0.0,2
2,K2-G2,battery_B,2960.75605363253,1
2,K2-G2,battery_B,3074.285293757934,0
2,K2-G2,battery_C,0.0,1
2,K2-G2,battery_C,3098.5089147087447,0
2,K2-G2,relay_drone,302.05691954528083,1
2,K2-G2,relay_drone,1777.3010159543715,0
2,K2-G2,relay_energy,302.05691954528083,1
2,K2-G2,relay_energy,2046.1481963975716,0
