架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q3-T-001,U04,A,A-BAT-04,0.0,S014;S013,2405.279380363042,2.715812230722408
Q3-T-002,U01,A,A-BAT-02,0.0,S001,1250.899502077302,1.2823460485526663
Q3-T-003,U03,A,A-BAT-03,0.0,S001;S010,2091.77739618304,2.3161522508931323
Q3-T-004,U02,A,A-BAT-01,0.0,S001,1250.899502077302,1.2403249887666914
Q3-T-005,Q4-ADD-transport_B-01,B,B-BAT-05,0.0,S007,1576.2753989802832,1.6564938184282614
Q3-T-006,Q4-ADD-transport_B-02,B,B-BAT-06,0.0,S007,1636.2753989802832,1.7800228341022712
Q3-T-007,Q4-ADD-transport_C-01,C,C-BAT-05,0.0,S006,1561.5538679616764,2.597987864912252
Q3-T-008,U07,C,C-BAT-01,0.0,S001;S012,2476.88843086402,5.274309653106598
Q3-T-009,U01,A,A-BAT-05,1250.899502077302,S001,2501.799004154604,1.2823460485526663
Q3-T-010,U02,A,A-BAT-06,1250.899502077302,S001;S010,3282.6768982603417,2.358314297667299
Q3-T-011,U08,C,C-BAT-02,1561.5538679616764,S001;S002,4061.9964599201658,6.102488180611731
Q3-T-012,U05,B,B-BAT-01,1576.2753989802832,S010;S014,3632.3160869224953,2.401565625797906
Q3-T-013,U06,B,B-BAT-02,1636.2753989802832,S002,3392.9696990787475,2.8701526675231794
Q3-T-014,U03,A,A-BAT-01,2109.215609943235,S013,3721.3293476196745,2.025445644149036
Q3-T-015,U04,A,A-BAT-02,2405.279380363042,S001,3656.178882440344,1.2823460485526663
Q3-T-016,U07,C,C-BAT-03,2476.88843086402,S004,4777.945123347221,6.152932018907208
Q3-T-017,U01,A,A-BAT-03,3260.888046441056,S011;S008,5737.105565344999,3.1369870768406463
Q3-T-018,U06,B,B-BAT-03,3392.9696990787475,S005;S008,5612.79581843027,2.920618799025397
Q3-T-019,U02,A,A-BAT-04,3689.847358127293,S008,5860.979897535064,3.308433947967875
Q3-T-020,U03,A,A-BAT-05,3760.662761989458,S003;S015,6363.995178832307,3.2972188590433
Q3-T-021,U05,B,B-BAT-04,3898.8373309017697,S009,5457.279063990531,2.09623373442617
Q3-T-022,U08,C,C-BAT-04,4061.9964599201658,S003,6498.087809524741,6.149478043769306
Q3-T-023,U04,A,A-BAT-06,4463.967695364228,S015,6432.557098511881,2.557694473534046
Q3-T-024,U07,C,C-BAT-01,4777.945123347221,S005,6523.135647873001,3.915373357822789
Q3-T-025,U05,B,B-BAT-01,5457.279063990531,S011,6585.699536225688,1.0257198767303164
