trip_id,model_id,drone_id,battery_id,weight_kg,volume_m3,box_count,recomputed_energy_kwh,energy_error_kwh,recomputed_return_s,return_time_error_s,return_soc_fraction,start_s,recomputed_charge_complete_s,recomputed_charge_s,flight_time_s
Q3-T-001,A,U04,A-BAT-04,14.0,0.052000000000000005,3,2.7158122307224084,4.440892098500626e-16,2405.279380363042,0.0,0.3964861709505759,0.0,3689.8473581272933,1284.5679777642513,1625.279380363042
Q3-T-002,A,U01,A-BAT-02,22.0,0.055,2,1.2823460485526663,0.0,1250.899502077302,0.0,0.7150342114327408,0.0,2121.355027214739,870.4555251374369,680.899502077302
Q3-T-003,A,U03,A-BAT-03,20.0,0.051000000000000004,3,2.3161522508931323,0.0,2091.77739618304,0.0,0.4852994998015262,0.0,3260.888046441056,1169.1106502580158,1311.7773961830399
Q3-T-004,A,U02,A-BAT-01,17.0,0.039,2,1.2403249887666914,0.0,1250.899502077302,0.0,0.724372224718513,0.0,2109.215609943235,858.3161078659331,680.899502077302
Q3-T-005,B,Q4-ADD-transport_B-01,B-BAT-05,20.0,0.062,2,1.6564938184282614,0.0,1576.2753989802832,0.0,0.5858765453929347,0.0,2960.75605363253,1384.4806546522466,1006.2753989802832
Q3-T-006,B,Q4-ADD-transport_B-02,B-BAT-06,25.0,0.067,3,1.7800228341022715,2.220446049250313e-16,1636.2753989802832,0.0,0.5549942914744321,0.0,3074.285293757934,1438.009894777651,1006.2753989802832
Q3-T-007,C,Q4-ADD-transport_C-01,C-BAT-05,59.0,0.156,6,2.597987864912252,0.0,1561.5538679616764,0.0,0.6752515168859685,0.0,3098.5089147087447,1536.955046747068,685.5538679616764
Q3-T-008,C,U07,C-BAT-01,45.0,0.129,5,5.274309653106599,8.881784197001252e-16,2476.88843086402,0.0,0.34071129336167516,0.0,4738.6806285803905,2261.7921977163705,1486.88843086402
Q3-T-009,A,U01,A-BAT-05,22.0,0.055,2,1.2823460485526663,0.0,2501.7990041546045,4.547473508864641e-13,0.7150342114327408,1250.899502077302,3372.254529292041,870.4555251374369,680.899502077302
Q3-T-010,A,U02,A-BAT-06,22.0,0.055,2,2.358314297667299,0.0,3282.676898260342,4.547473508864641e-13,0.47593015607393363,1250.899502077302,4463.967695364228,1181.2907971038865,1311.7773961830399
Q3-T-011,C,U08,C-BAT-02,73.0,0.219,8,6.102488180611731,0.0,4061.996459920166,4.547473508864641e-13,0.23718897742353362,1561.5538679616764,6548.087008835842,2486.090548915677,1312.4425919584896
Q3-T-012,B,U05,B-BAT-01,28.0,0.054,2,2.4015656257979066,4.440892098500626e-16,3632.3160869224957,4.547473508864641e-13,0.39960859355052336,1576.2753989802832,5339.661191434921,1707.3451045124261,1336.0406879422121
Q3-T-013,B,U06,B-BAT-02,28.0,0.054,2,2.8701526675231794,0.0,3392.9696990787475,0.0,0.28246183311920514,1636.2753989802832,5303.369188338792,1910.3994892600442,1186.6943000984643
Q3-T-014,A,U03,A-BAT-01,22.0,0.055,2,2.0254456441490363,4.440892098500626e-16,3721.329347619674,4.547473508864641e-13,0.5499009679668808,2109.215609943235,4806.458089262729,1085.128741643055,1042.1137376764395
Q3-T-015,A,U04,A-BAT-02,22.0,0.055,2,1.2823460485526663,0.0,3656.178882440344,0.0,0.7150342114327408,2405.279380363042,4526.634407577781,870.4555251374369,680.899502077302
Q3-T-016,C,U07,C-BAT-03,59.0,0.156,6,6.152932018907208,0.0,4777.94512334722,9.094947017729282e-13,0.230883497636599,2476.88843086402,7277.69754513459,2499.752421787369,1425.0566924832003
Q3-T-017,A,U01,A-BAT-03,12.0,0.059000000000000004,3,3.1369870768406463,0.0,5737.105565344999,0.0,0.30289176070207857,3260.888046441056,7143.346276432298,1406.2407110872978,1696.2175189039438
Q3-T-018,B,U06,B-BAT-03,25.0,0.067,3,2.9206187990253967,4.440892098500626e-16,5612.795818430271,9.094947017729282e-13,0.26984530024365083,3392.9696990787475,7545.0639646746085,1932.2681462443386,1439.8261193515227
Q3-T-019,A,U02,A-BAT-04,22.0,0.055,2,3.308433947967875,0.0,5860.979897535064,0.0,0.26479245600713897,3689.847358127293,7316.749704725784,1455.7698071907193,1601.1325394077708
Q3-T-020,A,U03,A-BAT-05,20.0,0.051000000000000004,3,3.2972188590433005,4.440892098500626e-16,6363.995178832307,0.0,0.2672846979903777,3760.662761989458,7816.525071444816,1452.529892612509,1823.332416842849
Q3-T-021,B,U05,B-BAT-04,25.0,0.067,3,2.09623373442617,0.0,5457.279063990531,0.0,0.4759415663934575,3898.8373309017697,7032.313682241871,1575.0346182513401,928.4417330887609
Q3-T-022,C,U08,C-BAT-04,64.0,0.17200000000000001,6,6.149478043769306,0.0,6498.087809524741,0.0,0.23131524452883678,4061.9964599201658,8996.90477971226,2498.81697018752,1560.091349604575
Q3-T-023,A,U04,A-BAT-06,22.0,0.055,2,2.557694473534046,0.0,6432.557098511881,0.0,0.43162345032576754,4463.967695364228,7671.446613088383,1238.889514576502,1398.5894031476528
Q3-T-024,C,U07,C-BAT-01,48.0,0.116,4,3.915373357822789,0.0,6523.135647873002,9.094947017729282e-13,0.5105783302721514,4777.945123347221,8416.882598950007,1893.7469510770052,1001.190524525781
Q3-T-025,B,U05,B-BAT-01,22.0,0.055,2,1.0257198767303164,0.0,6585.699536225688,0.0,0.7435700308174209,5457.279063990531,7696.844816142158,1111.1452799164706,558.420472235157
