K,group_id,resource_type,minimum_count,witness_time_s,simultaneous_tasks
3,K3-G1,transport_A,4,0.0,Q3-T-002;Q3-T-004;Q3-T-003;Q3-T-001
3,K3-G1,transport_B,2,1636.2753989802832,Q3-T-012;Q3-T-013
3,K3-G1,transport_C,2,1561.5538679616764,Q3-T-008;Q3-T-011
3,K3-G1,battery_A,6,1250.899502077302,Q3-T-004;Q3-T-002;Q3-T-003;Q3-T-001;Q3-T-009;Q3-T-010
3,K3-G1,battery_B,4,3898.8373309017697,Q3-T-012;Q3-T-013;Q3-T-018;Q3-T-021
3,K3-G1,battery_C,4,4061.9964599201658,Q3-T-008;Q3-T-011;Q3-T-016;Q3-T-022
3,K3-G1,relay_drone,2,1795.193956745763,Q3-R-002;Q3-R-003
3,K3-G1,relay_energy,3,4019.8737214694556,Q3-R-002;Q3-R-003;Q3-R-004
3,K3-G2,transport_A,0,,
3,K3-G2,transport_B,0,,
3,K3-G2,transport_C,1,0.0,Q3-T-007
3,K3-G2,battery_A,0,,
3,K3-G2,battery_B,0,,
3,K3-G2,battery_C,1,0.0,Q3-T-007
3,K3-G2,relay_drone,0,,
3,K3-G2,relay_energy,0,,
3,K3-G3,transport_A,0,,
3,K3-G3,transport_B,2,0.0,Q3-T-005;Q3-T-006
3,K3-G3,transport_C,0,,
3,K3-G3,battery_A,0,,
3,K3-G3,battery_B,2,0.0,Q3-T-005;Q3-T-006
3,K3-G3,battery_C,0,,
3,K3-G3,relay_drone,1,302.05691954528083,Q3-R-001
3,K3-G3,relay_energy,1,302.05691954528083,Q3-R-001
