check,pass,details
source_hash_trips.csv,True,
source_hash_relay_sorties.csv,True,
source_hash_box_deliveries.csv,True,
source_hash_Q3_运输架次.csv,True,
source_hash_Q3_逐箱交付.csv,True,
source_hash_Q3_中继架次.csv,True,
source_hash_Q3_通信保障.csv,True,
source_hash_summary.json,True,
source_hash_independent_validation.json,True,
component_reconstruction_DFS,True,
no_copy_components_independent,True,
K2/strict_no_copy_count,True,
K3/strict_no_copy_count,True,
partition0/admissible,True,
partition0/no_label_duplicate,True,
partition0/shortage_units,True,
partition0/resource_units,True,
partition0/transport_workload_cv,True,
partition0/joint_workload_cv,True,
partition0/relay_mission_copies,True,
partition0/total_energy_kwh,True,
partition0/transport_A/independent_matching_count,True,
partition0/transport_A/gap,True,
partition0/transport_B/independent_matching_count,True,
partition0/transport_B/gap,True,
partition0/transport_C/independent_matching_count,True,
partition0/transport_C/gap,True,
partition0/battery_A/independent_matching_count,True,
partition0/battery_A/gap,True,
partition0/battery_B/independent_matching_count,True,
partition0/battery_B/gap,True,
partition0/battery_C/independent_matching_count,True,
partition0/battery_C/gap,True,
partition0/relay_drone/independent_matching_count,True,
partition0/relay_drone/gap,True,
partition0/relay_energy/independent_matching_count,True,
partition0/relay_energy/gap,True,
partition1/admissible,True,
partition1/no_label_duplicate,True,
partition1/shortage_units,True,
partition1/resource_units,True,
partition1/transport_workload_cv,True,
partition1/joint_workload_cv,True,
partition1/relay_mission_copies,True,
partition1/total_energy_kwh,True,
partition1/transport_A/independent_matching_count,True,
partition1/transport_A/gap,True,
partition1/transport_B/independent_matching_count,True,
partition1/transport_B/gap,True,
partition1/transport_C/independent_matching_count,True,
partition1/transport_C/gap,True,
partition1/battery_A/independent_matching_count,True,
partition1/battery_A/gap,True,
partition1/battery_B/independent_matching_count,True,
partition1/battery_B/gap,True,
partition1/battery_C/independent_matching_count,True,
partition1/battery_C/gap,True,
partition1/relay_drone/independent_matching_count,True,
partition1/relay_drone/gap,True,
partition1/relay_energy/independent_matching_count,True,
partition1/relay_energy/gap,True,
partition2/admissible,True,
partition2/no_label_duplicate,True,
partition2/shortage_units,True,
partition2/resource_units,True,
partition2/transport_workload_cv,True,
partition2/joint_workload_cv,True,
partition2/relay_mission_copies,True,
partition2/total_energy_kwh,True,
partition2/transport_A/independent_matching_count,True,
partition2/transport_A/gap,True,
partition2/transport_B/independent_matching_count,True,
partition2/transport_B/gap,True,
partition2/transport_C/independent_matching_count,True,
partition2/transport_C/gap,True,
partition2/battery_A/independent_matching_count,True,
partition2/battery_A/gap,True,
partition2/battery_B/independent_matching_count,True,
partition2/battery_B/gap,True,
partition2/battery_C/independent_matching_count,True,
partition2/battery_C/gap,True,
partition2/relay_drone/independent_matching_count,True,
partition2/relay_drone/gap,True,
partition2/relay_energy/independent_matching_count,True,
partition2/relay_energy/gap,True,
partition3/admissible,True,
partition3/no_label_duplicate,True,
partition3/shortage_units,True,
partition3/resource_units,True,
partition3/transport_workload_cv,True,
partition3/joint_workload_cv,True,
partition3/relay_mission_copies,True,
partition3/total_energy_kwh,True,
partition3/transport_A/independent_matching_count,True,
partition3/transport_A/gap,True,
partition3/transport_B/independent_matching_count,True,
partition3/transport_B/gap,True,
partition3/transport_C/independent_matching_count,True,
partition3/transport_C/gap,True,
partition3/battery_A/independent_matching_count,True,
partition3/battery_A/gap,True,
partition3/battery_B/independent_matching_count,True,
partition3/battery_B/gap,True,
partition3/battery_C/independent_matching_count,True,
partition3/battery_C/gap,True,
partition3/relay_drone/independent_matching_count,True,
partition3/relay_drone/gap,True,
