K,resource_type,resource_name,inventory,required,shortage,unused_inventory,structural_extra_vs_Q3_minimum,extra_vs_Q3_used_IDs
2,transport_A,A型运输无人机,4,4,0,0,0,0
2,transport_B,B型运输无人机,2,2,0,0,0,0
2,transport_C,C型运输无人机,2,3,1,0,1,1
2,battery_A,A型电池组,6,6,0,0,0,0
2,battery_B,B型电池组,4,4,0,0,0,0
2,battery_C,C型电池组,4,5,1,0,1,1
2,relay_drone,中继无人机,2,2,0,0,0,0
2,relay_energy,中继能源组件,6,3,0,3,0,-1
3,transport_A,A型运输无人机,4,4,0,0,0,0
3,transport_B,B型运输无人机,2,4,2,0,2,2
3,transport_C,C型运输无人机,2,3,1,0,1,1
3,battery_A,A型电池组,6,6,0,0,0,0
3,battery_B,B型电池组,4,6,2,0,2,2
3,battery_C,C型电池组,4,5,1,0,1,1
3,relay_drone,中继无人机,2,3,1,0,1,1
3,relay_energy,中继能源组件,6,4,0,2,1,0
