relay_trip_id,from_service,to_service,reason
Q3-R-002,S001,S002,同一中继任务不可跨组共享或复制
Q3-R-002,S001,S010,同一中继任务不可跨组共享或复制
Q3-R-002,S001,S012,同一中继任务不可跨组共享或复制
Q3-R-002,S001,S013,同一中继任务不可跨组共享或复制
Q3-R-002,S001,S014,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S002,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S003,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S004,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S005,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S008,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S009,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S011,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S013,同一中继任务不可跨组共享或复制
Q3-R-003,S001,S015,同一中继任务不可跨组共享或复制
Q3-R-004,S003,S005,同一中继任务不可跨组共享或复制
Q3-R-004,S003,S008,同一中继任务不可跨组共享或复制
Q3-R-004,S003,S009,同一中继任务不可跨组共享或复制
Q3-R-004,S003,S011,同一中继任务不可跨组共享或复制
Q3-R-004,S003,S015,同一中继任务不可跨组共享或复制
