check,pass,details
communication parameter keys unique,True,
depots unique primary key,True,duplicate keys=0
services unique primary key,True,duplicate keys=0
transport_models unique primary key,True,duplicate keys=0
transport_drones unique primary key,True,duplicate keys=0
transport_batteries unique primary key,True,duplicate keys=0
relay_models unique primary key,True,duplicate keys=0
relay_drones unique primary key,True,duplicate keys=0
relay_energy unique primary key,True,duplicate keys=0
demand unique primary key,True,duplicate keys=0
boxes unique primary key,True,duplicate keys=0
one depot,True,
service count,True,
box count,True,
model count,True,
transport drone count,True,
id codes match defined material classes,True,"{'医疗物资': {'MED'}, '饮用水': {'WAT'}, '应急食品': {'FOD'}, '生活卫生用品': {'HYG'}}"
S001-MED-01 known service/material,True,
S001-MED-01 id prefix,True,
S001-MED-01 positive dimensions,True,
S001-MED-01 first batch boolean,True,
S001-MED-01 deadline semantics,True,
S001-MED-01 times,True,
S001-MED-02 known service/material,True,
S001-MED-02 id prefix,True,
S001-MED-02 positive dimensions,True,
S001-MED-02 first batch boolean,True,
S001-MED-02 deadline semantics,True,
S001-MED-02 times,True,
S001-WAT-01 known service/material,True,
S001-WAT-01 id prefix,True,
S001-WAT-01 positive dimensions,True,
S001-WAT-01 first batch boolean,True,
S001-WAT-01 deadline semantics,True,
S001-WAT-01 times,True,
S001-WAT-02 known service/material,True,
S001-WAT-02 id prefix,True,
S001-WAT-02 positive dimensions,True,
S001-WAT-02 first batch boolean,True,
S001-WAT-02 deadline semantics,True,
S001-WAT-02 times,True,
S001-WAT-03 known service/material,True,
S001-WAT-03 id prefix,True,
S001-WAT-03 positive dimensions,True,
S001-WAT-03 first batch boolean,True,
S001-WAT-03 deadline semantics,True,
S001-WAT-03 times,True,
S001-WAT-04 known service/material,True,
S001-WAT-04 id prefix,True,
S001-WAT-04 positive dimensions,True,
S001-WAT-04 first batch boolean,True,
S001-WAT-04 deadline semantics,True,
S001-WAT-04 times,True,
S001-WAT-05 known service/material,True,
S001-WAT-05 id prefix,True,
S001-WAT-05 positive dimensions,True,
S001-WAT-05 first batch boolean,True,
S001-WAT-05 deadline semantics,True,
S001-WAT-05 times,True,
S001-WAT-06 known service/material,True,
S001-WAT-06 id prefix,True,
S001-WAT-06 positive dimensions,True,
S001-WAT-06 first batch boolean,True,
S001-WAT-06 deadline semantics,True,
S001-WAT-06 times,True,
S001-WAT-07 known service/material,True,
S001-WAT-07 id prefix,True,
S001-WAT-07 positive dimensions,True,
S001-WAT-07 first batch boolean,True,
S001-WAT-07 deadline semantics,True,
S001-WAT-07 times,True,
S001-WAT-08 known service/material,True,
S001-WAT-08 id prefix,True,
S001-WAT-08 positive dimensions,True,
S001-WAT-08 first batch boolean,True,
S001-WAT-08 deadline semantics,True,
S001-WAT-08 times,True,
S001-FOD-01 known service/material,True,
S001-FOD-01 id prefix,True,
S001-FOD-01 positive dimensions,True,
S001-FOD-01 first batch boolean,True,
S001-FOD-01 deadline semantics,True,
S001-FOD-01 times,True,
S001-FOD-02 known service/material,True,
S001-FOD-02 id prefix,True,
S001-FOD-02 positive dimensions,True,
S001-FOD-02 first batch boolean,True,
S001-FOD-02 deadline semantics,True,
S001-FOD-02 times,True,
S001-FOD-03 known service/material,True,
S001-FOD-03 id prefix,True,
S001-FOD-03 positive dimensions,True,
S001-FOD-03 first batch boolean,True,
S001-FOD-03 deadline semantics,True,
S001-FOD-03 times,True,
S001-HYG-01 known service/material,True,
S001-HYG-01 id prefix,True,
S001-HYG-01 positive dimensions,True,
S001-HYG-01 first batch boolean,True,
S001-HYG-01 deadline semantics,True,
S001-HYG-01 times,True,
S001-HYG-02 known service/material,True,
S001-HYG-02 id prefix,True,
S001-HYG-02 positive dimensions,True,
S001-HYG-02 first batch boolean,True,
S001-HYG-02 deadline semantics,True,
S001-HYG-02 times,True,
S002-MED-01 known service/material,True,
S002-MED-01 id prefix,True,
S002-MED-01 positive dimensions,True,
S002-MED-01 first batch boolean,True,
S002-MED-01 deadline semantics,True,
S002-MED-01 times,True,
S002-WAT-01 known service/material,True,
S002-WAT-01 id prefix,True,
S002-WAT-01 positive dimensions,True,
S002-WAT-01 first batch boolean,True,
S002-WAT-01 deadline semantics,True,
S002-WAT-01 times,True,
S002-WAT-02 known service/material,True,
S002-WAT-02 id prefix,True,
S002-WAT-02 positive dimensions,True,
S002-WAT-02 first batch boolean,True,
S002-WAT-02 deadline semantics,True,
S002-WAT-02 times,True,
S002-WAT-03 known service/material,True,
S002-WAT-03 id prefix,True,
S002-WAT-03 positive dimensions,True,
S002-WAT-03 first batch boolean,True,
S002-WAT-03 deadline semantics,True,
S002-WAT-03 times,True,
S002-WAT-04 known service/material,True,
S002-WAT-04 id prefix,True,
S002-WAT-04 positive dimensions,True,
S002-WAT-04 first batch boolean,True,
S002-WAT-04 deadline semantics,True,
S002-WAT-04 times,True,
S002-FOD-01 known service/material,True,
S002-FOD-01 id prefix,True,
S002-FOD-01 positive dimensions,True,
S002-FOD-01 first batch boolean,True,
S002-FOD-01 deadline semantics,True,
S002-FOD-01 times,True,
S002-FOD-02 known service/material,True,
S002-FOD-02 id prefix,True,
S002-FOD-02 positive dimensions,True,
S002-FOD-02 first batch boolean,True,
S002-FOD-02 deadline semantics,True,
S002-FOD-02 times,True,
S002-HYG-01 known service/material,True,
S002-HYG-01 id prefix,True,
S002-HYG-01 positive dimensions,True,
S002-HYG-01 first batch boolean,True,
S002-HYG-01 deadline semantics,True,
S002-HYG-01 times,True,
S003-MED-01 known service/material,True,
S003-MED-01 id prefix,True,
S003-MED-01 positive dimensions,True,
S003-MED-01 first batch boolean,True,
S003-MED-01 deadline semantics,True,
S003-MED-01 times,True,
S003-WAT-01 known service/material,True,
S003-WAT-01 id prefix,True,
S003-WAT-01 positive dimensions,True,
S003-WAT-01 first batch boolean,True,
S003-WAT-01 deadline semantics,True,
S003-WAT-01 times,True,
S003-WAT-02 known service/material,True,
S003-WAT-02 id prefix,True,
S003-WAT-02 positive dimensions,True,
S003-WAT-02 first batch boolean,True,
S003-WAT-02 deadline semantics,True,
S003-WAT-02 times,True,
S003-WAT-03 known service/material,True,
S003-WAT-03 id prefix,True,
S003-WAT-03 positive dimensions,True,
S003-WAT-03 first batch boolean,True,
S003-WAT-03 deadline semantics,True,
S003-WAT-03 times,True,
S003-WAT-04 known service/material,True,
S003-WAT-04 id prefix,True,
S003-WAT-04 positive dimensions,True,
S003-WAT-04 first batch boolean,True,
S003-WAT-04 deadline semantics,True,
S003-WAT-04 times,True,
S003-FOD-01 known service/material,True,
S003-FOD-01 id prefix,True,
S003-FOD-01 positive dimensions,True,
S003-FOD-01 first batch boolean,True,
S003-FOD-01 deadline semantics,True,
S003-FOD-01 times,True,
S003-FOD-02 known service/material,True,
S003-FOD-02 id prefix,True,
S003-FOD-02 positive dimensions,True,
S003-FOD-02 first batch boolean,True,
S003-FOD-02 deadline semantics,True,
S003-FOD-02 times,True,
S003-HYG-01 known service/material,True,
S003-HYG-01 id prefix,True,
S003-HYG-01 positive dimensions,True,
S003-HYG-01 first batch boolean,True,
S003-HYG-01 deadline semantics,True,
S003-HYG-01 times,True,
S004-MED-01 known service/material,True,
S004-MED-01 id prefix,True,
S004-MED-01 positive dimensions,True,
S004-MED-01 first batch boolean,True,
S004-MED-01 deadline semantics,True,
S004-MED-01 times,True,
S004-WAT-01 known service/material,True,
S004-WAT-01 id prefix,True,
S004-WAT-01 positive dimensions,True,
S004-WAT-01 first batch boolean,True,
S004-WAT-01 deadline semantics,True,
S004-WAT-01 times,True,
S004-WAT-02 known service/material,True,
S004-WAT-02 id prefix,True,
S004-WAT-02 positive dimensions,True,
S004-WAT-02 first batch boolean,True,
S004-WAT-02 deadline semantics,True,
S004-WAT-02 times,True,
