service_id,material_type,declared_count,listed_count,declared_first_count,listed_first_count,consistent
S001,医疗物资,2,2,1,1,True
S001,饮用水,8,8,1,1,True
S001,应急食品,3,3,0,0,True
S001,生活卫生用品,2,2,0,0,True
S002,医疗物资,1,1,1,1,True
S002,饮用水,4,4,1,1,True
S002,应急食品,2,2,0,0,True
S002,生活卫生用品,1,1,0,0,True
S003,医疗物资,1,1,1,1,True
S003,饮用水,4,4,1,1,True
S003,应急食品,2,2,0,0,True
S003,生活卫生用品,1,1,0,0,True
S004,医疗物资,1,1,1,1,True
S004,饮用水,3,3,1,1,True
S004,应急食品,1,1,0,0,True
S004,生活卫生用品,1,1,0,0,True
S005,医疗物资,1,1,1,1,True
S005,饮用水,3,3,1,1,True
S005,应急食品,1,1,0,0,True
S005,生活卫生用品,1,1,0,0,True
S006,医疗物资,1,1,1,1,True
S006,饮用水,3,3,1,1,True
S006,应急食品,1,1,0,0,True
S006,生活卫生用品,1,1,0,0,True
S007,医疗物资,1,1,1,1,True
S007,饮用水,2,2,1,1,True
S007,应急食品,1,1,0,0,True
S007,生活卫生用品,1,1,0,0,True
S008,医疗物资,1,1,1,1,True
S008,饮用水,2,2,1,1,True
S008,应急食品,1,1,0,0,True
S008,生活卫生用品,1,1,0,0,True
S009,医疗物资,1,1,1,1,True
S009,饮用水,1,1,1,1,True
S009,应急食品,1,1,0,0,True
S010,医疗物资,1,1,1,1,True
S010,饮用水,1,1,1,1,True
S010,应急食品,1,1,0,0,True
S011,医疗物资,1,1,1,1,True
S011,饮用水,1,1,1,1,True
S011,应急食品,1,1,0,0,True
S012,医疗物资,1,1,1,1,True
S012,饮用水,1,1,1,1,True
S012,应急食品,1,1,0,0,True
S013,医疗物资,1,1,1,1,True
S013,饮用水,1,1,1,1,True
S013,应急食品,1,1,0,0,True
S014,医疗物资,1,1,1,1,True
S014,饮用水,1,1,1,1,True
S014,应急食品,1,1,0,0,True
S015,医疗物资,1,1,1,1,True
S015,饮用水,1,1,1,1,True
S015,应急食品,1,1,0,0,True
