dataset,source_field,rows,literal_empty_count,placeholder_unknown_count,unique_values,clean_field
settlements,点位编号,166,0,0,166,feature_id
settlements,名称,166,0,0,161,name
settlements,类别,166,0,0,2,category
settlements,OSM编号,166,0,0,166,osm_id
settlements,位置,166,0,0,2,location
settlements,经度,166,0,0,153,lon_deg
settlements,纬度,166,0,0,164,lat_deg
water_polygons,水体要素编号,4229,0,0,95,feature_id
water_polygons,多边形编号,4229,0,0,6,polygon_id
water_polygons,环编号,4229,0,0,1,ring_id
water_polygons,点序号,4229,0,0,509,vertex_index
water_polygons,名称,4229,0,3173,6,name
water_polygons,水体类型,4229,0,0,4,category
water_polygons,OSM编号,4229,0,0,95,osm_id
water_polygons,经度,4229,0,0,3718,lon_deg
water_polygons,纬度,4229,0,0,3699,lat_deg
water_lines,水系要素编号,4570,0,0,101,feature_id
water_lines,点序号,4570,0,0,282,vertex_index
water_lines,名称,4570,0,3618,4,name
water_lines,水系类型,4570,0,0,4,category
water_lines,OSM编号,4570,0,0,99,osm_id
water_lines,长度_km,4570,0,0,96,length_km
water_lines,经度,4570,0,0,4346,lon_deg
water_lines,纬度,4570,0,0,4340,lat_deg
roads,道路要素编号,21015,0,0,1829,feature_id
roads,点序号,21015,0,0,387,vertex_index
roads,名称,21015,0,18518,36,name
roads,道路类型,21015,0,0,19,category
roads,OSM编号,21015,0,0,1825,osm_id
roads,经度,21015,0,0,17906,lon_deg
roads,纬度,21015,0,0,17998,lat_deg
