service_id,population,boxes,weight_kg,volume_m3,first_batch_boxes,box_per_person
S001,2100,15,154.0,0.394,2,0.007142857142857143
S002,330,8,81.0,0.211,2,0.024242424242424242
S003,275,8,81.0,0.211,2,0.02909090909090909
S004,188,6,59.0,0.156,2,0.031914893617021274
S005,126,6,59.0,0.156,2,0.047619047619047616
S006,121,6,59.0,0.156,2,0.049586776859504134
S007,76,5,45.0,0.129,2,0.06578947368421052
S008,55,5,45.0,0.129,2,0.09090909090909091
S009,45,3,25.0,0.067,2,0.06666666666666667
S010,31,3,25.0,0.067,2,0.0967741935483871
S011,30,3,25.0,0.067,2,0.1
S012,16,3,25.0,0.067,2,0.1875
S013,14,3,25.0,0.067,2,0.21428571428571427
S014,12,3,25.0,0.067,2,0.25
S015,3,3,25.0,0.067,2,1.0
