table,record_key,field,value,iqr_flag,modified_z,mad_flag,action
services,S001,population,2100,True,32.07747765467412,True,retain_after_domain_checks
services,S002,population,330,False,4.3135972396261035,True,retain_after_domain_checks
demand,S001,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S001,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S002,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S002,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S003,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S003,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S004,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S004,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S005,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S005,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S006,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S006,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S007,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S007,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S008,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S008,volume_m3,0.035,False,5.395918001568651,True,retain_after_domain_checks
demand,S009,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S010,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S011,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S012,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S013,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S014,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S015,volume_m3,0.012,False,10.117346252941216,True,retain_after_domain_checks
demand,S001,priority,24,False,4.721428251372572,True,retain_after_domain_checks
demand,S002,priority,24,False,4.721428251372572,True,retain_after_domain_checks
demand,S006,priority,24,False,4.721428251372572,True,retain_after_domain_checks
demand,S007,priority,24,False,4.721428251372572,True,retain_after_domain_checks
demand,S010,priority,24,False,4.721428251372572,True,retain_after_domain_checks
demand,S012,priority,22,False,4.0469385011764905,True,retain_after_domain_checks
demand,S013,priority,24,False,4.721428251372572,True,retain_after_domain_checks
demand,S014,priority,22,False,4.0469385011764905,True,retain_after_domain_checks
boxes,S001-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S001-MED-02,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S001-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S001-HYG-02,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S002-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S002-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S003-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S003-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S004-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S004-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S005-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S005-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S006-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S006-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S007-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S007-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S008-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S008-HYG-01,volume_m3,0.035,True,5.395918001568651,True,retain_after_domain_checks
boxes,S009-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S010-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S011-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
boxes,S012-MED-01,volume_m3,0.012,True,10.117346252941216,True,retain_after_domain_checks
